date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
2025-01-01,0.194704047,-7.645833333,-13.22,-4.3,0
2025-01-02,0.19002866,-4.686354167,-8.31,-0.8,0.762
2025-01-03,0.325516609,-1.776979167,-4.06,1.61,5.08
2025-01-04,0.367565914,-0.715625,-4.28,2.09,0.508
2025-01-05,0.217060408,-3.383125,-10.11,0.46,1.016
2025-01-06,0.144149631,-2.308333333,-4.49,1.08,1.524
2025-01-07,0.126674043,-7.2559375,-14,-1.16,0
2025-01-08,0.256521751,-5.489791667,-9.36,-0.87,0.254
2025-01-09,0.176917311,-7.4446875,-14.96,0.25,0
2025-01-10,0.197317928,-5.554166667,-12.35,1.45,0
2025-01-11,0.375506824,-1.282083333,-3.17,0.15,0.254
2025-01-12,0.418907126,-3.694375,-14.2,-0.76,0.508
2025-01-13,0.395022582,-3.42625,-9.99,-1.35,0
2025-01-14,0.437501945,-5.421458333,-11.12,0.7,0
2025-01-15,0.188980151,-8.208645833,-12.68,-1.07,0
2025-01-16,0.222691611,-6.7015625,-14.82,4.06,0
2025-01-17,0.486392442,-6.478854167,-12.27,1.29,0
2025-01-18,0.308808735,-13.51916667,-19.8,-9.1,0
2025-01-19,0.241094781,-12.99635417,-24.99,-7.65,0.762
2025-01-20,0.130238066,-23.0309375,-30.39,-16.89,0
2025-01-21,0.231396827,-13.1975,-22.78,-3.66,0
2025-01-22,0.393269396,-6.962604167,-17.43,-1.25,0
2025-01-23,0.223622551,-15.38208333,-21.52,-7.96,0
2025-01-24,0.289456655,-7.709583333,-14.56,-1.62,0
2025-01-25,0.194492522,-15.26822917,-21.69,-7.68,0
2025-01-26,0.168904685,-18.52625,-23.78,-10.77,0
2025-01-27,0.224780169,-16.37552083,-21.34,-6.14,0
2025-01-28,0.219368057,-15.85552083,-22.35,-6.46,0.254
2025-01-29,0.279901704,-14.53177083,-20.6,-2.69,0
2025-01-30,0.231417213,-13.86572917,-20.5,-4.04,0
2025-01-31,0.448186303,-4.655625,-14.56,6.33,0
2025-02-01,0.557856645,0.724791667,-5.35,5,1.016
2025-02-02,0.438355671,-3.401770833,-6.37,1.06,0.508
2025-02-03,0.338741995,-12.1903125,-15.03,-5.18,1.016
2025-02-04,0.345467721,-14.4171875,-16.3,-12.39,1.524
2025-02-05,0.314299186,-14.77739583,-19.77,-9.07,1.778
2025-02-06,0.286557885,-12.38989583,-20.64,-4.89,0.508
2025-02-07,0.277711828,-11.4271875,-16.76,-6.56,0.762
2025-02-08,0.358060096,-11.8065625,-15.07,-8.41,0.254
2025-02-09,0.306085252,-10.74479167,-17.5,-4.97,0
2025-02-10,0.257736501,-16.04541667,-27.64,-10.41,0.254
2025-02-11,0.19081793,-25.3396875,-33,-18.09,0
2025-02-12,0.172058439,-27.59729167,-34.57,-19,0
2025-02-13,0.186787354,-24.8328125,-34.03,-15.3,0
2025-02-14,0.326605264,-9.758020833,-15.16,-4.97,1.778
2025-02-15,0.487711824,-4.373541667,-8.85,-1.65,0.254
2025-02-16,0.412229436,-5.767708333,-7.55,-3.09,1.778
2025-02-17,0.450402511,-5.450104167,-7.8,-2.23,2.54
2025-02-18,0.524743717,-7.425625,-10.41,-4.89,3.048
2025-02-19,0.490019928,-9.86125,-15.4,-5.97,0
2025-02-20,0.637010215,-2.609895833,-8.51,2.43,0
2025-02-21,0.948045264,-0.078958333,-4.54,3.68,0
2025-02-22,0.47502239,-3.3275,-4.97,-1.81,0
2025-02-23,0.940232424,4.476979167,-3.38,9.45,0
2025-02-24,1.30076035,3.7815625,-1.27,8.62,0
2025-02-25,1.226115326,2.423541667,-0.07,5.54,1.524
2025-02-26,1.259728553,1.494791667,-4.78,6.01,0
2025-02-27,1.163130807,-2.433333333,-10,7.85,0
2025-02-28,0.948373971,-1.531770833,-8.75,8.09,0
2025-03-01,1.18616054,-1.653020833,-9.28,9.53,0
2025-03-02,1.132661871,-1.801354167,-10.6,7.89,0
2025-03-03,0.548661207,-0.550729167,-5.98,2.92,0
2025-03-04,0.852616758,-0.219166667,-4.61,4.57,0
2025-03-05,1.189119199,0.5484375,-4.76,5.59,0
2025-03-06,1.024279019,-1.5071875,-6.23,3.77,0
