"","date","infiltration_inches","infil_cm","cumulative_infil_cm"
"1",2025-05-03,0,0,0
"2",2025-05-04,0,0,0
"3",2025-05-05,0,0,0
"4",2025-05-06,0,0,0
"5",2025-05-07,0,0,0
"6",2025-05-08,0,0,0
"7",2025-05-09,0,0,0
"8",2025-05-10,0,0,0
"9",2025-05-11,0,0,0
"10",2025-05-12,0,0,0
"11",2025-05-13,0,0,0
"12",2025-05-14,0,0,0
"13",2025-05-15,0,0,0
"14",2025-05-16,0,0,0
"15",2025-05-17,0,0,0
"16",2025-05-18,0,0,0
"17",2025-05-19,0,0,0
"18",2025-05-20,0,0,0
"19",2025-05-21,0,0,0
"20",2025-05-22,0,0,0
"21",2025-05-23,0,0,0
"22",2025-05-24,0,0,0
"23",2025-05-25,0,0,0
"24",2025-05-26,0,0,0
"25",2025-05-27,0,0,0
"26",2025-05-28,0,0,0
"27",2025-05-29,0,0,0
"28",2025-05-30,0,0,0
"29",2025-05-31,0,0,0
"30",2025-06-01,0,0,0
"31",2025-06-02,0,0,0
"32",2025-06-03,0.01,0.0254,0.0254
"33",2025-06-04,0,0,0.0254
"34",2025-06-05,0,0,0.0254
"35",2025-06-06,0.51,1.2954,1.3208
"36",2025-06-07,0.08,0.2032,1.524
"37",2025-06-08,0.02,0.0508,1.5748
"38",2025-06-09,0.45,1.143,2.7178
"39",2025-06-10,0.12,0.3048,3.0226
"40",2025-06-11,0.46,1.1684,4.191
"41",2025-06-12,0.24,0.6096,4.8006
"42",2025-06-13,0.06,0.1524,4.953
"43",2025-06-14,0.03,0.0762,5.0292
"44",2025-06-15,0.43,1.0922,6.1214
"45",2025-06-16,0.07,0.1778,6.2992
"46",2025-06-17,0.04,0.1016,6.4008
"47",2025-06-18,0.01,0.0254,6.4262
"48",2025-06-19,0,0,6.4262
"49",2025-06-20,0,0,6.4262
"50",2025-06-21,0,0,6.4262
"51",2025-06-22,0,0,6.4262
"52",2025-06-23,0,0,6.4262
"53",2025-06-24,0,0,6.4262
"54",2025-06-25,0,0,6.4262
"55",2025-06-26,0,0,6.4262
"56",2025-06-27,0,0,6.4262
"57",2025-06-28,0,0,6.4262
"58",2025-06-29,0,0,6.4262
"59",2025-06-30,0,0,6.4262
"60",2025-07-01,0,0,6.4262
"61",2025-07-02,0.01,0.0254,6.4516
"62",2025-07-03,0,0,6.4516
"63",2025-07-04,0,0,6.4516
"64",2025-07-05,0,0,6.4516
"65",2025-07-06,0,0,6.4516
"66",2025-07-07,0,0,6.4516
"67",2025-07-08,0,0,6.4516
"68",2025-07-09,0,0,6.4516
"69",2025-07-10,0,0,6.4516
"70",2025-07-11,0,0,6.4516
"71",2025-07-12,0,0,6.4516
"72",2025-07-13,0,0,6.4516
"73",2025-07-14,0.17,0.4318,6.8834
"74",2025-07-15,0.16,0.4064,7.2898
"75",2025-07-16,0.04,0.1016,7.3914
"76",2025-07-17,0.54,1.3716,8.763
"77",2025-07-18,1.19,3.0226,11.7856
"78",2025-07-19,0.05,0.127,11.9126
"79",2025-07-20,0.02,0.0508,11.9634
"80",2025-07-21,0.01,0.0254,11.9888
"81",2025-07-22,1.29,3.2766,15.2654
"82",2025-07-23,0.07,0.1778,15.4432
"83",2025-07-24,0.03,0.0762,15.5194
"84",2025-07-25,0.01,0.0254,15.5448
"85",2025-07-26,0,0,15.5448
"86",2025-07-27,1.27,3.2258,18.7706
"87",2025-07-28,0.4,1.016,19.7866
"88",2025-07-29,0.05,0.127,19.9136
"89",2025-07-30,0.02,0.0508,19.9644
"90",2025-07-31,0,0,19.9644
"91",2025-08-01,0.01,0.0254,19.9898
"92",2025-08-02,0,0,19.9898
"93",2025-08-03,0,0,19.9898
"94",2025-08-04,0,0,19.9898
"95",2025-08-05,0,0,19.9898
"96",2025-08-06,0,0,19.9898
"97",2025-08-07,0,0,19.9898
"98",2025-08-08,0,0,19.9898
"99",2025-08-09,0,0,19.9898
"100",2025-08-10,0.01,0.0254,20.0152
"101",2025-08-11,0.01,0.0254,20.0406
"102",2025-08-12,0,0,20.0406
"103",2025-08-13,0,0,20.0406
"104",2025-08-14,0,0,20.0406
"105",2025-08-15,0,0,20.0406
"106",2025-08-16,0,0,20.0406
"107",2025-08-17,0.01,0.0254,20.066
"108",2025-08-18,0,0,20.066
"109",2025-08-19,0,0,20.066
"110",2025-08-20,0,0,20.066
"111",2025-08-21,0,0,20.066
"112",2025-08-22,0,0,20.066
"113",2025-08-23,0.29,0.7366,20.8026
"114",2025-08-24,0.04,0.1016,20.9042
"115",2025-08-25,0.02,0.0508,20.955
"116",2025-08-26,0.01,0.0254,20.9804
"117",2025-08-27,0,0,20.9804
"118",2025-08-28,1.68,4.2672,25.2476
"119",2025-08-29,0.1,0.254,25.5016
"120",2025-08-30,0.05,0.127,25.6286
"121",2025-08-31,0.02,0.0508,25.6794
"122",2025-09-01,0,0,25.6794
"123",2025-09-02,0,0,25.6794
"124",2025-09-03,0,0,25.6794
"125",2025-09-04,0.01,0.0254,25.7048
"126",2025-09-05,0,0,25.7048
"127",2025-09-06,0,0,25.7048
"128",2025-09-07,0,0,25.7048
"129",2025-09-08,0,0,25.7048
"130",2025-09-09,0,0,25.7048
"131",2025-09-10,0,0,25.7048
"132",2025-09-11,0,0,25.7048
"133",2025-09-12,0,0,25.7048
"134",2025-09-13,0,0,25.7048
"135",2025-09-14,0,0,25.7048
"136",2025-09-15,0,0,25.7048
"137",2025-09-16,0,0,25.7048
"138",2025-09-17,0,0,25.7048
"139",2025-09-18,0,0,25.7048
"140",2025-09-19,0,0,25.7048
"141",2025-09-20,0,0,25.7048
"142",2025-09-21,0,0,25.7048
"143",2025-09-22,0,0,25.7048
"144",2025-09-23,0,0,25.7048
