Date,Amount_in,Amount_cm
2021-06-21,0.65,1.651
2021-06-22,0.65,1.651
2021-06-23,0.65,1.651
2021-06-25,0.65,1.651
2021-06-27,0.65,1.651
2021-06-29,0.65,1.651
2021-06-30,0.65,1.651
2021-07-02,0.65,1.651
2021-07-14,0.65,1.651
2021-07-15,0.65,1.651
2021-07-16,0.65,1.651
2021-07-17,0.65,1.651
2021-07-18,0.65,1.651
2021-07-20,0.65,1.651
2022-05-25,0.65,1.651
2022-05-27,0.65,1.651
2022-05-28,0.65,1.651
2022-05-30,0.65,1.651
2022-05-31,0.65,1.651
2022-06-18,0.65,1.651
2022-06-19,0.65,1.651
2022-06-21,0.65,1.651
2022-06-22,0.65,1.651
2022-06-24,0.65,1.651
2022-06-25,0.65,1.651
2022-07-15,0.65,1.651
2022-07-16,0.65,1.651
2022-07-17,0.65,1.651
2022-07-18,0.65,1.651
2022-07-19,0.65,1.651
2022-07-21,0.65,1.651
2022-07-22,0.65,1.651
2022-07-23,0.65,1.651
2022-07-25,0.65,1.651
2023-06-25,0.65,1.651
2023-06-26,0.65,1.651
2023-06-27,0.65,1.651
2023-06-29,1.3,3.302
2023-07-01,1.3,3.302
2023-07-03,0.65,1.651
2023-07-13,0.5,1.27
2023-07-14,0.5,1.27
2023-07-15,0.5,1.27
2023-07-16,0.5,1.27
2023-07-17,0.5,1.27
2023-07-18,1,2.54
2023-07-20,0.5,1.27
2024-06-12,0.6,1.524
2024-06-13,0.6,1.524
2024-06-14,0.6,1.524
2024-06-15,0.6,1.524
2024-06-16,0.6,1.524
2024-06-17,0.6,1.524
2024-07-02,0.55,1.397
2024-07-04,1.1,2.794
2024-07-06,1.1,2.794
2024-07-08,1.1,2.794
2024-07-10,1.1,2.794
2024-07-11,0.55,1.397
