,Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h37,theta37,temp37
0,2023-01-01,0.0,0.07112,-6.275,4.775,-1.26458333333333,0.0,0.0,-7.5407e-22,0.0,0.0,0.0,0.0,-7.5407e-22,0.0,0.0,-15.0,-7.5503,-15.0,0.0,0.0,31.232,0.0,0.0,0.0,-15.0,0.4221,20.0
1,2023-01-02,0.0,0.03556,-9.8,2.45,-4.71354166666667,0.03556,0.0,0.03556,0.0,0.0,0.03556,0.0,0.03556,0.0,0.0,-46.839,-7.5503,-15.0,0.0,0.0,31.196,0.0,0.03556,0.0,-15.0,0.4221,20.0
2,2023-01-03,0.0,0.10668,-8.45,2.175,-3.865625,0.10668,0.0,0.10668,0.0,0.0,0.14224,0.0,0.14224,0.0,0.0,-1501.6,-7.5503,-15.0,0.0,0.0,31.089,0.0,0.14224,0.0,-15.0,0.4221,20.0
3,2023-01-04,0.0,0.0762,-7.55,4.15,-2.59895833333333,0.0762,0.0,0.00024299,0.0,0.0,0.21844,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
4,2023-01-05,0.0,0.03302,-11.3,1.75,-4.66666666666667,0.03302,0.0,3.7703e-16,0.0,0.0,0.25146,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
5,2023-01-06,0.4267,0.04826,-2.2,4.325,1.20104166666667,0.04826,0.0,3.7703e-16,0.0,0.0,0.29972,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
6,2023-01-07,0.0,0.127,-1.55,6.8,2.52291666666667,0.127,0.0,3.7703e-16,0.0,0.0,0.42672,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
7,2023-01-08,0.0,0.18542,0.45,7.175,3.51770833333333,0.18542,0.0,3.7703e-16,0.0,0.0,0.61214,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
8,2023-01-09,0.0,0.1778,-0.6,5.775,2.91770833333333,0.1778,0.0,3.7703e-16,0.0,0.0,0.78994,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
9,2023-01-10,0.0,0.09652,-7.15,7.1,0.789583333333333,0.09652,0.0,3.7703e-16,0.0,0.0,0.88646,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
10,2023-01-11,0.0017,0.04572,-7.9,3.25,-3.36770833333333,0.04572,0.0,3.7703e-16,0.0,0.0,0.93218,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
11,2023-01-12,0.0,0.19304,-2.55,7.25,3.34895833333333,0.19304,0.0,3.7703e-16,0.0,0.0,1.1252,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
12,2023-01-13,0.0,0.23114,5.425,10.05,7.59479166666667,0.23114,0.0,3.7703e-16,0.0,0.0,1.3564,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
13,2023-01-14,0.0,0.17272,0.625,9.625,5.56979166666667,0.17272,0.0,3.7703e-16,0.0,0.0,1.5291,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
14,2023-01-15,0.0,0.03302,-0.75,4.825,1.30833333333333,0.03302,0.0,3.7703e-16,0.0,0.0,1.5621,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
15,2023-01-16,0.068,0.02032,-1.675,3.35,0.201041666666667,0.02032,0.0,3.7703e-16,0.0,0.0,1.5824,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
16,2023-01-17,0.0323,0.04318,-2.025,4.625,0.527083333333333,0.04318,0.0,3.7703e-16,0.0,0.0,1.6256,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
17,2023-01-18,0.0,0.16002,-3.125,5.925,0.075,0.16002,0.0,3.7703e-16,0.0,0.0,1.7856,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
18,2023-01-19,0.0,0.10668,-1.75,4.525,0.377083333333333,0.10668,0.0,3.7703e-16,0.0,0.0,1.8923,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
19,2023-01-20,0.0,0.127,-3.55,4.375,-1.03020833333333,0.127,0.0,3.7703e-16,0.0,0.0,2.0193,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
20,2023-01-21,0.0,0.18288,-3.325,5.875,0.444791666666667,0.18288,0.0,3.7703e-16,0.0,0.0,2.2022,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
21,2023-01-22,0.0,0.07874,-3.65,2.35,-0.75,0.07874,0.0,3.7703e-16,0.0,0.0,2.2809,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
22,2023-01-23,0.0,0.0889,-6.85,0.225,-3.28854166666667,0.0889,0.0,3.7703e-16,0.0,0.0,2.3698,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
23,2023-01-24,0.0,0.08382,-4.75,1.95,-1.86666666666667,0.08382,0.0,3.7703e-16,0.0,0.0,2.4536,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
24,2023-01-25,0.0,0.06096,-5.5,2.5,-1.25833333333333,0.06096,0.0,3.7703e-16,0.0,0.0,2.5146,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
25,2023-01-26,0.0,0.1524,0.9,9.6,4.30729166666667,0.1524,0.0,3.7703e-16,0.0,0.0,2.667,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
26,2023-01-27,0.0612,0.04572,-7.375,2.725,-0.671875,0.04572,0.0,3.7703e-16,0.0,0.0,2.7127,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
27,2023-01-28,0.0,0.03429,-26.525,-10.1,-16.7625,0.03429,0.0,3.7703e-16,0.0,0.0,2.747,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
28,2023-01-29,0.0,0.02286,-26.575,-13.4,-20.9833333333333,0.02286,0.0,3.7703e-16,0.0,0.0,2.7699,0.0,0.18199,0.0,0.0,-1000000.0,-7.5503,-15.0,0.0,0.0,31.05,0.0,0.18199,0.0,-15.0,0.4221,20.0
