 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15: 6:43
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       11  0.1000000E+01  0.20015E+00    2       41    -4    -5     T
       14  0.2000000E+01  0.37500E+00    2       48    -4    -5     T
       16  0.3000000E+01  0.50000E+00    3       53    -4    -5     T
       18  0.4000000E+01  0.50000E+00    2       57    -4    -5     T
       20  0.5000000E+01  0.50000E+00    2       61    -4    -5     T
       22  0.6000000E+01  0.50000E+00    2       65    -4    -5     T
       24  0.7000000E+01  0.50000E+00    2       69    -4    -5     T
       26  0.8000000E+01  0.50000E+00    2       73    -4    -5     T
       28  0.9000000E+01  0.50000E+00    2       77    -4    -5     T
       30  0.1000000E+02  0.50000E+00    2       81    -4    -5     T
       32  0.1100000E+02  0.50000E+00    2       85    -4    -5     T
       34  0.1200000E+02  0.50000E+00    2       90    -4    -5     T
       36  0.1300000E+02  0.50000E+00    2       94    -4    -5     T
       38  0.1400000E+02  0.50000E+00    2       99    -4    -5     T
       40  0.1500000E+02  0.50000E+00    2      104    -4    -5     T
       42  0.1600000E+02  0.50000E+00    2      108    -4    -5     T
       44  0.1700000E+02  0.50000E+00    2      112    -4    -5     T
       46  0.1800000E+02  0.50000E+00    2      117    -4    -5     T
       48  0.1900000E+02  0.50000E+00    2      121    -4    -5     T
       50  0.2000000E+02  0.50000E+00    2      125    -4    -5     T
       52  0.2100000E+02  0.50000E+00    2      130    -4    -5     T
       54  0.2200000E+02  0.50000E+00    2      135    -4    -5     T
       56  0.2300000E+02  0.50000E+00    2      139    -4    -5     T
       58  0.2400000E+02  0.50000E+00    2      143    -4    -5     T
       60  0.2500000E+02  0.50000E+00    2      147    -4    -5     T
       62  0.2600000E+02  0.50000E+00    2      152    -4    -5     T
       64  0.2700000E+02  0.50000E+00    2      157    -4    -5     T
       66  0.2800000E+02  0.50000E+00    2      161    -4    -5     T
       68  0.2900000E+02  0.50000E+00    2      165    -4    -5     T
       70  0.3000000E+02  0.50000E+00    2      169    -4    -5     T
       72  0.3100000E+02  0.50000E+00    2      173    -4    -5     T
       74  0.3200000E+02  0.50000E+00    2      177    -4    -5     T
       76  0.3300000E+02  0.50000E+00    2      181    -4    -5     T
       78  0.3400000E+02  0.50000E+00    3      187    -4    -5     T
       80  0.3500000E+02  0.50000E+00    2      192    -4    -5     T
       82  0.3600000E+02  0.50000E+00    2      196    -4    -5     T
       84  0.3700000E+02  0.50000E+00    2      201    -4    -5     T
       86  0.3800000E+02  0.50000E+00    2      206    -4    -5     T
       88  0.3900000E+02  0.50000E+00    3      212    -4    -5     T
       90  0.4000000E+02  0.50000E+00    3      219    -4    -5     T
       92  0.4100000E+02  0.50000E+00    2      224    -4    -5     T
       94  0.4200000E+02  0.50000E+00    3      231    -4    -5     T
       96  0.4300000E+02  0.50000E+00    2      238    -4    -5     T
       98  0.4400000E+02  0.50000E+00    3      246    -4    -5     T
      100  0.4500000E+02  0.50000E+00    3      254    -4    -5     T
      102  0.4600000E+02  0.50000E+00    2      260    -4    -5     T
      104  0.4700000E+02  0.50000E+00    2      267    -4    -5     T
      106  0.4800000E+02  0.50000E+00    4      275    -4    -5     T
      108  0.4900000E+02  0.50000E+00    4      284    -4    -5     T
      110  0.5000000E+02  0.50000E+00    2      290    -4    -5     T
      112  0.5100000E+02  0.50000E+00    3      297    -4    -5     T
      114  0.5200000E+02  0.50000E+00    3      302    -4    -5     T
      116  0.5300000E+02  0.50000E+00    3      308    -4    -5     T
      118  0.5400000E+02  0.50000E+00    2      312    -4    -5     T
      120  0.5500000E+02  0.50000E+00    2      317    -4    -5     T
      122  0.5600000E+02  0.50000E+00    3      324    -4    -5     T
      124  0.5700000E+02  0.50000E+00    2      329    -4    -5     T
      126  0.5800000E+02  0.50000E+00    3      336    -4    -5     T
      128  0.5900000E+02  0.50000E+00    3      343    -4    -5     T
      130  0.6000000E+02  0.50000E+00    3      350    -4    -5     T
      132  0.6100000E+02  0.50000E+00    4      359    -4    -5     T
      134  0.6200000E+02  0.50000E+00    3      367    -4    -5     T
      136  0.6300000E+02  0.50000E+00    4      375    -4    -5     T
      138  0.6400000E+02  0.50000E+00    7      388    -4    -5     T
      141  0.6500000E+02  0.33333E+00    2      395    -4    -5     T
      143  0.6600000E+02  0.50000E+00    2      400    -4    -5     T
      145  0.6700000E+02  0.50000E+00    2      405    -4    -5     T
      147  0.6800000E+02  0.50000E+00    2      410    -4    -5     T
      149  0.6900000E+02  0.50000E+00    2      415    -4    -5     T
      151  0.7000000E+02  0.50000E+00    2      420    -4    -5     T
      153  0.7100000E+02  0.50000E+00    2      425    -4    -5     T
      155  0.7200000E+02  0.50000E+00    2      432    -4    -5     T
      157  0.7300000E+02  0.50000E+00    5      443    -4    -5     T
      159  0.7400000E+02  0.50000E+00    5      455    -4    -5     T
      162  0.7500000E+02  0.33333E+00    2      463    -4    -5     T
      164  0.7600000E+02  0.50000E+00    2      469    -4    -5     T
      166  0.7700000E+02  0.50000E+00    7      483    -4    -5     T
      169  0.7800000E+02  0.37500E+00    4      494    -4    -5     T
      173  0.7900000E+02  0.22222E+00    2      510    -4    -5     T
      176  0.8000000E+02  0.33333E+00    3      521    -4    -5     T
      182  0.8100000E+02  0.14815E+00    2      549     4    -5     T
      187  0.8200000E+02  0.12500E+00    2      570     4    -5     T
      194  0.8300000E+02  0.19756E+00    6      600     4    -5     T
      202  0.8400000E+02  0.58594E-01    2      644     4    -5     T
      215  0.8500000E+02  0.88594E-01    2      700     4    -5     T
      225  0.8600000E+02  0.12085E+00    2      740     4    -5     T
      230  0.8700000E+02  0.22857E+00    2      752     4    -5     T
      233  0.8800000E+02  0.33333E+00    3      759     4    -5     T
      235  0.8900000E+02  0.50000E+00    4      770     4    -5     T
      238  0.9000000E+02  0.33333E+00    2      776     4    -5     T
      242  0.9100000E+02  0.16667E+00    3      805    -4    -5     T
      246  0.9200000E+02  0.26667E+00    3      817    -4    -5     T
      248  0.9300000E+02  0.50000E+00    4      824    -4    -5     T
      250  0.9400000E+02  0.50000E+00    3      830    -4    -5     T
      252  0.9500000E+02  0.50000E+00    3      835    -4    -5     T
      254  0.9600000E+02  0.50000E+00    4      841    -4    -5     T
      256  0.9700000E+02  0.50000E+00    2      845    -4    -5     T
      258  0.9800000E+02  0.50000E+00    2      849    -4    -5     T
      260  0.9900000E+02  0.50000E+00    2      853    -4    -5     T
      262  0.1000000E+03  0.50000E+00    2      857    -4    -5     T
      264  0.1010000E+03  0.50000E+00    2      861    -4    -5     T
      266  0.1020000E+03  0.50000E+00    3      866    -4    -5     T
      268  0.1030000E+03  0.50000E+00    2      871    -4    -5     T
      270  0.1040000E+03  0.50000E+00    3      876    -4    -5     T
      272  0.1050000E+03  0.50000E+00    3      881    -4    -5     T
      274  0.1060000E+03  0.50000E+00    2      885    -4    -5     T
      276  0.1070000E+03  0.50000E+00    2      889    -4    -5     T
      278  0.1080000E+03  0.50000E+00    3      894    -4    -5     T
      280  0.1090000E+03  0.50000E+00    2      898    -4    -5     T
      282  0.1100000E+03  0.50000E+00    2      902    -4    -5     T
      284  0.1110000E+03  0.50000E+00    2      906    -4    -5     T
      286  0.1120000E+03  0.50000E+00    3      911    -4    -5     T
      288  0.1130000E+03  0.50000E+00    2      915    -4    -5     T
      290  0.1140000E+03  0.50000E+00    2      919    -4    -5     T
      292  0.1150000E+03  0.50000E+00    2      923    -4    -5     T
      294  0.1160000E+03  0.50000E+00    2      927    -4    -5     T
      296  0.1170000E+03  0.50000E+00    2      931    -4    -5     T
      298  0.1180000E+03  0.50000E+00    2      935    -4    -5     T
      300  0.1190000E+03  0.50000E+00    2      939    -4    -5     T
      302  0.1200000E+03  0.50000E+00    2      943    -4    -5     T
      304  0.1210000E+03  0.50000E+00    4      949    -4    -5     T
      306  0.1220000E+03  0.50000E+00    2      954    -4    -5     T
      308  0.1230000E+03  0.50000E+00    2      958    -4    -5     T
