 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15: 7:50
 Units: L = mm   , T = days , M = mmol 



                               Node( 37)

         time            h        theta    Temp  
          1.0000       -8.41  0.4359   20.000
          2.0000       -8.51  0.4358   20.000
          3.0000      -10.24  0.4341   20.000
          4.0000      -11.84  0.4324   20.000
          5.0000      -12.76  0.4314   20.000
          6.0000      -13.61  0.4305   20.000
          7.0000      -15.38  0.4286   20.000
          8.0000      -18.03  0.4256   20.000
          9.0000      -20.81  0.4223   20.000
         10.0000      -22.87  0.4199   20.000
         11.0000      -24.10  0.4184   20.000
         12.0000      -26.03  0.4162   20.000
         13.0000      -28.70  0.4130   20.000
         14.0000      -31.30  0.4099   20.000
         15.0000      -32.92  0.4080   20.000
         16.0000      -33.72  0.4071   20.000
         17.0000      -34.32  0.4064   20.000
         18.0000      -35.55  0.4049   20.000
         19.0000      -37.00  0.4032   20.000
         20.0000      -38.51  0.4015   20.000
         21.0000      -40.32  0.3995   20.000
         22.0000      -41.92  0.3977   20.000
         23.0000      -43.22  0.3962   20.000
         24.0000      -44.40  0.3949   20.000
         25.0000      -45.40  0.3938   20.000
         26.0000      -46.69  0.3923   20.000
         27.0000      -47.87  0.3910   20.000
         28.0000      -48.68  0.3902   20.000
         29.0000      -49.22  0.3896   20.000
         30.0000      -49.78  0.3890   20.000
         31.0000      -50.66  0.3881   20.000
         32.0000      -51.81  0.3869   20.000
         33.0000      -53.25  0.3854   20.000
         34.0000      -55.27  0.3833   20.000
         35.0000      -57.66  0.3808   20.000
         36.0000      -60.11  0.3783   20.000
         37.0000      -62.49  0.3760   20.000
         38.0000      -64.87  0.3738   20.000
         39.0000      -67.15  0.3717   20.000
         40.0000      -69.43  0.3696   20.000
         41.0000      -72.05  0.3671   20.000
         42.0000      -74.87  0.3645   20.000
         43.0000      -77.82  0.3620   20.000
         44.0000      -80.93  0.3595   20.000
         45.0000      -83.97  0.3570   20.000
         46.0000      -86.69  0.3548   20.000
         47.0000      -89.35  0.3526   20.000
         48.0000      -92.16  0.3504   20.000
         49.0000      -95.14  0.3479   20.000
         50.0000      -98.12  0.3459   20.000
         51.0000     -100.99  0.3439   20.000
         52.0000     -103.65  0.3421   20.000
         53.0000     -106.01  0.3405   20.000
         54.0000     -108.01  0.3392   20.000
         55.0000     -109.68  0.3380   20.000
         56.0000     -111.27  0.3369   20.000
         57.0000     -113.12  0.3357   20.000
         58.0000     -115.29  0.3342   20.000
         59.0000     -117.64  0.3326   20.000
         60.0000     -120.00  0.3310   20.000
         61.0000     -122.35  0.3297   20.000
         62.0000     -124.79  0.3283   20.000
         63.0000     -127.33  0.3269   20.000
         64.0000     -129.93  0.3255   20.000
         65.0000     -132.49  0.3240   20.000
         66.0000     -134.92  0.3227   20.000
         67.0000     -137.20  0.3214   20.000
         68.0000     -139.33  0.3203   20.000
         69.0000     -141.32  0.3192   20.000
         70.0000     -143.18  0.3181   20.000
         71.0000     -144.93  0.3172   20.000
         72.0000     -146.65  0.3162   20.000
         73.0000     -148.49  0.3152   20.000
         74.0000     -150.55  0.3141   20.000
         75.0000     -152.81  0.3129   20.000
         76.0000     -155.19  0.3119   20.000
         77.0000     -157.62  0.3108   20.000
         78.0000     -160.07  0.3097   20.000
         79.0000     -162.56  0.3086   20.000
         80.0000     -165.06  0.3076   20.000
         81.0000     -167.57  0.3065   20.000
         82.0000     -170.08  0.3054   20.000
         83.0000     -172.58  0.3043   20.000
         84.0000     -175.07  0.3032   20.000
         85.0000     -177.54  0.3021   20.000
         86.0000     -179.99  0.3010   20.000
         87.0000     -182.44  0.2999   20.000
         88.0000     -184.87  0.2989   20.000
         89.0000     -187.30  0.2978   20.000
         90.0000     -189.73  0.2968   20.000
         91.0000     -192.17  0.2957   20.000
         92.0000     -194.59  0.2949   20.000
         93.0000     -197.05  0.2941   20.000
         94.0000     -199.56  0.2932   20.000
         95.0000     -202.09  0.2924   20.000
         96.0000     -204.61  0.2915   20.000
         97.0000     -207.14  0.2906   20.000
         98.0000     -209.67  0.2898   20.000
         99.0000     -212.23  0.2889   20.000
        100.0000     -214.81  0.2880   20.000
        101.0000     -217.40  0.2872   20.000
        102.0000     -220.00  0.2863   20.000
        103.0000     -222.60  0.2854   20.000
        104.0000     -225.17  0.2845   20.000
        105.0000     -227.71  0.2837   20.000
        106.0000     -230.22  0.2828   20.000
        107.0000     -232.71  0.2820   20.000
        108.0000     -235.21  0.2811   20.000
        109.0000     -237.69  0.2803   20.000
        110.0000     -240.21  0.2794   20.000
        111.0000     -242.69  0.2786   20.000
        112.0000     -245.15  0.2780   20.000
        113.0000     -247.56  0.2774   20.000
        114.0000     -249.91  0.2768   20.000
        115.0000     -252.25  0.2762   20.000
        116.0000     -254.56  0.2756   20.000
        117.0000     -256.86  0.2750   20.000
        118.0000     -259.15  0.2744   20.000
        119.0000     -261.42  0.2738   20.000
        120.0000     -263.68  0.2732   20.000
        121.0000     -265.95  0.2726   20.000
        122.0000     -268.32  0.2720   20.000
        123.0000     -271.00  0.2713   20.000
        124.0000     -274.02  0.2706   20.000
        125.0000     -277.29  0.2697   20.000
        126.0000     -280.71  0.2688   20.000
        127.0000     -284.14  0.2679   20.000
        128.0000     -287.54  0.2671   20.000
        129.0000     -290.96  0.2662   20.000
        130.0000     -294.40  0.2653   20.000
        131.0000     -297.86  0.2644   20.000
        132.0000     -301.35  0.2635   20.000
        133.0000     -304.80  0.2626   20.000
        134.0000     -308.25  0.2619   20.000
        135.0000     -311.59  0.2613   20.000
        136.0000     -314.89  0.2606   20.000
