,Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h3,theta3,temp3,h7,theta7,temp7,h12,theta12,temp12,h22,theta22,temp22,h32,theta32,temp32,h47,theta47,temp47,h72,theta72,temp72,h92,theta92,temp92,h112,theta112,temp112
0,2023-01-01,0.0,0.07112,-6.275,4.775,-1.26458333333333,0.0,0.0,-6.7707e-07,0.0,-0.016842,0.0,0.0,6.7424e-08,0.0,-0.057945,-43.22,-4.3388,-151.99,0.0,0.0,31.688,0.0,2.4891e-07,0.0,-41.24,0.3984,20.0,-37.35,0.4028,20.0,-32.59,0.4084,20.0,-23.08,0.4196,20.0,-13.36,0.4308,20.0,1.57,0.4418,20.0,26.57,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
1,2023-01-02,0.0,0.03556,-9.8,2.45,-4.71354166666667,0.03556,0.0,0.03556,0.0,-0.0082743,0.03556,0.0,0.03556,0.0,-0.068409,-45.366,-4.8975,-202.42,0.0,0.0,31.642,0.0,0.035561,0.0,-43.22,0.3962,20.0,-39.0,0.4009,20.0,-33.8,0.407,20.0,-23.59,0.419,20.0,-13.52,0.4306,20.0,1.49,0.4418,20.0,26.49,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
2,2023-01-03,0.0,0.10668,-8.45,2.175,-3.865625,0.10668,0.0,0.10668,0.0,-0.0052837,0.14224,0.0,0.14224,0.0,-0.074364,-49.264,-6.1215,-237.92,0.0,0.0,31.529,0.0,0.14224,0.0,-46.77,0.3922,20.0,-41.99,0.3976,20.0,-36.3,0.4041,20.0,-25.55,0.4167,20.0,-15.28,0.4287,20.0,-0.22,0.4418,20.0,24.78,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
3,2023-01-04,0.0,0.0762,-7.55,4.15,-2.59895833333333,0.0762,0.0,0.0762,0.0,-0.0038983,0.21844,0.0,0.21844,0.0,-0.078541,-50.383,-7.1064,-268.69,0.0,0.0,31.449,0.0,0.21844,0.0,-48.01,0.3909,20.0,-43.39,0.396,20.0,-37.82,0.4023,20.0,-27.16,0.4148,20.0,-16.89,0.4268,20.0,-1.82,0.4411,20.0,23.18,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
4,2023-01-05,0.0,0.03302,-11.3,1.75,-4.66666666666667,0.03302,0.0,0.03302,0.0,-0.002989,0.25146,0.0,0.25146,0.0,-0.081742,-50.019,-7.6529,-293.42,0.0,0.0,31.412,0.0,0.25146,0.0,-47.86,0.3911,20.0,-43.57,0.3959,20.0,-38.29,0.4018,20.0,-27.94,0.4139,20.0,-17.79,0.4258,20.0,-2.74,0.4405,20.0,22.26,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
5,2023-01-06,0.4267,0.04826,-2.2,4.325,1.20104166666667,0.04826,0.0,0.048261,0.0,-0.0023932,0.29972,0.0,0.29972,0.0,-0.084248,-51.256,-8.2439,-315.66,0.0,0.0,31.362,0.0,0.29972,0.0,-49.01,0.3898,20.0,-44.61,0.3946,20.0,-39.25,0.4007,20.0,-28.82,0.4128,20.0,-18.65,0.4248,20.0,-3.59,0.44,20.0,21.41,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
6,2023-01-07,0.0,0.127,-1.55,6.8,2.52291666666667,0.127,0.0,0.127,0.0,-0.0020481,0.42672,0.0,0.42672,0.0,-0.086378,-56.029,-9.4459,-337.45,0.0,0.0,31.233,0.0,0.42672,0.0,-53.3,0.3852,20.0,-48.13,0.3907,20.0,-42.09,0.3974,20.0,-30.94,0.4103,20.0,-20.48,0.4227,20.0,-5.32,0.4387,20.0,19.69,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
7,2023-01-08,0.0,0.18542,0.45,7.175,3.51770833333333,0.18542,0.0,0.18542,0.0,-0.0017567,0.61214,0.0,0.61214,0.0,-0.088204,-62.276,-11.103,-356.3,0.0,0.0,31.045,0.0,0.61214,0.0,-58.95,0.3794,20.0,-52.9,0.3857,20.0,-46.09,0.393,20.0,-34.07,0.4067,20.0,-23.22,0.4195,20.0,-7.89,0.4364,20.0,17.12,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
8,2023-01-09,0.0,0.1778,-0.6,5.775,2.91770833333333,0.1778,0.0,0.1778,0.0,-0.0015068,0.78994,0.0,0.78994,0.0,-0.089771,-66.355,-12.687,-372.49,0.0,0.0,30.866,0.0,0.78994,0.0,-62.94,0.3756,20.0,-56.63,0.3819,20.0,-49.57,0.3892,20.0,-37.14,0.4031,20.0,-26.07,0.4161,20.0,-10.6,0.4337,20.0,14.43,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
9,2023-01-10,0.0,0.09652,-7.15,7.1,0.789583333333333,0.09652,0.0,0.09652,0.0,-0.0012984,0.88646,0.0,0.88646,0.0,-0.091118,-65.173,-13.642,-386.85,0.0,0.0,30.768,0.0,0.88646,0.0,-62.41,0.3763,20.0,-57.06,0.3815,20.0,-50.73,0.3881,20.0,-38.98,0.401,20.0,-28.1,0.4137,20.0,-12.67,0.4315,20.0,12.37,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
10,2023-01-11,0.0017,0.04572,-7.9,3.25,-3.36770833333333,0.04572,0.0,0.04572,0.0,-0.0011899,0.93218,0.0,0.93218,0.0,-0.092336,-63.503,-14.183,-403.74,0.0,0.0,30.721,0.0,0.93218,0.0,-61.15,0.3774,20.0,-56.5,0.3821,20.0,-50.8,0.388,20.0,-39.8,0.4001,20.0,-29.25,0.4123,20.0,-13.96,0.4301,20.0,11.07,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
11,2023-01-12,0.0,0.19304,-2.55,7.25,3.34895833333333,0.19304,0.0,0.19304,0.0,-0.0010913,1.1252,0.0,1.1252,0.0,-0.093451,-73.488,-15.666,-419.28,0.0,0.0,30.527,0.0,1.1252,0.0,-69.61,0.3692,20.0,-62.75,0.3757,20.0,-55.27,0.3833,20.0,-42.55,0.397,20.0,-31.33,0.4099,20.0,-15.74,0.4282,20.0,9.34,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
12,2023-01-13,0.0,0.23114,5.425,10.05,7.59479166666667,0.23114,0.0,0.23114,0.0,-0.0010008,1.3564,0.0,1.3564,0.0,-0.094474,-82.231,-17.439,-433.52,0.0,0.0,30.295,0.0,1.3564,0.0,-77.39,0.3623,20.0,-69.03,0.3699,20.0,-60.32,0.3781,20.0,-46.11,0.393,20.0,-34.2,0.4065,20.0,-18.21,0.4254,20.0,6.94,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
13,2023-01-14,0.0,0.17272,0.625,9.625,5.56979166666667,0.17272,0.0,0.17272,0.0,-0.00091764,1.5291,0.0,1.5291,0.0,-0.095412,-83.409,-18.799,-446.56,0.0,0.0,30.121,0.0,1.5291,0.0,-79.21,0.3609,20.0,-71.52,0.3676,20.0,-63.16,0.3754,20.0,-48.96,0.3899,20.0,-36.88,0.4034,20.0,-20.71,0.4224,20.0,4.51,0.4418,20.0,0.0,0.0,20.0,0.0,0.0,20.0
