 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15:18:35
 Units: L = mm   , T = days , M = mmol 



                               Node(  3)                      Node(  7)                      Node( 12)                      Node( 22)                      Node( 32)                      Node( 47)                      Node( 72)                      Node( 92)                      Node(112)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          1.0000      -41.24  0.3984   20.000        -37.35  0.4028   20.000        -32.59  0.4084   20.000        -23.08  0.4196   20.000        -13.36  0.4308   20.000          1.57  0.4418   20.000         26.57  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          2.0000      -43.22  0.3962   20.000        -39.00  0.4009   20.000        -33.80  0.4070   20.000        -23.59  0.4190   20.000        -13.52  0.4306   20.000          1.49  0.4418   20.000         26.49  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          3.0000      -46.77  0.3922   20.000        -41.99  0.3976   20.000        -36.30  0.4041   20.000        -25.55  0.4167   20.000        -15.28  0.4287   20.000         -0.22  0.4418   20.000         24.78  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          4.0000      -48.01  0.3909   20.000        -43.39  0.3960   20.000        -37.82  0.4023   20.000        -27.16  0.4148   20.000        -16.89  0.4268   20.000         -1.82  0.4411   20.000         23.18  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          5.0000      -47.86  0.3911   20.000        -43.57  0.3959   20.000        -38.29  0.4018   20.000        -27.94  0.4139   20.000        -17.79  0.4258   20.000         -2.74  0.4405   20.000         22.26  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          6.0000      -49.01  0.3898   20.000        -44.61  0.3946   20.000        -39.25  0.4007   20.000        -28.82  0.4128   20.000        -18.65  0.4248   20.000         -3.59  0.4400   20.000         21.41  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          7.0000      -53.30  0.3852   20.000        -48.13  0.3907   20.000        -42.09  0.3974   20.000        -30.94  0.4103   20.000        -20.48  0.4227   20.000         -5.32  0.4387   20.000         19.69  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          8.0000      -58.95  0.3794   20.000        -52.90  0.3857   20.000        -46.09  0.3930   20.000        -34.07  0.4067   20.000        -23.22  0.4195   20.000         -7.89  0.4364   20.000         17.12  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
          9.0000      -62.94  0.3756   20.000        -56.63  0.3819   20.000        -49.57  0.3892   20.000        -37.14  0.4031   20.000        -26.07  0.4161   20.000        -10.60  0.4337   20.000         14.43  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
         10.0000      -62.41  0.3763   20.000        -57.06  0.3815   20.000        -50.73  0.3881   20.000        -38.98  0.4010   20.000        -28.10  0.4137   20.000        -12.67  0.4315   20.000         12.37  0.4418   20.000          0.00  0.0000   20.000          0.00  0.0000   20.000
