 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15:21: 4
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00 -0.70140E-08  0.00000E+00 -0.49437E-03  0.00000E+00  0.00000E+00  0.36060E-08  0.00000E+00 -0.59199E-03 -0.16599E+02 -0.75421E+01 -0.16776E+02  0.00000E+00  0.00000E+00  0.32851E+02  0.00000E+00  0.57102E-08      3  0.00000E+00      0.000
       2.0000  0.35560E-01  0.00000E+00  0.35560E-01  0.00000E+00 -0.26089E-03  0.35560E-01  0.00000E+00  0.35560E-01  0.00000E+00 -0.93883E-03 -0.71033E+02 -0.75683E+01 -0.17802E+02  0.00000E+00  0.00000E+00  0.32815E+02  0.00000E+00  0.35560E-01      9  0.00000E+00      0.000
       3.0000  0.10668E+00  0.00000E+00  0.10668E+00  0.00000E+00 -0.13953E-03  0.14224E+00  0.00000E+00  0.14224E+00  0.00000E+00 -0.11180E-02 -0.36609E+03 -0.75923E+01 -0.18338E+02  0.00000E+00  0.00000E+00  0.32709E+02  0.00000E+00  0.14224E+00     13  0.00000E+00      0.000
       4.0000  0.76200E-01  0.00000E+00  0.62836E-03  0.00000E+00 -0.73052E-04  0.21844E+00  0.00000E+00  0.20908E+00  0.00000E+00 -0.12163E-02 -0.10000E+07 -0.76381E+01 -0.18632E+02  0.00000E+00  0.00000E+00  0.32642E+02  0.00000E+00  0.20908E+00     25  0.00000E+00      0.000
       5.0000  0.33020E-01  0.00000E+00  0.61649E-03  0.00000E+00 -0.48424E-04  0.25146E+00  0.00000E+00  0.20970E+00  0.00000E+00 -0.12707E-02 -0.10000E+07 -0.76346E+01 -0.18784E+02  0.00000E+00  0.00000E+00  0.32641E+02  0.00000E+00  0.20970E+00     33  0.00000E+00      0.000
       6.0000  0.48260E-01  0.00000E+00  0.60165E-03  0.00000E+00 -0.47252E-04  0.29972E+00  0.00000E+00  0.21031E+00  0.00000E+00 -0.13183E-02 -0.10000E+07 -0.76306E+01 -0.18903E+02  0.00000E+00  0.00000E+00  0.32640E+02  0.00000E+00  0.21031E+00     36  0.00000E+00      0.000
       7.0000  0.12700E+00  0.00000E+00  0.58476E-03  0.00000E+00 -0.46104E-04  0.42672E+00  0.00000E+00  0.21090E+00  0.00000E+00 -0.13647E-02 -0.10000E+07 -0.76261E+01 -0.19018E+02  0.00000E+00  0.00000E+00  0.32640E+02  0.00000E+00  0.21090E+00     38  0.00000E+00      0.000
       8.0000  0.18542E+00  0.00000E+00  0.56659E-03  0.00000E+00 -0.45002E-04  0.61214E+00  0.00000E+00  0.21147E+00  0.00000E+00 -0.14100E-02 -0.10000E+07 -0.76209E+01 -0.19130E+02  0.00000E+00  0.00000E+00  0.32639E+02  0.00000E+00  0.21147E+00     40  0.00000E+00      0.000
