,Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h37,theta37,temp37
0,2023-01-01,0.0,0.07112,-6.275,4.775,-1.26458333333333,0.0,0.0,7.9199e-09,0.0,-6.0598e-06,0.0,0.0,-3.7002e-09,0.0,-6.0648e-06,-15.007,-7.5503,-15.004,0.0,0.0,33.678,0.0,3.0457e-09,0.0,-15.0,0.4551,20.0
1,2023-01-02,0.0,0.03556,-9.8,2.45,-4.71354166666667,0.03556,0.0,0.03556,0.0,-6.0499e-06,0.03556,0.0,0.03556,0.0,-1.2115e-05,-35.28,-7.5505,-15.007,0.0,0.0,33.642,0.0,0.03556,0.0,-15.0,0.4551,20.0
2,2023-01-03,0.0,0.10668,-8.45,2.175,-3.865625,0.10668,0.0,0.10668,0.0,-6.0499e-06,0.14224,0.0,0.14224,0.0,-1.8165e-05,-190.24,-7.5518,-15.011,0.0,0.0,33.536,0.0,0.14224,0.0,-15.0,0.4551,20.0
3,2023-01-04,0.0,0.0762,-7.55,4.15,-2.59895833333333,0.0762,0.0,0.0762,0.0,-6.0201e-06,0.21844,0.0,0.21844,0.0,-2.4185e-05,-613210.0,-7.5825,-15.014,0.0,0.0,33.459,0.0,0.21844,0.0,-15.0,0.4551,20.0
4,2023-01-05,0.0,0.03302,-11.3,1.75,-4.66666666666667,0.03302,0.0,0.0040545,0.0,-6.035e-06,0.25146,0.0,0.23083,0.0,-3.022e-05,-1000000.0,-7.606,-15.018,0.0,0.0,33.447,0.0,0.23083,0.0,-15.0,0.4551,20.0
5,2023-01-06,0.4267,0.04826,-2.2,4.325,1.20104166666667,0.04826,0.0,0.00032284,0.0,-6.035e-06,0.29972,0.0,0.2322,0.0,-3.6255e-05,-1000000.0,-7.6083,-15.022,0.0,0.0,33.446,0.0,0.2322,0.0,-15.0,0.4551,20.0
6,2023-01-07,0.0,0.127,-1.55,6.8,2.52291666666667,0.127,0.0,9.2502e-05,0.0,-6.0201e-06,0.42672,0.0,0.23231,0.0,-4.2275e-05,-1000000.0,-7.6086,-15.025,0.0,0.0,33.446,0.0,0.23231,0.0,-15.0,0.4551,20.0
7,2023-01-08,0.0,0.18542,0.45,7.175,3.51770833333333,0.18542,0.0,9.2322e-05,0.0,-6.0201e-06,0.61214,0.0,0.2324,0.0,-4.8295e-05,-1000000.0,-7.6088,-15.029,0.0,0.0,33.445,0.0,0.2324,0.0,-15.0,0.4551,20.0
8,2023-01-09,0.0,0.1778,-0.6,5.775,2.91770833333333,0.1778,0.0,9.2127e-05,0.0,-5.9903e-06,0.78994,0.0,0.23249,0.0,-5.43e-05,-1000000.0,-7.609,-15.033,0.0,0.0,33.445,0.0,0.23249,0.0,-15.0,0.4551,20.0
9,2023-01-10,0.0,0.09652,-7.15,7.1,0.789583333333333,0.09652,0.0,9.1931e-05,0.0,-5.9903e-06,0.88646,0.0,0.23258,0.0,-6.029e-05,-1000000.0,-7.6091,-15.036,0.0,0.0,33.445,0.0,0.23258,0.0,-15.0,0.4551,20.0
10,2023-01-11,0.0017,0.04572,-7.9,3.25,-3.36770833333333,0.04572,0.0,9.1734e-05,0.0,-5.9903e-06,0.93218,0.0,0.23268,0.0,-6.628e-05,-1000000.0,-7.6093,-15.04,0.0,0.0,33.445,0.0,0.23268,0.0,-15.0,0.4551,20.0
11,2023-01-12,0.0,0.19304,-2.55,7.25,3.34895833333333,0.19304,0.0,9.1537e-05,0.0,-5.9903e-06,1.1252,0.0,0.23277,0.0,-7.2271e-05,-1000000.0,-7.6095,-15.043,0.0,0.0,33.445,0.0,0.23277,0.0,-15.0,0.4551,20.0
12,2023-01-13,0.0,0.23114,5.425,10.05,7.59479166666667,0.23114,0.0,9.134e-05,0.0,-5.9903e-06,1.3564,0.0,0.23286,0.0,-7.8261e-05,-1000000.0,-7.6097,-15.047,0.0,0.0,33.445,0.0,0.23286,0.0,-15.0,0.4551,20.0
13,2023-01-14,0.0,0.17272,0.625,9.625,5.56979166666667,0.17272,0.0,9.1143e-05,0.0,-5.9605e-06,1.5291,0.0,0.23295,0.0,-8.4236e-05,-1000000.0,-7.6099,-15.05,0.0,0.0,33.445,0.0,0.23295,0.0,-15.0,0.4551,20.0
14,2023-01-15,0.0,0.03302,-0.75,4.825,1.30833333333333,0.03302,0.0,9.0946e-05,0.0,-5.9605e-06,1.5621,0.0,0.23304,0.0,-9.0197e-05,-1000000.0,-7.61,-15.054,0.0,0.0,33.445,0.0,0.23304,0.0,-15.0,0.4551,20.0
15,2023-01-16,0.068,0.02032,-1.675,3.35,0.201041666666667,0.02032,0.0,9.0749e-05,0.0,-5.9605e-06,1.5824,0.0,0.23313,0.0,-9.6157e-05,-1000000.0,-7.6102,-15.058,0.0,0.0,33.445,0.0,0.23313,0.0,-15.0,0.4551,20.0
16,2023-01-17,0.0323,0.04318,-2.025,4.625,0.527083333333333,0.04318,0.0,9.0552e-05,0.0,-5.9605e-06,1.6256,0.0,0.23322,0.0,-0.00010212,-1000000.0,-7.6104,-15.061,0.0,0.0,33.445,0.0,0.23322,0.0,-15.0,0.4551,20.0
17,2023-01-18,0.0,0.16002,-3.125,5.925,0.075,0.16002,0.0,9.0355e-05,0.0,-5.9605e-06,1.7856,0.0,0.23331,0.0,-0.00010808,-1000000.0,-7.6106,-15.065,0.0,0.0,33.444,0.0,0.23331,0.0,-15.0,0.4551,20.0
18,2023-01-19,0.0,0.10668,-1.75,4.525,0.377083333333333,0.10668,0.0,9.0157e-05,0.0,-5.9605e-06,1.8923,0.0,0.2334,0.0,-0.00011404,-1000000.0,-7.6107,-15.068,0.0,0.0,33.444,0.0,0.2334,0.0,-15.0,0.4551,20.0
19,2023-01-20,0.0,0.127,-3.55,4.375,-1.03020833333333,0.127,0.0,8.996e-05,0.0,-5.9307e-06,2.0193,0.0,0.23349,0.0,-0.00011997,-1000000.0,-7.6109,-15.072,0.0,0.0,33.444,0.0,0.23349,0.0,-15.0,0.4551,20.0
20,2023-01-21,0.0,0.18288,-3.325,5.875,0.444791666666667,0.18288,0.0,8.9763e-05,0.0,-5.9307e-06,2.2022,0.0,0.23358,0.0,-0.0001259,-1000000.0,-7.6111,-15.075,0.0,0.0,33.444,0.0,0.23358,0.0,-15.0,0.4551,20.0
21,2023-01-22,0.0,0.07874,-3.65,2.35,-0.75,0.07874,0.0,8.9565e-05,0.0,-5.9307e-06,2.2809,0.0,0.23367,0.0,-0.00013183,-1000000.0,-7.6113,-15.079,0.0,0.0,33.444,0.0,0.23367,0.0,-15.0,0.4551,20.0
22,2023-01-23,0.0,0.0889,-6.85,0.225,-3.28854166666667,0.0889,0.0,8.9368e-05,0.0,-5.9307e-06,2.3698,0.0,0.23376,0.0,-0.00013776,-1000000.0,-7.6114,-15.082,0.0,0.0,33.444,0.0,0.23376,0.0,-15.0,0.4551,20.0
23,2023-01-24,0.0,0.08382,-4.75,1.95,-1.86666666666667,0.08382,0.0,8.9171e-05,0.0,-5.9307e-06,2.4536,0.0,0.23385,0.0,-0.00014369,-1000000.0,-7.6116,-15.086,0.0,0.0,33.444,0.0,0.23385,0.0,-15.0,0.4551,20.0
