 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15:27: 0
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        3  0.1000000E+01  0.30000E+00    2        6    -4    -5     T
        5  0.2000000E+01  0.50000E+00    2       13    -4    -5     T
        7  0.3000000E+01  0.50000E+00    5       23    -4    -5     T
       15  0.4000000E+01  0.65104E-01    5       88     4    -5     T
       22  0.5000000E+01  0.23993E+00    2      103     4    -5     T
       25  0.6000000E+01  0.33333E+00    2      109     4    -5     T
       27  0.7000000E+01  0.50000E+00    2      113     4    -5     T
       29  0.8000000E+01  0.50000E+00    2      117     4    -5     T
       31  0.9000000E+01  0.50000E+00    2      121     4    -5     T
       33  0.1000000E+02  0.50000E+00    2      125     4    -5     T
       35  0.1100000E+02  0.50000E+00    2      129     4    -5     T
       37  0.1200000E+02  0.50000E+00    2      133     4    -5     T
       39  0.1300000E+02  0.50000E+00    2      137     4    -5     T
       41  0.1400000E+02  0.50000E+00    2      141     4    -5     T
       43  0.1500000E+02  0.50000E+00    2      145     4    -5     T
       45  0.1600000E+02  0.50000E+00    2      149     4    -5     T
       47  0.1700000E+02  0.50000E+00    2      153     4    -5     T
       49  0.1800000E+02  0.50000E+00    2      157     4    -5     T
       51  0.1900000E+02  0.50000E+00    2      161     4    -5     T
       53  0.2000000E+02  0.50000E+00    2      165     4    -5     T
       55  0.2100000E+02  0.50000E+00    2      169     4    -5     T
       57  0.2200000E+02  0.50000E+00    2      173     4    -5     T
       59  0.2300000E+02  0.50000E+00    2      177     4    -5     T
       61  0.2400000E+02  0.50000E+00    2      181     4    -5     T
       63  0.2500000E+02  0.50000E+00    2      185     4    -5     T
       65  0.2600000E+02  0.50000E+00    2      189     4    -5     T
       67  0.2700000E+02  0.50000E+00    2      193     4    -5     T
       69  0.2800000E+02  0.50000E+00    2      197     4    -5     T
       71  0.2900000E+02  0.50000E+00    2      201     4    -5     T
       73  0.3000000E+02  0.50000E+00    2      205     4    -5     T
       75  0.3100000E+02  0.50000E+00    2      209     4    -5     T
       77  0.3200000E+02  0.50000E+00    2      213     4    -5     T
       79  0.3300000E+02  0.50000E+00    2      217     4    -5     T
       81  0.3400000E+02  0.50000E+00    2      221     4    -5     T
       83  0.3500000E+02  0.50000E+00    2      225     4    -5     T
       85  0.3600000E+02  0.50000E+00    2      229     4    -5     T
       87  0.3700000E+02  0.50000E+00    2      233     4    -5     T
       89  0.3800000E+02  0.50000E+00    2      237     4    -5     T
       91  0.3900000E+02  0.50000E+00    2      241     4    -5     T
       93  0.4000000E+02  0.50000E+00    2      245     4    -5     T
       95  0.4100000E+02  0.50000E+00    2      249     4    -5     T
       97  0.4200000E+02  0.50000E+00    2      253     4    -5     T
       99  0.4300000E+02  0.50000E+00    2      257     4    -5     T
      101  0.4400000E+02  0.50000E+00    2      261     4    -5     T
      103  0.4500000E+02  0.50000E+00    2      265     4    -5     T
      105  0.4600000E+02  0.50000E+00    2      269     4    -5     T
      107  0.4700000E+02  0.50000E+00    2      273     4    -5     T
      109  0.4800000E+02  0.50000E+00    2      277     4    -5     T
      111  0.4900000E+02  0.50000E+00    2      281     4    -5     T
      113  0.5000000E+02  0.50000E+00    2      285     4    -5     T
      115  0.5100000E+02  0.50000E+00    2      289     4    -5     T
      117  0.5200000E+02  0.50000E+00    2      293     4    -5     T
      119  0.5300000E+02  0.50000E+00    2      297     4    -5     T
      121  0.5400000E+02  0.50000E+00    2      301     4    -5     T
      123  0.5500000E+02  0.50000E+00    2      305     4    -5     T
      125  0.5600000E+02  0.50000E+00    2      309     4    -5     T
      127  0.5700000E+02  0.50000E+00    2      313     4    -5     T
      129  0.5800000E+02  0.50000E+00    2      317     4    -5     T
      131  0.5900000E+02  0.50000E+00    2      321     4    -5     T
      133  0.6000000E+02  0.50000E+00    2      325     4    -5     T
      135  0.6100000E+02  0.50000E+00    2      329     4    -5     T
      137  0.6200000E+02  0.50000E+00    2      333     4    -5     T
      139  0.6300000E+02  0.50000E+00    2      337     4    -5     T
      141  0.6400000E+02  0.50000E+00    2      341     4    -5     T
      143  0.6500000E+02  0.50000E+00    2      345     4    -5     T
      145  0.6600000E+02  0.50000E+00    2      349     4    -5     T
      147  0.6700000E+02  0.50000E+00    2      353     4    -5     T
      149  0.6800000E+02  0.50000E+00    2      357     4    -5     T
      151  0.6900000E+02  0.50000E+00    2      361     4    -5     T
      153  0.7000000E+02  0.50000E+00    2      365     4    -5     T
      155  0.7100000E+02  0.50000E+00    2      369     4    -5     T
      157  0.7200000E+02  0.50000E+00    2      373     4    -5     T
      159  0.7300000E+02  0.50000E+00    2      377     4    -5     T
      161  0.7400000E+02  0.50000E+00    2      381     4    -5     T
      163  0.7500000E+02  0.50000E+00    2      385     4    -5     T
      165  0.7600000E+02  0.50000E+00    2      389     4    -5     T
      167  0.7700000E+02  0.50000E+00    2      393     4    -5     T
      169  0.7800000E+02  0.50000E+00    2      397     4    -5     T
      171  0.7900000E+02  0.50000E+00    2      401     4    -5     T
      173  0.8000000E+02  0.50000E+00    2      405     4    -5     T
