 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15:28:29
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00  0.14671E-07  0.00000E+00 -0.22866E-06  0.00000E+00  0.00000E+00 -0.27210E-07  0.00000E+00 -0.23842E-06 -0.15000E+02 -0.75503E+01 -0.15000E+02  0.00000E+00  0.00000E+00  0.24024E+02  0.00000E+00  0.22866E-07     22  0.00000E+00      0.000
       2.0000  0.35560E-01  0.00000E+00  0.35560E-01  0.00000E+00 -0.23842E-06  0.35560E-01  0.00000E+00  0.35560E-01  0.00000E+00 -0.47684E-06 -0.41137E+02 -0.75503E+01 -0.15000E+02  0.00000E+00  0.00000E+00  0.23989E+02  0.00000E+00  0.35560E-01     26  0.00000E+00      0.000
       3.0000  0.10668E+00  0.00000E+00  0.10668E+00  0.00000E+00 -0.26822E-06  0.14224E+00  0.00000E+00  0.14224E+00  0.00000E+00 -0.74506E-06 -0.94010E+05 -0.75632E+01 -0.15000E+02  0.00000E+00  0.00000E+00  0.23882E+02  0.00000E+00  0.14224E+00     28  0.00000E+00      0.000
       4.0000  0.76200E-01  0.00000E+00  0.15985E-02  0.00000E+00 -0.22738E-06  0.21844E+00  0.00000E+00  0.14982E+00  0.00000E+00 -0.99838E-06 -0.10000E+07 -0.75781E+01 -0.15001E+02  0.00000E+00  0.00000E+00  0.23874E+02  0.00000E+00  0.14982E+00     39  0.00000E+00      0.000
       5.0000  0.33020E-01  0.00000E+00  0.14271E-02  0.00000E+00 -0.23842E-06  0.25146E+00  0.00000E+00  0.15131E+00  0.00000E+00 -0.12517E-05 -0.10000E+07 -0.75814E+01 -0.15001E+02  0.00000E+00  0.00000E+00  0.23873E+02  0.00000E+00  0.15131E+00     42  0.00000E+00      0.000
       6.0000  0.48260E-01  0.00000E+00  0.12742E-02  0.00000E+00 -0.26822E-06  0.29972E+00  0.00000E+00  0.15263E+00  0.00000E+00 -0.15199E-05 -0.10000E+07 -0.75843E+01 -0.15001E+02  0.00000E+00  0.00000E+00  0.23872E+02  0.00000E+00  0.15263E+00     45  0.00000E+00      0.000
       7.0000  0.12700E+00  0.00000E+00  0.11388E-02  0.00000E+00 -0.26822E-06  0.42672E+00  0.00000E+00  0.15380E+00  0.00000E+00 -0.17881E-05 -0.10000E+07 -0.75868E+01 -0.15001E+02  0.00000E+00  0.00000E+00  0.23870E+02  0.00000E+00  0.15380E+00     47  0.00000E+00      0.000
       8.0000  0.18542E+00  0.00000E+00  0.10179E-02  0.00000E+00 -0.26822E-06  0.61214E+00  0.00000E+00  0.15485E+00  0.00000E+00 -0.20564E-05 -0.10000E+07 -0.75891E+01 -0.15001E+02  0.00000E+00  0.00000E+00  0.23869E+02  0.00000E+00  0.15485E+00     49  0.00000E+00      0.000
