

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.000000E+00  0.000000E+00  0.674240E-07  0.000000E+00 -0.579448E-01    -43.220     -4.339   -151.994       1
     2.00000  0.355600E-01  0.000000E+00  0.355605E-01  0.000000E+00 -0.684093E-01    -45.366     -4.897   -202.423       2
     3.00000  0.142240E+00  0.000000E+00  0.142240E+00  0.000000E+00 -0.743636E-01    -49.264     -6.122   -237.921       3
     4.00000  0.218440E+00  0.000000E+00  0.218441E+00  0.000000E+00 -0.785405E-01    -50.383     -7.106   -268.694       4
     5.00000  0.251460E+00  0.000000E+00  0.251460E+00  0.000000E+00 -0.817424E-01    -50.019     -7.653   -293.420       5
     6.00000  0.299720E+00  0.000000E+00  0.299720E+00  0.000000E+00 -0.842481E-01    -51.256     -8.244   -315.656       6
     7.00000  0.426720E+00  0.000000E+00  0.426720E+00  0.000000E+00 -0.863777E-01    -56.029     -9.446   -337.452       7
     8.00000  0.612140E+00  0.000000E+00  0.612140E+00  0.000000E+00 -0.882043E-01    -62.276    -11.103   -356.303       8
     9.00000  0.789940E+00  0.000000E+00  0.789940E+00  0.000000E+00 -0.897712E-01    -66.355    -12.687   -372.492       9
    10.00000  0.886460E+00  0.000000E+00  0.886460E+00  0.000000E+00 -0.911182E-01    -65.173    -13.642   -386.847      10
    11.00000  0.932180E+00  0.000000E+00  0.932179E+00  0.000000E+00 -0.923357E-01    -63.503    -14.183   -403.743      11
    12.00000  0.112522E+01  0.000000E+00  0.112522E+01  0.000000E+00 -0.934514E-01    -73.488    -15.666   -419.279      12
    13.00000  0.135636E+01  0.000000E+00  0.135636E+01  0.000000E+00 -0.944743E-01    -82.231    -17.439   -433.516      13
    14.00000  0.152908E+01  0.000000E+00  0.152908E+01  0.000000E+00 -0.954124E-01    -83.409    -18.799   -446.565      14
    15.00000  0.156210E+01  0.000000E+00  0.156210E+01  0.000000E+00 -0.962726E-01    -75.152    -19.158   -458.533      15
    16.00000  0.158242E+01  0.000000E+00  0.158242E+01  0.000000E+00 -0.970613E-01    -72.931    -19.397   -469.513      16
    17.00000  0.162560E+01  0.000000E+00  0.162560E+01  0.000000E+00 -0.977844E-01    -74.041    -19.762   -479.578      17
    18.00000  0.178562E+01  0.000000E+00  0.178562E+01  0.000000E+00 -0.984512E-01    -84.224    -20.916   -489.860      18
    19.00000  0.189230E+01  0.000000E+00  0.189230E+01  0.000000E+00 -0.990838E-01    -84.469    -21.721   -501.758      19
    20.00000  0.201930E+01  0.000000E+00  0.201930E+01  0.000000E+00 -0.996863E-01    -88.104    -22.651   -513.146      20
    21.00000  0.220218E+01  0.000000E+00  0.220218E+01  0.000000E+00 -0.100260E+00    -96.991    -23.974   -523.996      21
    22.00000  0.228092E+01  0.000000E+00  0.228092E+01  0.000000E+00 -0.100808E+00    -91.066    -24.531   -534.335      22
    23.00000  0.236982E+01  0.000000E+00  0.236982E+01  0.000000E+00 -0.101329E+00    -91.763    -25.167   -544.187      23
    24.00000  0.245364E+01  0.000000E+00  0.245364E+01  0.000000E+00 -0.101825E+00    -92.362    -25.772   -553.573      24
    25.00000  0.251460E+01  0.000000E+00  0.251460E+01  0.000000E+00 -0.102299E+00    -91.166    -26.213   -562.517      25
    26.00000  0.266700E+01  0.000000E+00  0.266700E+01  0.000000E+00 -0.102750E+00   -101.644    -27.333   -571.037      26
    27.00000  0.271272E+01  0.000000E+00  0.271272E+01  0.000000E+00 -0.103179E+00    -94.519    -27.640   -579.156      27
    28.00000  0.274701E+01  0.000000E+00  0.274701E+01  0.000000E+00 -0.103589E+00    -92.230    -27.877   -586.895      28
