 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  13:50: 9
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00 -0.67707E-06  0.00000E+00 -0.16842E-01  0.00000E+00  0.00000E+00  0.67424E-07  0.00000E+00 -0.57945E-01 -0.43220E+02 -0.43388E+01 -0.15199E+03  0.00000E+00  0.00000E+00  0.31688E+02  0.00000E+00  0.24891E-06     11  0.00000E+00      0.000
       2.0000  0.35560E-01  0.00000E+00  0.35560E-01  0.00000E+00 -0.82743E-02  0.35560E-01  0.00000E+00  0.35560E-01  0.00000E+00 -0.68409E-01 -0.45366E+02 -0.48975E+01 -0.20242E+03  0.00000E+00  0.00000E+00  0.31642E+02  0.00000E+00  0.35561E-01     14  0.00000E+00      0.000
       3.0000  0.10668E+00  0.00000E+00  0.10668E+00  0.00000E+00 -0.52837E-02  0.14224E+00  0.00000E+00  0.14224E+00  0.00000E+00 -0.74364E-01 -0.49264E+02 -0.61215E+01 -0.23792E+03  0.00000E+00  0.00000E+00  0.31529E+02  0.00000E+00  0.14224E+00     16  0.00000E+00      0.000
       4.0000  0.76200E-01  0.00000E+00  0.76200E-01  0.00000E+00 -0.38983E-02  0.21844E+00  0.00000E+00  0.21844E+00  0.00000E+00 -0.78541E-01 -0.50383E+02 -0.71064E+01 -0.26869E+03  0.00000E+00  0.00000E+00  0.31449E+02  0.00000E+00  0.21844E+00     18  0.00000E+00      0.000
       5.0000  0.33020E-01  0.00000E+00  0.33020E-01  0.00000E+00 -0.29890E-02  0.25146E+00  0.00000E+00  0.25146E+00  0.00000E+00 -0.81742E-01 -0.50019E+02 -0.76529E+01 -0.29342E+03  0.00000E+00  0.00000E+00  0.31412E+02  0.00000E+00  0.25146E+00     20  0.00000E+00      0.000
       6.0000  0.48260E-01  0.00000E+00  0.48261E-01  0.00000E+00 -0.23932E-02  0.29972E+00  0.00000E+00  0.29972E+00  0.00000E+00 -0.84248E-01 -0.51256E+02 -0.82439E+01 -0.31566E+03  0.00000E+00  0.00000E+00  0.31362E+02  0.00000E+00  0.29972E+00     22  0.00000E+00      0.000
       7.0000  0.12700E+00  0.00000E+00  0.12700E+00  0.00000E+00 -0.20481E-02  0.42672E+00  0.00000E+00  0.42672E+00  0.00000E+00 -0.86378E-01 -0.56029E+02 -0.94459E+01 -0.33745E+03  0.00000E+00  0.00000E+00  0.31233E+02  0.00000E+00  0.42672E+00     24  0.00000E+00      0.000
       8.0000  0.18542E+00  0.00000E+00  0.18542E+00  0.00000E+00 -0.17567E-02  0.61214E+00  0.00000E+00  0.61214E+00  0.00000E+00 -0.88204E-01 -0.62276E+02 -0.11103E+02 -0.35630E+03  0.00000E+00  0.00000E+00  0.31045E+02  0.00000E+00  0.61214E+00     26  0.00000E+00      0.000
