,Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h3,theta3,temp3,h7,theta7,temp7,h12,theta12,temp12,h22,theta22,temp22,h32,theta32,temp32,h47,theta47,temp47,h72,theta72,temp72,h92,theta92,temp92,h112,theta112,temp112
0,2023-01-01,0.0,0.07112,-6.275,4.775,-1.26458333333333,0.0,0.0,-7.3668e-07,0.0,-1.5444,0.0,0.0,4.2301e-07,0.0,-1.6454,-47.591,0.0,-17.576,0.0,0.0,62.76,0.0,6.4401e-07,0.0,-45.68,0.3932,20.0,-42.35,0.397,20.0,-38.9,0.4009,20.0,-33.72,0.407,20.0,-30.01,0.4114,20.0,-26.13,0.416,20.0,-22.17,0.4207,20.0,-20.15,0.4242,20.0,-18.8,0.4257,20.0
1,2023-01-02,0.0,0.03556,-9.8,2.45,-4.71354166666667,0.03556,0.0,0.03556,0.0,-1.2074,0.03556,0.0,0.03556,0.0,-2.9325,-61.343,0.0,-22.274,0.0,0.0,61.437,0.0,0.035561,0.0,-59.17,0.3791,20.0,-55.35,0.3831,20.0,-51.3,0.3873,20.0,-45.02,0.3941,20.0,-40.3,0.3994,20.0,-35.16,0.4053,20.0,-29.5,0.412,20.0,-26.5,0.4171,20.0,-24.28,0.4196,20.0
2,2023-01-03,0.0,0.10668,-8.45,2.175,-3.865625,0.10668,0.0,0.10668,0.0,-0.97564,0.14224,0.0,0.14224,0.0,-3.9627,-75.888,0.0,-26.92,0.0,0.0,60.3,0.0,0.14224,0.0,-72.84,0.3662,20.0,-67.67,0.3711,20.0,-62.42,0.376,20.0,-54.55,0.384,20.0,-48.82,0.39,20.0,-42.64,0.3968,20.0,-35.84,0.4046,20.0,-32.12,0.4108,20.0,-29.47,0.4138,20.0
3,2023-01-04,0.0,0.0762,-7.55,4.15,-2.59895833333333,0.0762,0.0,0.076199,0.0,-0.80743,0.21844,0.0,0.21844,0.0,-4.807,-84.244,0.0,-31.139,0.0,0.0,59.38,0.0,0.21844,0.0,-81.31,0.3592,20.0,-76.1,0.3634,20.0,-70.66,0.3684,20.0,-62.21,0.3763,20.0,-55.95,0.3826,20.0,-48.99,0.3898,20.0,-41.31,0.3984,20.0,-37.18,0.4052,20.0,-34.14,0.4086,20.0
4,2023-01-05,0.0,0.03302,-11.3,1.75,-4.66666666666667,0.03302,0.0,0.03302,0.0,-0.68558,0.25146,0.0,0.25146,0.0,-5.522,-88.141,0.0,-35.141,0.0,0.0,58.632,0.0,0.25146,0.0,-85.71,0.3557,20.0,-81.22,0.3593,20.0,-76.24,0.3633,20.0,-68.08,0.3708,20.0,-61.7,0.3768,20.0,-54.45,0.3841,20.0,-46.19,0.3929,20.0,-41.63,0.4005,20.0,-38.25,0.4041,20.0
5,2023-01-06,0.4267,0.04826,-2.2,4.325,1.20104166666667,0.04826,0.0,0.04826,0.0,-0.59134,0.29972,0.0,0.29972,0.0,-6.1335,-94.75,0.0,-38.651,0.0,0.0,57.972,0.0,0.29972,0.0,-91.98,0.3505,20.0,-87.06,0.3545,20.0,-81.8,0.3588,20.0,-73.3,0.3659,20.0,-66.71,0.3721,20.0,-59.18,0.3792,20.0,-50.44,0.3883,20.0,-45.71,0.3962,20.0,-42.08,0.4,20.0
6,2023-01-07,0.0,0.127,-1.55,6.8,2.52291666666667,0.127,0.0,0.127,0.0,-0.52583,0.42672,0.0,0.42672,0.0,-6.6755,-110.68,0.0,-42.045,0.0,0.0,57.303,0.0,0.42672,0.0,-105.78,0.3406,20.0,-97.79,0.3461,20.0,-90.14,0.352,20.0,-79.4,0.3607,20.0,-71.83,0.3673,20.0,-63.59,0.375,20.0,-54.4,0.3842,20.0,-49.29,0.3925,20.0,-45.63,0.3963,20.0
7,2023-01-08,0.0,0.18542,0.45,7.175,3.51770833333333,0.18542,0.0,0.18542,0.0,-0.46517,0.61214,0.0,0.61214,0.0,-7.1556,-132.98,0.0,-45.194,0.0,0.0,56.637,0.0,0.61214,0.0,-124.43,0.3284,20.0,-111.67,0.3366,20.0,-100.74,0.3441,20.0,-86.53,0.3549,20.0,-77.4,0.3623,20.0,-68.07,0.3708,20.0,-58.14,0.3803,20.0,-52.73,0.3892,20.0,-48.76,0.393,20.0
8,2023-01-09,0.0,0.1778,-0.6,5.775,2.91770833333333,0.1778,0.0,0.1778,0.0,-0.41548,0.78994,0.0,0.78994,0.0,-7.5822,-149.94,0.0,-47.982,0.0,0.0,56.033,0.0,0.78994,0.0,-139.51,0.3202,20.0,-124.12,0.3287,20.0,-110.69,0.3373,20.0,-93.77,0.3491,20.0,-83.15,0.3577,20.0,-72.61,0.3666,20.0,-61.68,0.3768,20.0,-56.05,0.3859,20.0,-51.82,0.39,20.0
9,2023-01-10,0.0,0.09652,-7.15,7.1,0.789583333333333,0.09652,0.0,0.09652,0.0,-0.3833,0.88646,0.0,0.88646,0.0,-7.9735,-146.27,0.0,-50.766,0.0,0.0,55.545,0.0,0.88646,0.0,-139.72,0.3202,20.0,-128.28,0.3264,20.0,-116.48,0.3334,20.0,-99.79,0.3447,20.0,-88.43,0.3534,20.0,-76.98,0.3627,20.0,-65.2,0.3735,20.0,-59.18,0.3828,20.0,-54.82,0.3871,20.0
