 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  26.12.    Time:  17: 3:19
 Units: L = mm   , T = days , M = mmol 



                               Node(  3)                      Node(  7)                      Node( 12)                      Node( 22)                      Node( 32)                      Node( 47)                      Node( 72)                      Node( 92)                      Node(112)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          1.0000      -45.68  0.3932   20.000        -42.35  0.3970   20.000        -38.90  0.4009   20.000        -33.72  0.4070   20.000        -30.01  0.4114   20.000        -26.14  0.4160   20.000        -22.21  0.4207   20.000        -20.29  0.4240   20.000        -19.13  0.4301   20.000
          2.0000      -59.18  0.3791   20.000        -55.35  0.3831   20.000        -51.31  0.3873   20.000        -45.02  0.3941   20.000        -40.31  0.3994   20.000        -35.19  0.4053   20.000        -29.60  0.4119   20.000        -26.80  0.4167   20.000        -24.97  0.4255   20.000
          3.0000      -72.85  0.3662   20.000        -67.69  0.3711   20.000        -62.43  0.3760   20.000        -54.57  0.3840   20.000        -48.85  0.3900   20.000        -42.69  0.3968   20.000        -36.01  0.4044   20.000        -32.57  0.4103   20.000        -30.35  0.4212   20.000
          4.0000      -81.33  0.3591   20.000        -76.13  0.3633   20.000        -70.68  0.3684   20.000        -62.24  0.3763   20.000        -55.99  0.3825   20.000        -49.07  0.3897   20.000        -41.55  0.3981   20.000        -37.71  0.4046   20.000        -35.33  0.4174   20.000
          5.0000      -85.74  0.3556   20.000        -81.25  0.3592   20.000        -76.28  0.3632   20.000        -68.13  0.3708   20.000        -61.76  0.3767   20.000        -54.56  0.3840   20.000        -46.49  0.3925   20.000        -42.33  0.3998   20.000        -39.58  0.4141   20.000
          6.0000      -92.02  0.3504   20.000        -87.11  0.3544   20.000        -81.85  0.3587   20.000        -73.36  0.3659   20.000        -66.80  0.3720   20.000        -59.33  0.3791   20.000        -50.81  0.3880   20.000        -46.49  0.3954   20.000        -43.64  0.4111   20.000
          7.0000     -105.86  0.3405   20.000        -97.86  0.3460   20.000        -90.21  0.3520   20.000        -79.48  0.3607   20.000        -71.94  0.3672   20.000        -63.77  0.3749   20.000        -54.84  0.3837   20.000        -50.17  0.3917   20.000        -47.24  0.4084   20.000
          8.0000     -124.55  0.3284   20.000       -111.77  0.3366   20.000       -100.84  0.3440   20.000        -86.63  0.3549   20.000        -77.54  0.3622   20.000        -68.29  0.3706   20.000        -58.63  0.3798   20.000        -53.73  0.3882   20.000        -50.52  0.4061   20.000
          9.0000     -139.67  0.3201   20.000       -124.25  0.3286   20.000       -110.82  0.3372   20.000        -93.90  0.3489   20.000        -83.32  0.3575   20.000        -72.86  0.3664   20.000        -62.23  0.3763   20.000        -57.13  0.3848   20.000        -53.77  0.4038   20.000
         10.0000     -139.91  0.3201   20.000       -128.45  0.3263   20.000       -116.64  0.3333   20.000        -99.96  0.3446   20.000        -88.63  0.3532   20.000        -77.28  0.3624   20.000        -65.82  0.3729   20.000        -60.31  0.3817   20.000        -56.90  0.4017   20.000
         11.0000     -136.27  0.3221   20.000       -128.34  0.3264   20.000       -119.11  0.3316   20.000       -104.20  0.3417   20.000        -93.08  0.3496   20.000        -81.37  0.3591   20.000        -69.29  0.3697   20.000        -63.40  0.3790   20.000        -59.79  0.3996   20.000
         12.0000     -165.90  0.3072   20.000       -144.66  0.3173   20.000       -128.73  0.3261   20.000       -109.48  0.3382   20.000        -97.44  0.3463   20.000        -85.17  0.3560   20.000        -72.59  0.3666   20.000        -66.42  0.3764   20.000        -62.53  0.3979   20.000
         13.0000     -202.21  0.2923   20.000       -165.89  0.3072   20.000       -141.66  0.3190   20.000       -116.47  0.3334   20.000       -102.41  0.3430   20.000        -88.98  0.3529   20.000        -75.71  0.3637   20.000        -69.35  0.3738   20.000        -65.27  0.3962   20.000
         14.0000     -217.30  0.2872   20.000       -179.61  0.3012   20.000       -152.76  0.3129   20.000       -123.79  0.3289   20.000       -107.65  0.3394   20.000        -92.89  0.3498   20.000        -78.78  0.3612   20.000        -72.19  0.3713   20.000        -67.98  0.3945   20.000
         15.0000     -188.75  0.2972   20.000       -173.75  0.3037   20.000       -155.72  0.3116   20.000       -129.33  0.3258   20.000       -112.51  0.3361   20.000        -96.79  0.3468   20.000        -81.81  0.3588   20.000        -74.91  0.3689   20.000        -70.62  0.3929   20.000
         16.0000     -176.87  0.3025   20.000       -167.33  0.3066   20.000       -154.58  0.3121   20.000       -132.54  0.3240   20.000       -116.46  0.3334   20.000       -100.44  0.3443   20.000        -84.79  0.3563   20.000        -77.53  0.3668   20.000        -73.16  0.3913   20.000
         17.0000     -176.99  0.3023   20.000       -166.56  0.3069   20.000       -154.67  0.3121   20.000       -134.80  0.3228   20.000       -119.66  0.3312   20.000       -103.73  0.3421   20.000        -87.67  0.3540   20.000        -80.12  0.3648   20.000        -75.54  0.3898   20.000
         18.0000     -212.80  0.2887   20.000       -183.07  0.2997   20.000       -162.50  0.3087   20.000       -138.19  0.3209   20.000       -122.75  0.3294   20.000       -106.74  0.3400   20.000        -90.43  0.3518   20.000        -82.65  0.3629   20.000        -77.84  0.3886   20.000
         19.0000     -220.77  0.2861   20.000       -192.77  0.2955   20.000       -170.05  0.3053   20.000       -142.69  0.3184   20.000       -126.19  0.3275   20.000       -109.64  0.3380   20.000        -93.05  0.3496   20.000        -85.10  0.3610   20.000        -80.13  0.3873   20.000
         20.0000     -239.88  0.2795   20.000       -204.50  0.2915   20.000       -177.70  0.3020   20.000       -147.48  0.3158   20.000       -129.80  0.3255   20.000       -112.55  0.3361   20.000        -95.57  0.3476   20.000        -87.49  0.3592   20.000        -82.39  0.3861   20.000
         21.0000     -288.66  0.2667   20.000       -225.22  0.2845   20.000       -188.65  0.2973   20.000       -153.03  0.3128   20.000       -133.62  0.3234   20.000       -115.50  0.3341   20.000        -98.03  0.3459   20.000        -89.80  0.3574   20.000        -84.62  0.3849   20.000
         22.0000     -273.85  0.2706   20.000       -230.73  0.2826   20.000       -196.63  0.2942   20.000       -158.63  0.3104   20.000       -137.57  0.3212   20.000       -118.51  0.3320   20.000       -100.45  0.3443   20.000        -92.06  0.3557   20.000        -86.80  0.3837   20.000
         23.0000     -277.20  0.2698   20.000       -235.04  0.2812   20.000       -201.99  0.2924   20.000       -163.46  0.3082   20.000       -141.42  0.3191   20.000       -121.55  0.3301   20.000       -102.84  0.3427   20.000        -94.24  0.3540   20.000        -88.93  0.3826   20.000
         24.0000     -281.14  0.2687   20.000       -239.66  0.2796   20.000       -206.73  0.2908   20.000       -167.76  0.3064   20.000       -145.09  0.3171   20.000       -124.54  0.3284   20.000       -105.20  0.3411   20.000        -96.36  0.3525   20.000        -91.01  0.3814   20.000
         25.0000     -275.13  0.2703   20.000       -240.66  0.2793   20.000       -210.07  0.2896   20.000       -171.56  0.3047   20.000       -148.57  0.3152   20.000       -127.45  0.3268   20.000       -107.54  0.3395   20.000        -98.47  0.3512   20.000        -93.02  0.3804   20.000
         26.0000     -331.42  0.2574   20.000       -258.65  0.2745   20.000       -217.28  0.2872   20.000       -175.47  0.3030   20.000       -151.95  0.3133   20.000       -130.25  0.3253   20.000       -109.83  0.3379   20.000       -100.55  0.3498   20.000        -94.96  0.3793   20.000
         27.0000     -303.39  0.2630   20.000       -260.81  0.2740   20.000       -222.87  0.2853   20.000       -179.63  0.3012   20.000       -155.37  0.3118   20.000       -132.98  0.3238   20.000       -112.09  0.3364   20.000       -102.60  0.3485   20.000        -96.83  0.3784   20.000
         28.0000     -285.32  0.2677   20.000       -255.82  0.2753   20.000       -224.36  0.2848   20.000       -183.13  0.2996   20.000       -158.61  0.3104   20.000       -135.65  0.3223   20.000       -114.30  0.3349   20.000       -104.61  0.3472   20.000        -98.68  0.3776   20.000
         29.0000     -270.00  0.2717   20.000       -248.94  0.2770   20.000       -223.63  0.2850   20.000       -185.78  0.2985   20.000       -161.54  0.3091   20.000       -138.23  0.3209   20.000       -116.48  0.3334   20.000       -106.59  0.3460   20.000       -100.53  0.3767   20.000
         30.0000     -277.94  0.2695   20.000       -250.25  0.2767   20.000       -224.21  0.2849   20.000       -187.94  0.2975   20.000       -164.15  0.3079   20.000       -140.70  0.3195   20.000       -118.61  0.3320   20.000       -108.54  0.3447   20.000       -102.37  0.3759   20.000
         31.0000     -313.42  0.2609   20.000       -263.21  0.2734   20.000       -228.95  0.2832   20.000       -190.44  0.2964   20.000       -166.58  0.3069   20.000       -143.07  0.3182   20.000       -120.70  0.3306   20.000       -110.46  0.3435   20.000       -104.20  0.3751   20.000
         32.0000     -349.40  0.2539   20.000       -279.17  0.2692   20.000       -236.78  0.2806   20.000       -193.85  0.2952   20.000       -169.10  0.3058   20.000       -145.36  0.3169   20.000       -122.75  0.3294   20.000       -112.36  0.3423   20.000       -106.00  0.3743   20.000
         33.0000     -415.93  0.2426   20.000       -301.81  0.2634   20.000       -247.32  0.2775   20.000       -198.04  0.2937   20.000       -171.83  0.3046   20.000       -147.64  0.3157   20.000       -124.75  0.3283   20.000       -114.21  0.3411   20.000       -107.79  0.3735   20.000
         34.0000     -663.27  0.2152   20.000       -342.22  0.2553   20.000       -261.86  0.2737   20.000       -203.09  0.2920   20.000       -174.84  0.3033   20.000       -149.95  0.3144   20.000       -126.70  0.3272   20.000       -116.04  0.3399   20.000       -109.55  0.3727   20.000
         35.0000     -924.18  0.1981   20.000       -381.53  0.2477   20.000       -277.78  0.2696   20.000       -208.90  0.2900   20.000       -178.15  0.3018   20.000       -152.34  0.3131   20.000       -128.63  0.3262   20.000       -117.83  0.3388   20.000       -111.28  0.3719   20.000
         36.0000    -1490.76  0.1770   20.000       -421.26  0.2418   20.000       -293.37  0.2656   20.000       -215.08  0.2880   20.000       -181.78  0.3002   20.000       -154.82  0.3120   20.000       -130.54  0.3251   20.000       -119.60  0.3376   20.000       -112.98  0.3711   20.000
         37.0000    -1742.45  0.1710   20.000       -455.86  0.2368   20.000       -308.54  0.2619   20.000       -221.35  0.2858   20.000       -185.62  0.2986   20.000       -157.36  0.3109   20.000       -132.43  0.3241   20.000       -121.34  0.3366   20.000       -114.66  0.3703   20.000
         38.0000    -1848.12  0.1688   20.000       -480.11  0.2334   20.000       -321.63  0.2593   20.000       -227.47  0.2838   20.000       -189.60  0.2968   20.000       -159.96  0.3098   20.000       -134.32  0.3230   20.000       -123.06  0.3357   20.000       -116.30  0.3696   20.000
         39.0000    -1911.58  0.1674   20.000       -498.63  0.2312   20.000       -332.81  0.2572   20.000       -233.38  0.2817   20.000       -193.65  0.2952   20.000       -162.59  0.3086   20.000       -136.21  0.3220   20.000       -124.77  0.3348   20.000       -117.92  0.3689   20.000
         40.0000    -1944.09  0.1667   20.000       -513.92  0.2295   20.000       -342.41  0.2553   20.000       -239.08  0.2798   20.000       -197.61  0.2939   20.000       -165.22  0.3075   20.000       -138.11  0.3209   20.000       -126.46  0.3339   20.000       -119.51  0.3681   20.000
         41.0000    -1991.74  0.1659   20.000       -526.83  0.2282   20.000       -351.06  0.2536   20.000       -244.55  0.2782   20.000       -201.44  0.2926   20.000       -167.84  0.3063   20.000       -140.00  0.3199   20.000       -128.14  0.3331   20.000       -121.06  0.3675   20.000
         42.0000    -2040.76  0.1651   20.000       -539.34  0.2269   20.000       -358.74  0.2521   20.000       -249.72  0.2768   20.000       -205.11  0.2913   20.000       -170.44  0.3052   20.000       -141.89  0.3189   20.000       -129.81  0.3322   20.000       -122.60  0.3669   20.000
         43.0000    -2095.41  0.1643   20.000       -552.18  0.2255   20.000       -365.99  0.2507   20.000       -254.51  0.2756   20.000       -208.65  0.2901   20.000       -173.00  0.3041   20.000       -143.79  0.3178   20.000       -131.47  0.3313   20.000       -124.12  0.3664   20.000
         44.0000    -2119.25  0.1640   20.000       -563.80  0.2243   20.000       -373.36  0.2493   20.000       -259.05  0.2744   20.000       -212.03  0.2890   20.000       -175.52  0.3030   20.000       -145.68  0.3168   20.000       -133.12  0.3305   20.000       -125.64  0.3658   20.000
         45.0000    -2126.99  0.1638   20.000       -574.57  0.2231   20.000       -380.27  0.2480   20.000       -263.36  0.2733   20.000       -215.30  0.2879   20.000       -178.00  0.3019   20.000       -147.55  0.3157   20.000       -134.76  0.3296   20.000       -127.16  0.3652   20.000
         46.0000    -2193.52  0.1628   20.000       -585.32  0.2220   20.000       -386.98  0.2467   20.000       -267.56  0.2722   20.000       -218.50  0.2868   20.000       -180.46  0.3008   20.000       -149.43  0.3147   20.000       -136.39  0.3288   20.000       -128.68  0.3647   20.000
         47.0000    -2230.04  0.1622   20.000       -595.34  0.2209   20.000       -393.33  0.2458   20.000       -271.56  0.2712   20.000       -221.60  0.2857   20.000       -182.88  0.2998   20.000       -151.30  0.3137   20.000       -138.01  0.3279   20.000       -130.20  0.3641   20.000
         48.0000    -2264.76  0.1617   20.000       -604.36  0.2200   20.000       -399.37  0.2450   20.000       -275.44  0.2702   20.000       -224.63  0.2847   20.000       -185.27  0.2987   20.000       -153.17  0.3128   20.000       -139.62  0.3271   20.000       -131.71  0.3636   20.000
         49.0000    -2295.74  0.1612   20.000       -612.40  0.2191   20.000       -405.24  0.2441   20.000       -279.17  0.2692   20.000       -227.59  0.2837   20.000       -187.63  0.2977   20.000       -155.01  0.3120   20.000       -141.23  0.3263   20.000       -133.22  0.3630   20.000
         50.0000    -2322.21  0.1608   20.000       -620.48  0.2185   20.000       -410.88  0.2433   20.000       -282.82  0.2683   20.000       -230.50  0.2827   20.000       -189.98  0.2966   20.000       -156.83  0.3112   20.000       -142.82  0.3254   20.000       -134.71  0.3625   20.000
         51.0000    -2349.79  0.1603   20.000       -628.17  0.2179   20.000       -416.22  0.2425   20.000       -286.39  0.2674   20.000       -233.36  0.2817   20.000       -192.32  0.2957   20.000       -158.62  0.3104   20.000       -144.40  0.3246   20.000       -136.20  0.3619   20.000
         52.0000    -2381.00  0.1599   20.000       -635.67  0.2173   20.000       -421.37  0.2418   20.000       -289.88  0.2665   20.000       -236.21  0.2808   20.000       -194.63  0.2949   20.000       -160.39  0.3096   20.000       -145.98  0.3238   20.000       -137.67  0.3614   20.000
         53.0000    -1989.60  0.1660   20.000       -639.94  0.2169   20.000       -426.12  0.2411   20.000       -293.33  0.2656   20.000       -239.03  0.2798   20.000       -196.89  0.2941   20.000       -162.14  0.3088   20.000       -147.54  0.3230   20.000       -139.13  0.3608   20.000
         54.0000    -1684.15  0.1723   20.000       -641.03  0.2169   20.000       -430.37  0.2405   20.000       -296.66  0.2647   20.000       -241.81  0.2789   20.000       -199.10  0.2934   20.000       -163.87  0.3081   20.000       -149.09  0.3222   20.000       -140.58  0.3603   20.000
         55.0000    -1686.16  0.1723   20.000       -641.04  0.2169   20.000       -434.10  0.2400   20.000       -300.00  0.2638   20.000       -244.58  0.2782   20.000       -201.27  0.2926   20.000       -165.58  0.3073   20.000       -150.64  0.3214   20.000       -142.02  0.3598   20.000
         56.0000    -2300.12  0.1611   20.000       -649.17  0.2162   20.000       -437.88  0.2394   20.000       -303.23  0.2630   20.000       -247.28  0.2775   20.000       -203.40  0.2919   20.000       -167.27  0.3066   20.000       -152.19  0.3206   20.000       -143.45  0.3592   20.000
         57.0000    -2406.20  0.1594   20.000       -659.79  0.2154   20.000       -442.36  0.2388   20.000       -306.41  0.2623   20.000       -249.88  0.2768   20.000       -205.49  0.2912   20.000       -168.94  0.3059   20.000       -153.72  0.3199   20.000       -144.87  0.3587   20.000
         58.0000    -2442.15  0.1589   20.000       -668.54  0.2147   20.000       -446.98  0.2381   20.000       -309.55  0.2617   20.000       -252.44  0.2761   20.000       -207.54  0.2905   20.000       -170.58  0.3051   20.000       -155.23  0.3193   20.000       -146.27  0.3582   20.000
         59.0000    -2467.59  0.1585   20.000       -676.63  0.2141   20.000       -451.42  0.2375   20.000       -312.68  0.2610   20.000       -254.93  0.2755   20.000       -209.55  0.2898   20.000       -172.21  0.3044   20.000       -156.74  0.3187   20.000       -147.67  0.3577   20.000
         60.0000    -2489.61  0.1583   20.000       -683.99  0.2135   20.000       -455.61  0.2369   20.000       -315.76  0.2605   20.000       -257.37  0.2749   20.000       -211.52  0.2892   20.000       -173.83  0.3037   20.000       -158.22  0.3181   20.000       -149.05  0.3572   20.000
         61.0000    -2519.64  0.1579   20.000       -691.18  0.2130   20.000       -459.86  0.2363   20.000       -318.74  0.2599   20.000       -259.77  0.2742   20.000       -213.47  0.2885   20.000       -175.42  0.3030   20.000       -159.68  0.3175   20.000       -150.41  0.3567   20.000
         62.0000    -2547.52  0.1576   20.000       -698.49  0.2124   20.000       -464.40  0.2356   20.000       -321.68  0.2593   20.000       -262.12  0.2736   20.000       -215.39  0.2878   20.000       -177.00  0.3023   20.000       -161.12  0.3169   20.000       -151.76  0.3562   20.000
         63.0000    -2575.20  0.1573   20.000       -705.82  0.2119   20.000       -468.92  0.2350   20.000       -324.61  0.2587   20.000       -264.45  0.2730   20.000       -217.28  0.2872   20.000       -178.56  0.3016   20.000       -162.55  0.3163   20.000       -153.09  0.3558   20.000
