 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  17.12.    Time:  11:26:40
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       17  0.1000000E+01  0.16396E+00    2       34    -4    -5     T
       20  0.2000000E+01  0.37500E+00    2       40    -4    -5     T
       63  0.3000000E+01  0.17346E-01    5      246     4    -5     T
       76  0.4000000E+01  0.29458E+00    4      282    -4    -5     T
       79  0.5000000E+01  0.50000E+00    3      289    -4    -5     T
       81  0.6000000E+01  0.50000E+00    2      293    -4    -5     T
       83  0.7000000E+01  0.50000E+00    2      297    -4    -5     T
      130  0.8000000E+01  0.15281E-01    6      529     4    -5     T
      142  0.9000000E+01  0.32222E+00    3      557    -4    -5     T
      145  0.1000000E+02  0.37500E+00    2      563    -4    -5     T
      147  0.1100000E+02  0.50000E+00    2      567    -4    -5     T
      149  0.1200000E+02  0.50000E+00    2      571    -4    -5     T
      190  0.1300000E+02  0.23602E-01    6      775     4    -5     T
      201  0.1400000E+02  0.30060E+00    2      803    -4    -5     T
      204  0.1500000E+02  0.37500E+00    2      809    -4    -5     T
      206  0.1600000E+02  0.50000E+00    2      813    -4    -5     T
      208  0.1700000E+02  0.50000E+00    2      817    -4    -5     T
      251  0.1800000E+02  0.27294E-01    2     1022     4    -5     T
      261  0.1900000E+02  0.20687E+00    2     1048    -4    -5     T
      264  0.2000000E+02  0.37500E+00    3     1056    -4    -5     T
      266  0.2100000E+02  0.50000E+00    4     1063    -4    -5     T
      268  0.2200000E+02  0.50000E+00    2     1068    -4    -5     T
      305  0.2300000E+02  0.68410E-01    2     1230     4    -5     T
      313  0.2400000E+02  0.22183E+00    2     1253    -4    -5     T
      316  0.2500000E+02  0.37500E+00    3     1261    -4    -5     T
      318  0.2600000E+02  0.50000E+00    3     1267    -4    -5     T
      320  0.2700000E+02  0.50000E+00    2     1271    -4    -5     T
      357  0.2800000E+02  0.68410E-01    2     1433     4    -5     T
      365  0.2900000E+02  0.22183E+00    2     1456    -4    -5     T
      368  0.3000000E+02  0.37500E+00    3     1464    -4    -5     T
      370  0.3100000E+02  0.50000E+00    3     1470    -4    -5     T
      372  0.3200000E+02  0.50000E+00    2     1474    -4    -5     T
      409  0.3300000E+02  0.68410E-01    2     1636     4    -5     T
      417  0.3400000E+02  0.22183E+00    2     1659    -4    -5     T
      420  0.3500000E+02  0.37500E+00    3     1667    -4    -5     T
      422  0.3600000E+02  0.50000E+00    3     1673    -4    -5     T
      424  0.3700000E+02  0.50000E+00    2     1677    -4    -5     T
      461  0.3800000E+02  0.68410E-01    2     1839     4    -5     T
      469  0.3900000E+02  0.22183E+00    2     1862    -4    -5     T
      472  0.4000000E+02  0.37500E+00    3     1870    -4    -5     T
      474  0.4100000E+02  0.50000E+00    3     1876    -4    -5     T
      476  0.4200000E+02  0.50000E+00    2     1880    -4    -5     T
      513  0.4300000E+02  0.68410E-01    2     2042     4    -5     T
      521  0.4400000E+02  0.22183E+00    2     2065    -4    -5     T
      524  0.4500000E+02  0.37500E+00    3     2073    -4    -5     T
      526  0.4600000E+02  0.50000E+00    3     2079    -4    -5     T
      528  0.4700000E+02  0.50000E+00    2     2083    -4    -5     T
      565  0.4800000E+02  0.68410E-01    2     2245     4    -5     T
      573  0.4900000E+02  0.22183E+00    2     2268    -4    -5     T
end
