Date,ET_cm,Precip_cm,AvgTemp,MinTemp,MaxTemp
1/1/2022,0.01524,0,-15.45208333,-20.325,-10.85
1/2/2022,0.01016,0,-11.2125,-16.55,-7.425
1/3/2022,0.03048,0,-6.257291667,-11.825,-0.475
1/4/2022,0.04318,0.017,-3.088541667,-7.125,0.675
1/5/2022,0.02286,0,-12.18020833,-14.75,-8.25
1/6/2022,0.01524,0,-12.10208333,-13.6,-10.15
1/7/2022,0.07366,0.7753,-1.882291667,-9.85,4.675
1/8/2022,0.09652,0,-1.415625,-3,1.45
1/9/2022,0.05588,0,-1.580208333,-8.875,2.85
1/10/2022,0.01524,0,-8.348958333,-13.425,-4.15
1/11/2022,0.04064,0.0425,-0.179166667,-4.9,3.65
1/12/2022,0.03048,0.2108,3.836458333,0.925,5.55
1/13/2022,0.01524,0,-0.241666667,-4.675,3.975
1/14/2022,0.02032,0,-1.925,-5.65,0.675
1/15/2022,0.02032,0,-1.153125,-3.875,1.475
1/16/2022,0.01778,0.0085,-2.75625,-6.85,1.25
1/17/2022,0.04064,0.0017,-1.253125,-6.1,5.625
1/18/2022,0.04318,0,0.297916667,-4.9,3.5
1/19/2022,0.03048,0,-3.916666667,-7.525,-1.575
1/20/2022,0.02794,0.5105,-0.039583333,-2.9,3.125
1/21/2022,0.03302,0.0034,1.784375,-0.75,4.425
1/22/2022,0.03048,0,-1.536458333,-5.275,2.725
1/23/2022,0.01778,0,-4.438541667,-6.7,-1.7
1/24/2022,0.0254,0,-4.947916667,-7.475,-0.675
1/25/2022,0.02286,0,-3.791666667,-6.8,-0.775
1/26/2022,0.0254,0,-4.495833333,-8.575,-2.475
1/27/2022,0.02286,0,-7.332291667,-10.85,-3.5
1/28/2022,0.02286,0,-5.169791667,-6.45,-3.125
1/29/2022,0.02032,0,-5.904166667,-7.8,-4.425
1/30/2022,0.02794,0,-3.609375,-5.875,-0.725
1/31/2022,0.09906,0,0.383333333,-4.6,3.025
2/1/2022,0.0381,0,-8.057291667,-13.5,-3.7
2/2/2022,0.02286,0,-15.96875,-20.95,-13.625
2/3/2022,0.02032,0,-10.76041667,-13.95,-7.6
2/4/2022,0.03048,0.0629,-3.29375,-7.475,2.325
2/5/2022,0.07112,0.238,2.971875,-0.275,4.775
2/6/2022,0.08636,0,0.854166667,-4,6.35
2/7/2022,0.13462,0,-0.277083333,-8.5,8.475
2/8/2022,0.08636,0,2.802083333,1.125,5.45
2/9/2022,0.07112,0,3.817708333,2.025,6.625
2/10/2022,0.1397,0,5.676041667,0.375,10.95
2/11/2022,0.09144,0,0.628125,-3.875,6.5
2/12/2022,0.06604,0,-1.7875,-6.775,4.475
2/13/2022,0.0635,0,-1.764583333,-5.825,4.85
2/14/2022,0.05334,0.0187,-0.791666667,-3.625,2.275
2/15/2022,0.02794,0.0425,0.932291667,-1.075,1.875
2/16/2022,0.07366,0.0969,0.304166667,-2.25,2.25
2/17/2022,0.0635,0.0119,1.238541667,-1.2,3.25
2/18/2022,0.09398,0,4.696875,3.375,7
2/19/2022,0.1397,0,5.101041667,3.05,7.875
2/20/2022,0.08128,0.0867,-0.763541667,-8.825,3.425
2/21/2022,0.06604,0,-11.79270833,-14.575,-9.075
2/22/2022,0.06096,0,-14.446875,-18.45,-11.6
2/23/2022,0.04572,0,-16.09895833,-22.1,-11.25
2/24/2022,0.05588,0,-10.771875,-13.875,-6.625
2/25/2022,0.05842,0,-7.621875,-10.9,-4.55
2/26/2022,0.0889,0,-4.530208333,-8.6,2.125
2/27/2022,0.05588,0,-3.866666667,-10.05,3.475
