Date,VWC_36in
4/4/2024,0.182039266
4/5/2024,0.183785463
4/6/2024,0.184383475
4/7/2024,0.184690563
4/8/2024,0.18685957
4/9/2024,0.191659833
4/10/2024,0.195422463
4/11/2024,0.19712599
4/12/2024,0.197572075
4/13/2024,0.197284383
4/14/2024,0.196599093
4/15/2024,0.195558228
4/16/2024,0.194478573
4/17/2024,0.193702773
4/18/2024,0.193263153
4/19/2024,0.192616653
4/20/2024,0.19200571
4/21/2024,0.191362443
4/22/2024,0.190677153
4/23/2024,0.19007914
4/24/2024,0.189435873
4/25/2024,0.188779675
4/26/2024,0.18817843
4/27/2024,0.187470513
4/28/2024,0.186943615
4/29/2024,0.186465205
4/30/2024,0.185999725
5/1/2024,0.185692638
5/2/2024,0.18537262
5/3/2024,0.185013813
5/4/2024,0.1846744
5/5/2024,0.18444166
5/6/2024,0.184024668
5/7/2024,0.183856578
5/8/2024,0.185172205
5/9/2024,0.189067368
5/10/2024,0.192829998
5/11/2024,0.194575548
5/12/2024,0.19470808
5/13/2024,0.194168253
5/14/2024,0.19329871
5/15/2024,0.192348943
5/16/2024,0.191524068
5/17/2024,0.190741803
5/18/2024,0.18973003
5/19/2024,0.188931603
5/20/2024,0.188220453
5/21/2024,0.18750607
5/22/2024,0.186817548
5/23/2024,0.186099933
5/24/2024,0.185446968
5/25/2024,0.18470026
5/26/2024,0.18579931
5/27/2024,0.189439105
5/28/2024,0.191879643
5/29/2024,0.192480888
5/30/2024,0.19196692
5/31/2024,0.191278398
6/1/2024,0.1903636
6/2/2024,0.1893292
6/3/2024,0.188362683
6/4/2024,0.187308888
6/5/2024,0.18627772
6/6/2024,0.18529504
6/7/2024,0.184396405
6/8/2024,0.183371703
6/9/2024,0.182156283
6/10/2024,0.181031373
6/11/2024,0.17985151
6/12/2024,0.178409815
6/13/2024,0.176987515
6/14/2024,0.175529658
6/15/2024,0.174168775
6/16/2024,0.173260443
6/17/2024,0.172685058
6/18/2024,0.171773493
6/19/2024,0.170803743
6/20/2024,0.16924891
6/21/2024,0.167525988
6/22/2024,0.165360213
6/23/2024,0.162379848
6/24/2024,0.157967485
6/25/2024,0.152808415
6/26/2024,0.148971438
6/27/2024,0.148813045
6/28/2024,0.146592318
6/29/2024,0.14287171
6/30/2024,0.14159164
7/1/2024,0.142154095
7/2/2024,0.141691848
7/3/2024,0.140563705
7/4/2024,0.140036808
7/5/2024,0.138326815
7/6/2024,0.136894818
7/7/2024,0.135382008
7/8/2024,0.133604133
7/9/2024,0.132262645
7/10/2024,0.13136401
7/11/2024,0.130669023
7/12/2024,0.130258495
7/13/2024,0.129886758
7/14/2024,0.129547345
7/15/2024,0.129376023
7/16/2024,0.129246723
7/17/2024,0.128975193
7/18/2024,0.128862055
7/19/2024,0.128774778
7/20/2024,0.128487085
7/21/2024,0.127869678
7/22/2024,0.12672214
7/23/2024,0.125852598
7/24/2024,0.12420079
7/25/2024,0.12246817
7/26/2024,0.121288308
7/27/2024,0.120098748
7/28/2024,0.119397295
7/29/2024,0.11871847
7/30/2024,0.118385523
7/31/2024,0.11879605
8/1/2024,0.118181875
8/2/2024,0.117858625
8/3/2024,0.117997623
8/4/2024,0.118647355
8/5/2024,0.119581548
8/6/2024,0.120198955
8/7/2024,0.120680598
8/8/2024,0.1213174
8/9/2024,0.12186046
8/10/2024,0.122306545
8/11/2024,0.122833443
8/12/2024,0.123428223
8/13/2024,0.124055328
8/14/2024,0.12469213
8/15/2024,0.125332165
8/16/2024,0.125826738
8/17/2024,0.126363333
8/18/2024,0.126909625
8/19/2024,0.1273945
8/20/2024,0.12779533
8/21/2024,0.126521725
8/22/2024,0.128073325
8/23/2024,0.128477388
8/24/2024,0.128852358
8/25/2024,0.12919177
8/26/2024,0.129547345
8/27/2024,0.129893223
8/28/2024,0.130222938
8/29/2024,0.13054942
8/30/2024,0.130904995
8/31/2024,0.131267035
9/1/2024,0.131564425
9/2/2024,0.13185535
9/3/2024,0.132104253
9/4/2024,0.13235962
9/5/2024,0.132572965
9/6/2024,0.132789543
