,thetar,thetas,alpha,n,ksat,l,thetar_macro,thetas_macro,alpha_macro,n_macro,ksat_macro,l_macro,w,beta,gamma,a,ka,nse
0,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.037863968422827854,0.7697892186748625,0.05830591357544124,5.500410791896641,514.5913998902777,0.5,0.17158313163905273,8.324994737116995,0.4,4.680152124497086,3.696126759296753,-1099.3228090266678
1,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06629917331355362,0.7478586701893699,0.24014254847157437,2.2038816113250976,425.72246646854023,0.5,0.01129425351579156,11.838456131734958,0.4,6.904905435633167,2.8357536680525364,-1099.3228090266678
2,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09903778489650372,0.6984317659368262,0.7634337094680387,3.0506337339133927,925.775089743862,0.5,0.19596076027143627,4.807094561425333,0.4,9.684763303043562,3.2469676371916183,-1099.3228090266678
3,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.057483341695799856,0.23998351779467436,0.07387565269388478,5.993550426289106,416.47104172317734,0.5,0.24918983351135512,17.536971641650815,0.4,0.4375526058800095,4.5173451954243395,-1099.3228090266678
4,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06278382134783181,0.5452625425406203,0.38902596596867656,3.8337887779182793,144.89096783753016,0.5,0.2245548963047619,4.230812776173654,0.4,7.62535194879705,9.667503178648447,-1099.3228090266678
5,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04341999631475757,0.21951774826317144,0.7048239125144956,6.717841555980886,738.470542166224,0.5,0.2324250200463514,9.852348054464965,0.4,3.528964097572945,6.530340354224905,-1099.3228090266678
6,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.02056391903775275,0.24921693270790685,0.3257919351468508,4.889003145780401,662.9894343004377,0.5,0.05082029387740904,13.06455684947182,0.4,4.577705003070801,1.871551404877396,-1099.3228090266678
7,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07714514075392664,0.23281403776253948,0.7285402384104245,2.1736262021787054,281.38069096616056,0.5,0.043244497666382456,2.7701369644626146,0.4,6.990058265840749,1.1511426309953758,-1099.3228090266678
8,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0668927977849855,0.4005400518661873,0.7747322473429206,5.842941123731703,683.6378164602256,0.5,0.22552612120026974,15.557932905136555,0.4,5.572973466670914,1.4775056440732741,-1099.3228090266678
9,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.029254061815750673,0.6770702620920082,0.5927620887605622,2.3386246404582938,913.1949000151358,0.5,0.09932216642981448,1.8072480491094423,0.4,9.869123091489367,7.688521139900571,-1099.3228090266678
10,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.02186582440288963,0.6165185485358962,0.5329685829884611,6.8463591870225455,952.8857838303022,0.5,0.11537161887684098,13.289091794997832,0.4,8.174475655558615,1.1813065359020274,-1099.3228090266678
11,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09043499025314268,0.643764870300388,0.6226796758438187,6.987284294520964,273.7269280515967,0.5,0.1972331177620213,2.0367176094820074,0.4,0.43607315160376886,0.971819091340823,-1099.3228090266678
12,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09821012679360779,0.7972475937481773,0.5792397232920958,5.560678465934059,761.8659845775015,0.5,0.025717434932617324,6.376074737409162,0.4,1.7147810960098353,3.1339308646404147,-1099.3228090266678
13,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.05678611682417754,0.5083944513360176,0.6015328852393614,1.234137699756256,650.6358604047172,0.5,0.10041116520312271,6.926937860661477,0.4,0.973244053529385,1.8403340874062708,-1099.3228090266678
14,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.029683863141019895,0.39150155271132175,0.5986210360647106,3.4735197634544805,220.58483191094328,0.5,0.0363703683482813,14.305311323121552,0.4,8.997257205632446,1.707544997372231,-1099.3228090266678
15,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09682465969900951,0.45021554313327744,0.4316235285088672,4.304341823198276,351.3276477036884,0.5,0.14772136394437727,12.24238130342647,0.4,4.568023774795472,9.066699168651208,-1099.3228090266678
16,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04093901682133499,0.47073373447273753,0.665580979144538,6.350998567597398,355.1647690423767,0.5,0.04855522484703288,4.8939534924964505,0.4,3.8144469814962902,7.495619054107386,-1099.3228090266678
17,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.05037065818342301,0.7302273633726182,0.3011299702571917,1.0924627522104102,326.50317084042297,0.5,0.21737412199291792,17.84201335794308,0.4,3.778223998193074,8.549236438622968,-1099.3228090266678
18,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0016638361826248854,0.48331107847068155,0.19347684003593407,4.209285176992405,463.84603407816695,0.5,0.06307490415559348,16.623289471309842,0.4,9.672249431536235,8.272193022243467,-1099.3228090266678
19,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.00788677144095477,0.22053097438640498,0.2478091762975,4.6652751396183545,422.76625981384126,0.5,0.18317607722055754,14.4628577942855,0.4,2.8537192592180345,5.540577796924181,-1099.3228090266678
20,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0746187076796294,0.7595148123328668,0.3057047871212438,6.414556217128309,750.878898954009,0.5,0.013133280348918867,1.0629436991007275,0.4,7.376456278153382,4.868824693507372,-1099.3228090266678
21,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06390899777625397,0.4135425412993694,0.3927677311738616,4.735366518170955,570.8284864451265,0.5,0.11956029073359706,18.744630230164756,0.4,3.3809818306704744,0.3796427870256505,-1099.3228090266678
22,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.08628040263995873,0.5859820402815936,0.06943050178355475,2.5285914862239287,582.0847285428498,0.5,0.013567696226053767,9.377652461613929,0.4,6.966841750819607,0.28840592096426093,-1099.3228090266678
23,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.029009732203791154,0.3788258267127629,0.33998758893278846,5.834120447154265,468.5552821232979,0.5,0.15080099459972773,8.483980961104848,0.4,9.114465994517975,3.6546756690081947,-1099.3228090266678
24,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06585708682879617,0.32686689290613213,0.7762317014886914,4.3507183303156625,93.5408887850661,0.5,0.13102415400670034,3.1051862623347697,0.4,4.804458760270175,8.767403685135333,-1099.3228090266678
25,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07962432003635479,0.32183166555017173,0.467334955403275,1.3228047386610826,240.9986749612959,0.5,0.15732508130112138,11.503409803897735,0.4,4.63868228999321,0.14776188425727954,-0.4493704889640038
26,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07769885558351691,0.23002499646019467,0.0018596400544010497,5.010355976934376,387.03444096351365,0.5,0.21694113513948043,17.07944150514745,0.4,3.5783129772474926,5.000097046512587,-1099.3228090266678
27,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04942863157547891,0.4067731669929501,0.3517902097120053,4.494002179776418,66.34551624357618,0.5,0.021463883129845308,14.729290452008858,0.4,4.405014894230006,7.301001960330821,-1099.3228090266678
28,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.016698868680695957,0.6868724913048732,0.7502739927031923,6.742045081565335,430.61015721694474,0.5,0.2485551316024549,19.428477589728356,0.4,3.1531811748563614,7.881623533074245,-1099.3228090266678
29,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09635588507989779,0.5443191093877688,0.6463161725387878,4.8727874873077575,261.4652637101331,0.5,0.13131192921868912,10.74046793208199,0.4,3.0963255697021848,2.8727406502647956,-1099.3228090266678
30,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.030778031801005242,0.516195221288627,0.27472506753878745,3.5063353887673134,986.1842557744303,0.5,0.10305603603459373,9.32521745294246,0.4,9.605380224260706,1.2894929567578908,-1099.3228090266678
31,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07561603678228712,0.4459625253688526,0.29763479355584216,1.1972198509549368,968.5126753882541,0.5,0.15923627137917892,4.589361993089332,0.4,1.6462750028269462,5.569832359093296,-1099.3228090266678
32,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.016506061821810046,0.7685073593997325,0.17827569684929062,2.4723410097701723,625.7590766379642,0.5,0.003035175909331703,4.995622280073411,0.4,2.71305973581488,9.709070161400039,-1099.3228090266678
33,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.051997960079138004,0.45469950623506833,0.6095206233733875,6.879562558243934,428.9993608834124,0.5,0.23998716288159613,3.207454158256033,0.4,9.190465059588426,7.930859002623772,-1099.3228090266678
34,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.010169280994624124,0.5525843151114831,0.7324955323669184,2.3753584530071876,148.4974542625242,0.5,0.013793745875940849,14.114978553068477,0.4,6.266282116755898,5.359880479722347,-1099.3228090266678
35,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07890834985275873,0.6637223587947133,0.7812353765707337,1.91031602318459,73.28692095645502,0.5,0.23335598826214432,11.547613225895871,0.4,7.140281907057719,3.9932031421308114,-1099.3228090266678
36,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.053510464347421155,0.5825692331553067,0.36486312979752283,3.6246678571716062,184.74576878539094,0.5,0.1903680762578045,9.752928559177851,0.4,4.2002599865699795,7.624133151607977,-1099.3228090266678
37,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.03811510657794781,0.5853108752688552,0.5524499370465534,6.051459879139373,414.93473551821,0.5,0.2297509544171294,7.249906994117083,0.4,4.713468183289362,6.59625823011106,-1099.3228090266678
38,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09019140546378042,0.30309761079864717,0.5336618011050315,3.282048797406058,558.115230895451,0.5,0.11459865818889925,15.969379086658549,0.4,5.863355233423034,8.00285179698646,-1099.3228090266678
39,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.08111845090610366,0.2844385124017508,0.13712318723788627,3.073351007100695,686.2712442388712,0.5,0.24159284750139418,13.126609578773477,0.4,4.618889589128176,3.483765683288027,-1099.3228090266678
40,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0221954350952,0.4740370600335542,0.11563564720523936,1.2617941842387372,592.2154000275323,0.5,0.24674054525804623,12.392723504383895,0.4,5.734651004218498,1.0856197441057427,-0.5157117916710541
41,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.05791955733884801,0.31158451261259656,0.643194570935305,5.883223947184618,98.35114130960007,0.5,0.01537633827299335,15.907102718528519,0.4,9.855814224184481,5.240603844148222,-1099.3228090266678
42,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.043724777557005656,0.6257195858983053,0.5467617590263673,3.0206400221563454,705.5432204305264,0.5,0.13555711048557265,5.609331497329736,0.4,3.2093762884524635,2.5107254363339973,-1099.3228090266678
43,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04759836614685228,0.4381835572304912,0.45839823226531873,2.0030765754498425,481.67516479628154,0.5,0.18106776302130945,10.859655828693004,0.4,0.1542863137437051,0.07101643888052074,-1099.3228090266678
44,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04890132241165773,0.7979155838546852,0.5715306572479413,4.111738425376656,124.24152176125757,0.5,0.027715265555662377,14.040124220140054,0.4,0.8395559965374924,6.827352896457054,-1099.3228090266678
45,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07292636220137778,0.34706372966360527,0.5605039520402796,5.42617236780542,356.9179383651367,0.5,0.09957685646540623,15.438139251140448,0.4,8.912963180744036,1.6100902870158096,-1099.3228090266678
46,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04809634620914601,0.22298286320252791,0.3306078287457485,5.980680884183208,669.2104114960471,0.5,0.06945643762047085,15.007485626859108,0.4,1.52840128638427,0.8441638686487091,-1099.3228090266678
47,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07271843389858412,0.3086108740295494,0.08923099649668488,6.327437141908865,495.9446905495107,0.5,0.04237763892032537,19.804756673212943,0.4,1.0324315428302229,8.390346180873053,-1099.3228090266678
48,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.027560799309900515,0.7289842891663194,0.5665529339644209,6.669198121620767,870.2978927883757,0.5,0.01748208498251745,5.668114077362206,0.4,2.912266545383757,9.368260443353243,-1099.3228090266678
49,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09310584491909622,0.7724172810801646,0.4990727549652475,2.7483000285283232,541.5426141317213,0.5,0.08038519072111341,17.22736761349701,0.4,2.1078095436025532,4.929418807905354,-1099.3228090266678
