Date,VWC_6,SWP
1/28/2025,NA,NA
1/29/2025,NA,NA
1/30/2025,NA,NA
1/31/2025,NA,NA
2/1/2025,NA,NA
2/2/2025,NA,NA
2/3/2025,NA,NA
2/4/2025,NA,NA
2/5/2025,NA,NA
2/6/2025,NA,NA
2/7/2025,NA,NA
2/8/2025,NA,NA
2/9/2025,NA,NA
2/10/2025,NA,NA
2/11/2025,NA,NA
2/12/2025,NA,NA
2/13/2025,NA,NA
2/14/2025,NA,NA
2/15/2025,NA,NA
2/16/2025,NA,NA
2/17/2025,NA,NA
2/18/2025,NA,NA
2/19/2025,NA,NA
2/20/2025,NA,NA
2/21/2025,NA,NA
2/22/2025,NA,NA
2/23/2025,NA,NA
2/24/2025,NA,NA
2/25/2025,NA,NA
2/26/2025,NA,NA
2/27/2025,NA,NA
2/28/2025,NA,NA
3/1/2025,NA,NA
3/2/2025,NA,NA
3/3/2025,NA,NA
3/4/2025,NA,NA
3/5/2025,NA,NA
3/6/2025,NA,NA
3/7/2025,NA,NA
3/8/2025,NA,NA
3/9/2025,NA,NA
3/10/2025,NA,NA
3/11/2025,NA,NA
3/12/2025,NA,NA
3/13/2025,NA,NA
3/14/2025,NA,NA
3/15/2025,NA,NA
3/16/2025,NA,NA
3/17/2025,NA,NA
3/18/2025,NA,-2.015163552
3/19/2025,NA,-2.804937668
3/20/2025,NA,-6.789224129
3/21/2025,NA,-15.3315343
3/22/2025,NA,-36.97417836
3/23/2025,NA,-62.7392308
3/24/2025,NA,-88.54324072
3/25/2025,NA,-103.2762467
3/26/2025,NA,NA
3/27/2025,0.32546875,-108.1388469
3/28/2025,0.326420139,-112.6649964
3/29/2025,0.328,-117.4567649
3/30/2025,0.328375,-122.1812432
3/31/2025,0.329,-126.4523983
4/1/2025,0.329,-129.9337793
4/2/2025,0.329,-132.660802
4/3/2025,0.329,-132.5722623
4/4/2025,0.329315972,-127.9292405
4/5/2025,0.33,-124.5859814
4/6/2025,0.33,-122.414988
4/7/2025,0.33,-122.5460268
4/8/2025,0.33,-123.9343293
4/9/2025,0.330583333,-125.613042
4/10/2025,0.331,-127.3307121
4/11/2025,0.33146875,-128.7933879
4/12/2025,0.332,-130.1179418
4/13/2025,0.332416667,-132.1295638
4/14/2025,0.333,-134.0243134
4/15/2025,0.333,-136.846959
4/16/2025,0.333013889,-139.3614864
4/17/2025,0.333940972,-140.7639553
4/18/2025,0.334,-142.0141358
4/19/2025,0.334,-144.815823
4/20/2025,0.333795139,-146.4836198
4/21/2025,0.333493056,-148.8777333
4/22/2025,0.334,-150.9956029
4/23/2025,0.334006944,-150.8645641
4/24/2025,0.334892361,-148.4987834
4/25/2025,0.335,-147.1423552
4/26/2025,0.335,-147.4823476
4/27/2025,0.335552083,-148.5341993
4/28/2025,0.336020833,-150.0393741
4/29/2025,0.336947917,-151.7003789
4/30/2025,0.337472222,-154.2892797
5/1/2025,0.338,-157.0269272
5/2/2025,0.33828125,-160.1789405
5/3/2025,0.339,-163.4513678
5/4/2025,0.339,-166.7698357
5/5/2025,0.339934028,-168.9018717
5/6/2025,0.340003472,-171.9263878
5/7/2025,0.340003472,-175.2944379
5/8/2025,0.34,-178.6943624
5/9/2025,0.340076087,-181.9144357
5/10/2025,0.341,-187.0170941
5/11/2025,0.341024306,-189.0357992
5/12/2025,0.341972222,-192.8748806
5/13/2025,0.342,-195.003375
5/14/2025,0.342121528,-196.8060432
5/15/2025,0.342784722,-197.4860281
5/16/2025,0.343392361,-191.4865781
5/17/2025,0.345895833,-168.8912469
5/18/2025,0.349184028,-130.8404258
5/19/2025,0.355427083,-39.38599976
5/20/2025,0.36,-4.529691008
5/21/2025,0.35990625,-13.79448512
5/22/2025,0.363607639,-12.02369114
5/23/2025,0.366572917,-1.112058621
5/24/2025,0.366680556,-1.094350681
5/25/2025,0.365291667,-2.794312905
5/26/2025,0.365,-3.360966979
5/27/2025,0.366390909,-4.26535976
5/28/2025,0.367,-4.313654142
5/29/2025,0.368798611,-3.261802516
5/30/2025,0.369576389,-4.391569077
5/31/2025,0.37,-5.772788383
6/1/2025,0.37,-23.36739739
6/2/2025,0.374597222,-33.05364048
6/3/2025,0.377152778,-1.522882825
6/4/2025,0.374548611,-7.320462324
6/5/2025,0.372711806,-37.28229651
6/6/2025,0.376368056,-48.21517856
6/7/2025,0.378819444,-1.306845959
6/8/2025,0.375399306,-6.966303528
6/9/2025,0.374239583,-38.37664719
6/10/2025,0.380618056,-2.953684363
6/11/2025,0.377510417,-9.126672187
6/12/2025,0.381673611,-3.314926335
6/13/2025,0.380486111,-1.986830849
6/14/2025,0.378888889,-10.004986
6/15/2025,0.380201389,-20.69349848
6/16/2025,0.383,-3.344348759
6/17/2025,0.381989583,-7.200048333
6/18/2025,0.380295139,-31.19076521
6/19/2025,0.378642361,-83.60980868
6/20/2025,0.377069444,-109.8848498
6/21/2025,0.376923611,-115.6186807
6/22/2025,0.379,-120.7964823
6/23/2025,0.378267361,-121.288763
6/24/2025,0.377041667,-126.0061582
6/25/2025,0.375611111,-131.3893719
6/26/2025,0.37415625,-136.5884231
6/27/2025,0.373027778,-141.5537294
6/28/2025,0.372170139,-148.1729573
6/29/2025,0.371260417,-154.682396
6/30/2025,0.370263889,-162.2791022
7/1/2025,0.37,-165.555071
7/2/2025,0.37,-166.2917213
7/3/2025,0.37,-167.4639869
7/4/2025,0.370361111,-169.5641486
7/5/2025,0.371,-170.5593348
7/6/2025,0.371121528,-172.6594965
7/7/2025,0.3710625,-175.0606931
7/8/2025,0.3710625,-178.5279077
7/9/2025,0.371805556,-182.8380203
7/10/2025,0.372,-188.0831121
7/11/2025,0.372340278,-193.05196
7/12/2025,0.372954861,-197.3479062
7/13/2025,0.374638889,-200.9072021
7/14/2025,0.375,-201.8138486
7/15/2025,0.394,-108.1786217
7/16/2025,0.394,-111.7158508
7/17/2025,0.393930556,-112.6968706
7/18/2025,0.411506944,-1.019977334
7/19/2025,0.403173611,-3.353883803
7/20/2025,0.399375,-30.66661019
7/21/2025,0.396361111,-85.86934181
7/22/2025,0.403152778,-30.01849959
7/23/2025,0.403024306,-2.061204196
7/24/2025,0.399072917,-19.20957312
7/25/2025,0.395756944,-78.15930481
7/26/2025,0.393048611,-110.5258772
7/27/2025,0.397163194,-93.66791851
7/28/2025,0.407392361,-1.019977334
7/29/2025,0.401159722,-4.710311994
7/30/2025,0.397663194,-42.18739584
7/31/2025,0.394826389,-99.10779762
8/1/2025,0.392600694,-114.8289066
8/2/2025,0.390770833,-123.60142
8/3/2025,0.389350694,-131.8285288
8/4/2025,0.387444444,-139.202115
8/5/2025,0.385927083,-144.6030366
8/6/2025,0.384,-154.5840296
8/7/2025,0.384951389,-155.6669574
8/8/2025,0.394368056,-149.9933335
8/9/2025,0.394763889,-139.5668985
8/10/2025,0.393420139,-137.8563115
8/11/2025,0.391479167,-141.2208201
8/12/2025,0.389520833,-146.2569582
8/13/2025,0.3875625,-152.0934952
8/14/2025,0.386402778,-158.4187713
8/15/2025,0.384697917,-165.7392336
8/16/2025,0.383534722,-173.3323982
8/17/2025,0.38275,-178.0320854
8/18/2025,0.381725694,-180.9361876
8/19/2025,0.381,-182.4767783
8/20/2025,0.380298611,-185.0727623
8/21/2025,0.38,-187.8493673
8/22/2025,0.38,-190.859717
8/23/2025,0.381954861,-179.583301
8/24/2025,0.385,-162.091398
8/25/2025,0.385,-161.6416163
8/26/2025,0.385,-163.2950809
8/27/2025,0.384555556,-164.3969718
8/28/2025,0.397743056,-20.31809016
8/29/2025,0.398753472,-1.88058321
8/30/2025,0.397225694,-9.983736474
8/31/2025,0.395392361,-46.80562655
9/1/2025,0.393784722,-91.19943169
9/2/2025,0.392295139,-109.6369386
9/3/2025,0.390916667,-117.5205135
9/4/2025,0.389590278,-125.2411752
9/5/2025,0.388166667,-132.239353
9/6/2025,0.38678125,-138.9967029
9/7/2025,0.385541667,-145.8709251
9/8/2025,0.384454861,-152.7203562
9/9/2025,0.383711806,-158.507311
9/10/2025,0.382736111,-163.5505322
9/11/2025,0.381868056,-168.4662563
9/12/2025,0.380927083,-173.3146903
9/13/2025,0.380003472,-178.6589465
9/14/2025,0.379302083,-184.5556905
9/15/2025,0.37825,-189.4997473
9/16/2025,0.377378472,-193.2219562
9/17/2025,0.377,-197.8543533
9/18/2025,0.376041667,-203.40048
9/19/2025,0.376024306,-207.6043449
