"date","et_mm","et_cm"
2025-06-10,5.665,0.5665
2025-06-11,2.533,0.2533
2025-06-12,2.989,0.2989
2025-06-13,3.231,0.3231
2025-06-14,4.161,0.4161
2025-06-15,4.148,0.4148
2025-06-16,1.745,0.1745
2025-06-17,5.176,0.5176
2025-06-18,4.869,0.4869
2025-06-19,4.749,0.4749
2025-06-20,1.685,0.1685
2025-06-21,2.729,0.2729
2025-06-22,0.76,0.076
2025-06-23,3.029,0.3029
2025-06-24,4.015,0.4015
2025-06-25,4.061,0.4061
2025-06-26,2.638,0.2638
2025-06-27,4.73,0.473
2025-06-28,4.227,0.4227
2025-06-29,4.749,0.4749
2025-06-30,NA,NA
2025-07-01,NA,NA
2025-07-02,NA,NA
2025-07-03,NA,NA
2025-07-04,NA,NA
2025-07-05,NA,NA
2025-07-06,NA,NA
2025-07-07,NA,NA
2025-07-08,NA,NA
2025-07-09,NA,NA
2025-07-10,NA,NA
2025-07-11,NA,NA
2025-07-12,NA,NA
2025-07-13,NA,NA
2025-07-14,NA,NA
2025-07-15,NA,NA
2025-07-16,4.234,0.4234
2025-07-17,6.733,0.6733
2025-07-18,5.368,0.5368
2025-07-19,5.266,0.5266
2025-07-20,3.917,0.3917
2025-07-21,3.2,0.32
2025-07-22,4.42,0.442
2025-07-23,5.236,0.5236
2025-07-24,5.159,0.5159
2025-07-25,5.671,0.5671
2025-07-26,4.707,0.4707
2025-07-27,2.836,0.2836
2025-07-28,4.873,0.4873
2025-07-29,5.001,0.5001
2025-07-30,5.851,0.5851
2025-07-31,4.41,0.441
2025-08-01,3.813,0.3813
2025-08-02,5.061,0.5061
2025-08-03,4.096,0.4096
2025-08-04,2.585,0.2585
2025-08-05,3.743,0.3743
2025-08-06,3.48,0.348
2025-08-07,1.064,0.1064
2025-08-08,2.003,0.2003
2025-08-09,4.435,0.4435
2025-08-10,4.714,0.4714
2025-08-11,3.109,0.3109
2025-08-12,5.621,0.5621
2025-08-13,3.787,0.3787
2025-08-14,2.985,0.2985
2025-08-15,2.952,0.2952
2025-08-16,1.675,0.1675
2025-08-17,2.255,0.2255
2025-08-18,1.858,0.1858
2025-08-19,3.063,0.3063
2025-08-20,3.496,0.3496
2025-08-21,2.763,0.2763
2025-08-22,3.024,0.3024
2025-08-23,3.659,0.3659
2025-08-24,3.072,0.3072
2025-08-25,3.373,0.3373
2025-08-26,2.375,0.2375
2025-08-27,1.947,0.1947
2025-08-28,NA,NA
2025-08-29,NA,NA
2025-08-30,4.107,0.4107
2025-08-31,3.151,0.3151
2025-09-01,3.266,0.3266
2025-09-02,3.177,0.3177
2025-09-03,3.798,0.3798
2025-09-04,3.519,0.3519
2025-09-05,2.623,0.2623
2025-09-06,2.467,0.2467
2025-09-07,3.201,0.3201
2025-09-08,3.038,0.3038
2025-09-09,1.381,0.1381
2025-09-10,2.239,0.2239
2025-09-11,1.69,0.169
2025-09-12,2.097,0.2097
2025-09-13,2.736,0.2736
2025-09-14,2.423,0.2423
2025-09-15,2.377,0.2377
2025-09-16,1.302,0.1302
2025-09-17,2.604,0.2604
2025-09-18,2.908,0.2908
2025-09-19,2.175,0.2175
2025-09-20,3.21,0.321
2025-09-21,1.697,0.1697
2025-09-22,2.322,0.2322
2025-09-23,2.269,0.2269
2025-09-24,2.17,0.217
2025-09-25,2.363,0.2363
2025-09-26,NA,NA
2025-09-27,NA,NA
2025-09-28,NA,NA
2025-09-29,NA,NA
2025-09-30,NA,NA
2025-10-01,NA,NA
