"date","infiltration_inches","infil_cm","cumulative_infil_cm"
2025-05-03,0,0,0
2025-05-04,0,0,0
2025-05-05,0,0,0
2025-05-06,0,0,0
2025-05-07,0,0,0
2025-05-08,0,0,0
2025-05-09,0,0,0
2025-05-10,0,0,0
2025-05-11,0,0,0
2025-05-12,0,0,0
2025-05-13,0,0,0
2025-05-14,0,0,0
2025-05-15,0,0,0
2025-05-16,0,0,0
2025-05-17,0,0,0
2025-05-18,0,0,0
2025-05-19,0,0,0
2025-05-20,0,0,0
2025-05-21,0,0,0
2025-05-22,0,0,0
2025-05-23,0,0,0
2025-05-24,0,0,0
2025-05-25,0,0,0
2025-05-26,0,0,0
2025-05-27,0,0,0
2025-05-28,0,0,0
2025-05-29,0,0,0
2025-05-30,0,0,0
2025-05-31,0,0,0
2025-06-01,0,0,0
2025-06-02,0,0,0
2025-06-03,0.01,0.0254,0.0254
2025-06-04,0,0,0.0254
2025-06-05,0,0,0.0254
2025-06-06,0.51,1.2954,1.3208
2025-06-07,0.08,0.2032,1.524
2025-06-08,0.02,0.0508,1.5748
2025-06-09,0.45,1.143,2.7178
2025-06-10,0.12,0.3048,3.0226
2025-06-11,0.46,1.1684,4.191
2025-06-12,0.24,0.6096,4.8006
2025-06-13,0.06,0.1524,4.953
2025-06-14,0.03,0.0762,5.0292
2025-06-15,0.43,1.0922,6.1214
2025-06-16,0.07,0.1778,6.2992
2025-06-17,0.04,0.1016,6.4008
2025-06-18,0.01,0.0254,6.4262
2025-06-19,0,0,6.4262
2025-06-20,0,0,6.4262
2025-06-21,0,0,6.4262
2025-06-22,0,0,6.4262
2025-06-23,0,0,6.4262
2025-06-24,0,0,6.4262
2025-06-25,0,0,6.4262
2025-06-26,0,0,6.4262
2025-06-27,0,0,6.4262
2025-06-28,0,0,6.4262
2025-06-29,0,0,6.4262
2025-06-30,0,0,6.4262
2025-07-01,0,0,6.4262
2025-07-02,0.01,0.0254,6.4516
2025-07-03,0,0,6.4516
2025-07-04,0,0,6.4516
2025-07-05,0,0,6.4516
2025-07-06,0,0,6.4516
2025-07-07,0,0,6.4516
2025-07-08,0,0,6.4516
2025-07-09,0,0,6.4516
2025-07-10,0,0,6.4516
2025-07-11,0,0,6.4516
2025-07-12,0,0,6.4516
2025-07-13,0,0,6.4516
2025-07-14,0.17,0.4318,6.8834
2025-07-15,0.16,0.4064,7.2898
2025-07-16,0.04,0.1016,7.3914
