Date,SWP
1/28/2025,NA
1/29/2025,NA
1/30/2025,NA
1/31/2025,NA
2/1/2025,NA
2/2/2025,NA
2/3/2025,NA
2/4/2025,NA
2/5/2025,NA
2/6/2025,NA
2/7/2025,NA
2/8/2025,NA
2/9/2025,NA
2/10/2025,NA
2/11/2025,NA
2/12/2025,NA
2/13/2025,NA
2/14/2025,NA
2/15/2025,NA
2/16/2025,NA
2/17/2025,NA
2/18/2025,NA
2/19/2025,NA
2/20/2025,NA
2/21/2025,NA
2/22/2025,NA
2/23/2025,NA
2/24/2025,NA
2/25/2025,NA
2/26/2025,NA
2/27/2025,NA
2/28/2025,NA
3/1/2025,NA
3/2/2025,NA
3/3/2025,NA
3/4/2025,NA
3/5/2025,NA
3/6/2025,NA
3/7/2025,NA
3/8/2025,NA
3/9/2025,NA
3/10/2025,NA
3/11/2025,NA
3/12/2025,NA
3/13/2025,NA
3/14/2025,NA
3/15/2025,NA
3/16/2025,NA
3/17/2025,NA
3/18/2025,NA
3/19/2025,NA
3/20/2025,NA
3/21/2025,NA
3/22/2025,NA
3/23/2025,NA
3/24/2025,NA
3/25/2025,NA
3/26/2025,NA
3/27/2025,-10.60208333
3/28/2025,-11.04583333
3/29/2025,-11.515625
3/30/2025,-11.97881944
3/31/2025,-12.39756944
4/1/2025,-12.73888889
4/2/2025,-13.00625
4/3/2025,-12.99756944
4/4/2025,-12.54236111
4/5/2025,-12.21458333
4/6/2025,-12.00173611
4/7/2025,-12.01458333
4/8/2025,-12.15069444
4/9/2025,-12.31527778
4/10/2025,-12.48368056
4/11/2025,-12.62708333
4/12/2025,-12.75694444
4/13/2025,-12.95416667
4/14/2025,-13.13993056
4/15/2025,-13.41666667
4/16/2025,-13.66319444
4/17/2025,-13.80069444
4/18/2025,-13.92326389
4/19/2025,-14.19794521
4/20/2025,-14.36145833
4/21/2025,-14.59618056
4/22/2025,-14.80381944
4/23/2025,-14.79097222
4/24/2025,-14.55902778
4/25/2025,-14.42604167
4/26/2025,-14.459375
4/27/2025,-14.5625
4/28/2025,-14.71006944
4/29/2025,-14.87291667
4/30/2025,-15.12673611
5/1/2025,-15.39513889
5/2/2025,-15.70416667
5/3/2025,-16.025
5/4/2025,-16.35034722
5/5/2025,-16.559375
5/6/2025,-16.85590278
5/7/2025,-17.18611111
5/8/2025,-17.51944444
5/9/2025,-17.83514493
5/10/2025,-18.33541667
5/11/2025,-18.53333333
5/12/2025,-18.90972222
5/13/2025,-19.11840278
5/14/2025,-19.29513889
5/15/2025,-19.36180556
5/16/2025,-18.77361111
5/17/2025,-16.55833333
5/18/2025,-12.82777778
5/19/2025,-3.861458333
5/20/2025,-0.444097222
5/21/2025,-1.352430556
5/22/2025,-1.178819444
5/23/2025,-0.109027778
5/24/2025,-0.107291667
5/25/2025,-0.273958333
5/26/2025,-0.329513889
5/27/2025,-0.418181818
5/28/2025,-0.422916667
5/29/2025,-0.319791667
5/30/2025,-0.430555556
5/31/2025,-0.565972222
6/1/2025,-2.290972222
6/2/2025,-3.240625
6/3/2025,-0.149305556
6/4/2025,-0.717708333
6/5/2025,-3.655208333
6/6/2025,-4.727083333
6/7/2025,-0.128125
6/8/2025,-0.682986111
6/9/2025,-3.7625
6/10/2025,-0.289583333
6/11/2025,-0.894791667
6/12/2025,-0.325
