Date,Irrigation_in,Irrigation_cm
4/1/2025,0,0
4/2/2025,0,0
4/3/2025,0,0
4/4/2025,0,0
4/5/2025,0,0
4/6/2025,0,0
4/7/2025,0,0
4/8/2025,0,0
4/9/2025,0,0
4/10/2025,0,0
4/11/2025,0,0
4/12/2025,0,0
4/13/2025,0,0
4/14/2025,0,0
4/15/2025,0.2,0.508
4/16/2025,0,0
4/17/2025,0,0
4/18/2025,0,0
4/19/2025,0,0
4/20/2025,0,0
4/21/2025,0,0
4/22/2025,0.5,1.27
4/23/2025,0,0
4/24/2025,0,0
4/25/2025,0,0
4/26/2025,0,0
4/27/2025,0,0
4/28/2025,0,0
4/29/2025,0,0
4/30/2025,0,0
5/1/2025,0,0
5/2/2025,0,0
5/3/2025,0,0
5/4/2025,0,0
5/5/2025,0,0
5/6/2025,0,0
5/7/2025,0,0
5/8/2025,0,0
5/9/2025,0,0
5/10/2025,0,0
5/11/2025,0,0
5/12/2025,0,0
5/13/2025,0,0
5/14/2025,0.5,1.27
5/15/2025,0.5,1.27
5/16/2025,0.74,1.8796
5/17/2025,0,0
5/18/2025,0,0
5/19/2025,0.74,1.8796
5/20/2025,0,0
5/21/2025,0,0
5/22/2025,1,2.54
5/23/2025,0.5,1.27
5/24/2025,0,0
5/25/2025,0.5,1.27
5/26/2025,0,0
5/27/2025,0.5,1.27
5/28/2025,0.5,1.27
5/29/2025,0,0
5/30/2025,0.5,1.27
5/31/2025,0,0
6/1/2025,0,0
6/2/2025,1.5,3.81
6/3/2025,0,0
6/4/2025,0,0
6/5/2025,0,0
6/6/2025,1.5,3.81
6/7/2025,0,0
6/8/2025,0,0
6/9/2025,1.5,3.81
6/10/2025,0,0
6/11/2025,1,2.54
6/12/2025,0,0
6/13/2025,0,0
6/14/2025,0,0
6/15/2025,1,2.54
6/16/2025,0,0
6/17/2025,0,0
6/18/2025,0,0
6/19/2025,0,0
6/20/2025,0,0
6/21/2025,0,0
6/22/2025,0,0
6/23/2025,0,0
6/24/2025,0,0
6/25/2025,0,0
6/26/2025,0,0
6/27/2025,0,0
6/28/2025,0,0
6/29/2025,0,0
6/30/2025,0,0
7/1/2025,0,0
7/2/2025,0,0
7/3/2025,0,0
7/4/2025,0,0
7/5/2025,0,0
7/6/2025,0,0
7/7/2025,0,0
7/8/2025,0,0
7/9/2025,0,0
7/10/2025,0,0
7/11/2025,0.5,1.27
7/12/2025,1,2.54
7/13/2025,0,0
7/14/2025,1.75,4.445
7/15/2025,0,0
7/16/2025,0,0
7/17/2025,2,5.08
7/18/2025,0,0
7/19/2025,0,0
7/20/2025,0,0
7/21/2025,0,0
7/22/2025,1.54,3.9116
7/23/2025,0,0
7/24/2025,0,0
7/25/2025,0,0
7/26/2025,0,0
7/27/2025,2.5,6.35
7/28/2025,0,0
7/29/2025,0,0
7/30/2025,0,0
7/31/2025,0,0
8/1/2025,0,0
8/2/2025,0,0
8/3/2025,0,0
8/4/2025,0,0
8/5/2025,0,0
8/6/2025,0,0
8/7/2025,1,2.54
8/8/2025,0,0
8/9/2025,0,0
8/10/2025,0,0
8/11/2025,0,0
8/12/2025,0,0
8/13/2025,0,0
8/14/2025,0,0
8/15/2025,0,0
8/16/2025,0,0
8/17/2025,0,0
8/18/2025,0,0
8/19/2025,0,0
8/20/2025,0,0
8/21/2025,0,0
8/22/2025,0,0
8/23/2025,1.82,4.6228
8/24/2025,0,0
8/25/2025,0,0
8/26/2025,0,0
8/27/2025,0,0
8/28/2025,1.82,4.6228
8/29/2025,0,0
8/30/2025,0,0
8/31/2025,0,0
9/1/2025,0,0
9/2/2025,0,0
9/3/2025,0,0
9/4/2025,0,0
