Date,FCP.LYS1_6
1/28/2025,0.061555556
1/29/2025,0.236604167
1/30/2025,0.219291667
1/31/2025,0.069458333
2/1/2025,0.278
2/2/2025,0.27725
2/3/2025,0.103875
2/4/2025,0.236604167
2/5/2025,0.080791667
2/6/2025,0.184666667
2/7/2025,0.040395833
2/8/2025,0.046166667
2/9/2025,0.040395833
2/10/2025,0.005770833
2/11/2025,0.1938
2/12/2025,NA
2/13/2025,NA
2/14/2025,0.277
2/15/2025,0.277
2/16/2025,0.277
2/17/2025,0.276902778
2/18/2025,0.276128472
2/19/2025,0.276
2/20/2025,0.276
2/21/2025,0.276
2/22/2025,0.276
2/23/2025,0.275388889
2/24/2025,0.275
2/25/2025,0.274996528
2/26/2025,0.274722222
2/27/2025,0.274965278
2/28/2025,0.275
3/1/2025,0.275
3/2/2025,0.27534375
3/3/2025,0.276
3/4/2025,0.276
3/5/2025,0.276
3/6/2025,0.276
3/7/2025,0.276006944
3/8/2025,0.276104167
3/9/2025,0.2766875
3/10/2025,0.277
3/11/2025,0.310263889
3/12/2025,0.329305556
3/13/2025,0.334211806
3/14/2025,0.330517361
3/15/2025,0.3286875
3/16/2025,0.328211806
3/17/2025,0.328840278
3/18/2025,0.329
3/19/2025,0.328732639
3/20/2025,0.328
3/21/2025,0.327229167
3/22/2025,0.326725694
3/23/2025,0.326
3/24/2025,0.325697917
3/25/2025,0.325
3/26/2025,NA
3/27/2025,0.32546875
3/28/2025,0.326420139
3/29/2025,0.328
3/30/2025,0.328375
3/31/2025,0.329
4/1/2025,0.329
4/2/2025,0.329
4/3/2025,0.329
4/4/2025,0.329315972
4/5/2025,0.33
4/6/2025,0.33
4/7/2025,0.33
4/8/2025,0.33
4/9/2025,0.330583333
4/10/2025,0.331
4/11/2025,0.33146875
4/12/2025,0.332
4/13/2025,0.332416667
4/14/2025,0.333
4/15/2025,0.333
4/16/2025,0.333013889
4/17/2025,0.333940972
4/18/2025,0.334
4/19/2025,0.334
4/20/2025,0.333795139
4/21/2025,0.333493056
4/22/2025,0.334
4/23/2025,0.334006944
4/24/2025,0.334892361
4/25/2025,0.335
4/26/2025,0.335
4/27/2025,0.335552083
4/28/2025,0.336020833
4/29/2025,0.336947917
4/30/2025,0.337472222
5/1/2025,0.338
5/2/2025,0.33828125
5/3/2025,0.339
5/4/2025,0.339
5/5/2025,0.339934028
5/6/2025,0.340003472
5/7/2025,0.340003472
5/8/2025,0.34
5/9/2025,0.340076087
5/10/2025,0.341
5/11/2025,0.341024306
5/12/2025,0.341972222
5/13/2025,0.342
5/14/2025,0.342121528
5/15/2025,0.342784722
5/16/2025,0.343392361
5/17/2025,0.345895833
5/18/2025,0.349184028
5/19/2025,0.355427083
5/20/2025,0.36
5/21/2025,0.35990625
5/22/2025,0.363607639
5/23/2025,0.366572917
5/24/2025,0.366680556
5/25/2025,0.365291667
5/26/2025,0.365
5/27/2025,0.366390909
5/28/2025,0.367
5/29/2025,0.368798611
5/30/2025,0.369576389
5/31/2025,0.37
6/1/2025,0.37
6/2/2025,0.374597222
6/3/2025,0.377152778
6/4/2025,0.374548611
6/5/2025,0.372711806
6/6/2025,0.376368056
6/7/2025,0.378819444
6/8/2025,0.375399306
6/9/2025,0.374239583
6/10/2025,0.380618056
6/11/2025,0.377510417
6/12/2025,0.381673611
6/13/2025,0.380486111
6/14/2025,0.378888889
6/15/2025,0.380201389
6/16/2025,0.383
6/17/2025,0.381989583
6/18/2025,0.380295139
6/19/2025,0.378642361
6/20/2025,0.377069444
6/21/2025,0.376923611
6/22/2025,0.379
6/23/2025,0.378267361
6/24/2025,0.377041667
6/25/2025,0.375611111
6/26/2025,0.37415625
6/27/2025,0.373027778
6/28/2025,0.372170139
6/29/2025,0.371260417
6/30/2025,0.370263889
7/1/2025,0.37
7/2/2025,0.37
7/3/2025,0.37
7/4/2025,0.370361111
7/5/2025,0.371
7/6/2025,0.371121528
7/7/2025,0.3710625
7/8/2025,0.3710625
7/9/2025,0.371805556
7/10/2025,0.372
7/11/2025,0.372340278
7/12/2025,0.372954861
7/13/2025,0.374638889
7/14/2025,0.375
7/15/2025,0.394
7/16/2025,0.394
7/17/2025,0.393930556
7/18/2025,0.411506944
7/19/2025,0.403173611
7/20/2025,0.399375
7/21/2025,0.396361111
7/22/2025,0.403152778
7/23/2025,0.403024306
7/24/2025,0.399072917
7/25/2025,0.395756944
7/26/2025,0.393048611
7/27/2025,0.397163194
7/28/2025,0.407392361
7/29/2025,0.401159722
7/30/2025,0.397663194
7/31/2025,0.394826389
8/1/2025,0.392600694
8/2/2025,0.390770833
8/3/2025,0.389350694
8/4/2025,0.387444444
8/5/2025,0.385927083
8/6/2025,0.384
8/7/2025,0.384951389
8/8/2025,0.394368056
8/9/2025,0.394763889
8/10/2025,0.393420139
8/11/2025,0.391479167
8/12/2025,0.389520833
8/13/2025,0.3875625
8/14/2025,0.386402778
8/15/2025,0.384697917
8/16/2025,0.383534722
8/17/2025,0.38275
8/18/2025,0.381725694
8/19/2025,0.381
8/20/2025,0.380298611
8/21/2025,0.38
8/22/2025,0.38
8/23/2025,0.381954861
8/24/2025,0.385
8/25/2025,0.385
8/26/2025,0.385
8/27/2025,0.384555556
8/28/2025,0.397743056
8/29/2025,0.398753472
8/30/2025,0.397225694
8/31/2025,0.395392361
9/1/2025,0.393784722
9/2/2025,0.392295139
9/3/2025,0.390916667
9/4/2025,0.389590278
9/5/2025,0.388166667
9/6/2025,0.38678125
9/7/2025,0.385541667
9/8/2025,0.384454861
9/9/2025,0.383711806
9/10/2025,0.382736111
9/11/2025,0.381868056
9/12/2025,0.380927083
9/13/2025,0.380003472
9/14/2025,0.379302083
9/15/2025,0.37825
9/16/2025,0.377378472
9/17/2025,0.377
9/18/2025,0.376041667
9/19/2025,0.376024306
9/20/2025,0.375607639
9/21/2025,0.376743056
9/22/2025,0.38346875
9/23/2025,0.382135135
9/24/2025,0.381496528
9/25/2025,0.380107639
9/26/2025,0.378864583
9/27/2025,0.377611111
9/28/2025,0.376541667
9/29/2025,0.375225694
9/30/2025,0.373923611
10/1/2025,0.373
10/2/2025,0.372684028
10/3/2025,0.372
10/4/2025,0.371267361
10/5/2025,0.370975694
10/6/2025,0.370052083
10/7/2025,0.36959375
10/8/2025,0.368440972
10/9/2025,0.367222222
10/10/2025,0.366503472
10/11/2025,0.365902778
10/12/2025,0.365027778
10/13/2025,0.365
10/14/2025,0.364059028
10/15/2025,0.363003472
10/16/2025,0.362107639
10/17/2025,0.361055556
10/18/2025,0.360125
10/19/2025,0.359850694
10/20/2025,0.359
10/21/2025,0.358399306
10/22/2025,0.358
10/23/2025,0.357164773
