Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp
1/1/2025,0,0.019470405,-13.22,-4.3,-7.645833333
1/2/2025,0.0762,0.019002866,-8.31,-0.8,-4.686354167
1/3/2025,0.508,0.032551661,-4.06,1.61,-1.776979167
1/4/2025,0.0508,0.036756591,-4.28,2.09,-0.715625
1/5/2025,0.1016,0.021706041,-10.11,0.46,-3.383125
1/6/2025,0.1524,0.014414963,-4.49,1.08,-2.308333333
1/7/2025,0,0.012667404,-14,-1.16,-7.2559375
1/8/2025,0.0254,0.025652175,-9.36,-0.87,-5.489791667
1/9/2025,0,0.017691731,-14.96,0.25,-7.4446875
1/10/2025,0,0.019731793,-12.35,1.45,-5.554166667
1/11/2025,0.0254,0.037550682,-3.17,0.15,-1.282083333
1/12/2025,0.0508,0.041890713,-14.2,-0.76,-3.694375
1/13/2025,0,0.039502258,-9.99,-1.35,-3.42625
1/14/2025,0,0.043750194,-11.12,0.7,-5.421458333
1/15/2025,0,0.018898015,-12.68,-1.07,-8.208645833
1/16/2025,0,0.022269161,-14.82,4.06,-6.7015625
1/17/2025,0,0.048639244,-12.27,1.29,-6.478854167
1/18/2025,0,0.030880874,-19.8,-9.1,-13.51916667
1/19/2025,0.0762,0.024109478,-24.99,-7.65,-12.99635417
1/20/2025,0,0.013023807,-30.39,-16.89,-23.0309375
1/21/2025,0,0.023139683,-22.78,-3.66,-13.1975
1/22/2025,0,0.03932694,-17.43,-1.25,-6.962604167
1/23/2025,0,0.022362255,-21.52,-7.96,-15.38208333
1/24/2025,0,0.028945665,-14.56,-1.62,-7.709583333
1/25/2025,0,0.019449252,-21.69,-7.68,-15.26822917
1/26/2025,0,0.016890468,-23.78,-10.77,-18.52625
1/27/2025,0,0.022478017,-21.34,-6.14,-16.37552083
1/28/2025,0.0254,0.021936806,-22.35,-6.46,-15.85552083
1/29/2025,0,0.02799017,-20.6,-2.69,-14.53177083
1/30/2025,0,0.023141721,-20.5,-4.04,-13.86572917
1/31/2025,0,0.04481863,-14.56,6.33,-4.655625
2/1/2025,0.1016,0.055785665,-5.35,5,0.724791667
2/2/2025,0.0508,0.043835567,-6.37,1.06,-3.401770833
2/3/2025,0.1016,0.033874199,-15.03,-5.18,-12.1903125
2/4/2025,0.1524,0.034546772,-16.3,-12.39,-14.4171875
2/5/2025,0.1778,0.031429919,-19.77,-9.07,-14.77739583
2/6/2025,0.0508,0.028655789,-20.64,-4.89,-12.38989583
2/7/2025,0.0762,0.027771183,-16.76,-6.56,-11.4271875
2/8/2025,0.0254,0.03580601,-15.07,-8.41,-11.8065625
2/9/2025,0,0.030608525,-17.5,-4.97,-10.74479167
2/10/2025,0.0254,0.02577365,-27.64,-10.41,-16.04541667
2/11/2025,0,0.019081793,-33,-18.09,-25.3396875
2/12/2025,0,0.017205844,-34.57,-19,-27.59729167
2/13/2025,0,0.018678735,-34.03,-15.3,-24.8328125
2/14/2025,0.1778,0.032660526,-15.16,-4.97,-9.758020833
2/15/2025,0.0254,0.048771182,-8.85,-1.65,-4.373541667
2/16/2025,0.1778,0.041222944,-7.55,-3.09,-5.767708333
2/17/2025,0.254,0.045040251,-7.8,-2.23,-5.450104167
2/18/2025,0.3048,0.052474372,-10.41,-4.89,-7.425625
2/19/2025,0,0.049001993,-15.4,-5.97,-9.86125
2/20/2025,0,0.063701021,-8.51,2.43,-2.609895833
2/21/2025,0,0.094804526,-4.54,3.68,-0.078958333
2/22/2025,0,0.047502239,-4.97,-1.81,-3.3275
2/23/2025,0,0.094023242,-3.38,9.45,4.476979167
2/24/2025,0,0.130076035,-1.27,8.62,3.7815625
2/25/2025,0.1524,0.122611533,-0.07,5.54,2.423541667
2/26/2025,0,0.125972855,-4.78,6.01,1.494791667
2/27/2025,0,0.116313081,-10,7.85,-2.433333333
2/28/2025,0,0.094837397,-8.75,8.09,-1.531770833
3/1/2025,0,0.118616054,-9.28,9.53,-1.653020833
3/2/2025,0,0.113266187,-10.6,7.89,-1.801354167
3/3/2025,0,0.054866121,-5.98,2.92,-0.550729167
3/4/2025,0,0.085261676,-4.61,4.57,-0.219166667
3/5/2025,0,0.11891192,-4.76,5.59,0.5484375
3/6/2025,0,0.102427902,-6.23,3.77,-1.5071875
3/7/2025,0,0.134340043,-11.12,6.03,-2.470625
3/8/2025,0,0.146528805,-7.25,10.46,-0.193541667
3/9/2025,0,0.15620368,-6.33,12.84,1.920208333
3/10/2025,0,0.128985572,0.13,8.9,4.792604167
3/11/2025,0,0.139208581,-1.95,9.15,2.714895833
3/12/2025,0,0.139430551,-2.39,11.61,3.18
3/13/2025,0,0.107916892,-1.72,7.91,2.902291667
3/14/2025,0,0.128281682,-6.82,3.53,-1.4521875
3/15/2025,0,0.118832446,-4.44,6.14,0.2534375
3/16/2025,0.0762,0.126777468,-2.68,9.34,1.9653125
3/17/2025,0.1524,0.111255469,-4.67,4.32,-0.4534375
3/18/2025,0,0.111219188,-10.21,1.95,-2.573020833
3/19/2025,0,0.207741232,-3.66,7.41,0.243125
3/20/2025,0,0.142856614,-3.39,6.16,1.048229167
3/21/2025,0,0.185023111,-3.79,10.58,2.607291667
3/22/2025,0,0.168168098,-2.35,4.82,1.562395833
3/23/2025,0,0.173443065,-6.48,9.8,2.358645833
3/24/2025,0,0.211576151,7.71,13.11,10.45135417
3/25/2025,0,0.293819571,0.13,18.67,9.833854167
3/26/2025,0,0.289109064,-4.26,21.86,8.567916667
3/27/2025,0,0.23323574,-2.76,20.23,7.7603125
3/28/2025,0.2286,0.195563248,-1.63,13.11,6.108854167
3/29/2025,0.3302,0.161618289,0.54,10.73,4.058645833
3/30/2025,0.0254,0.168026591,-1.02,6.43,2.700208333
3/31/2025,0.127,0.13370583,-4.03,8.88,2.137604167
4/1/2025,0.381,0.086936404,-1.08,1.55,-0.145833333
4/2/2025,0.5842,0.166552055,-1.17,6.03,1.46875
4/3/2025,0.0254,0.120932304,-7.18,5.67,-1.942083333
