"Date","VWC_6in","VWC_12in","VWC_24in","VWC_36in"
2024-04-04,0.209712052,0.254514502,0.212652334,0.176313862
2024-04-05,0.2068525825,0.255239875,0.2127939175,0.17656729
2024-04-06,0.246473335,0.2610939325,0.212713105,0.1763636425
2024-04-07,0.2645721025,0.2773792675,0.21860272,0.17647678
2024-04-08,0.260683405,0.2810061325,0.22687792,0.17810596
2024-04-09,0.2503167775,0.278513875,0.2295188725,0.1803590125
2024-04-10,0.2418217675,0.2755367425,0.2290663225,0.18194617
2024-04-11,0.2338892125,0.272488495,0.2277991825,0.1826476225
2024-04-12,0.22607626,0.269424085,0.226199095,0.182767225
2024-04-13,0.219087595,0.2661366325,0.2241012025,0.182469835
2024-04-14,0.213049285,0.2630463625,0.2214893425,0.1817360575
2024-04-15,0.20841388,0.260140345,0.2190261775,0.1809343975
2024-04-16,0.20651317,0.2587536025,0.217031725,0.1801650625
2024-04-17,0.20735362,0.2581782175,0.2157096325,0.17959291
2024-04-18,0.21112918,0.2577289,0.2149920175,0.178978735
2024-04-19,0.2108673475,0.2571826075,0.2140481275,0.178202935
2024-04-20,0.2100850825,0.2564908525,0.2132206075,0.177491785
2024-04-21,0.20869834,0.25524634,0.212441575,0.1768614475
2024-04-22,0.2080162825,0.254334775,0.2117207275,0.1763377825
2024-04-23,0.2073051325,0.2533036075,0.2109772525,0.1758787675
2024-04-24,0.206131735,0.252046165,0.210165895,0.1754844025
2024-04-25,0.2046997375,0.25068205,0.2092058425,0.1751288275
2024-04-26,0.203830195,0.249809275,0.208420345,0.174776485
2024-04-27,0.202860445,0.2489526625,0.20770273,0.17436919
2024-04-28,0.20276347,0.2485324375,0.207049765,0.1739651275
2024-04-29,0.20313844,0.2482156525,0.2064452875,0.173625715
2024-04-30,0.204011215,0.2486358775,0.2058796,0.1733315575
2024-05-01,0.2038916125,0.2485712275,0.2055272575,0.1730535625
2024-05-02,0.2067847,0.2488815475,0.205459375,0.1727884975
2024-05-03,0.2097682975,0.24902701,0.20545291,0.172474945
2024-05-04,0.2086951075,0.248632645,0.205394725,0.1721807875
2024-05-05,0.206131735,0.2478018925,0.20527189,0.1720126975
2024-05-06,0.2367855325,0.2518101925,0.2050941025,0.171802585
2024-05-07,0.256494085,0.2667702025,0.2105182375,0.171828445
2024-05-08,0.2611197925,0.2744441575,0.21869323,0.1729307275
2024-05-09,0.24464374,0.27160279,0.223638955,0.17528722
2024-05-10,0.2319303175,0.2668736425,0.2231443825,0.177517645
2024-05-11,0.2220905875,0.26261644,0.2211531625,0.1785552775
2024-05-12,0.214083685,0.2588182525,0.21838291,0.1786199275
2024-05-13,0.207709195,0.25528513,0.2160070225,0.1783096075
2024-05-14,0.20295742,0.2526894325,0.21357295,0.1776243175
2024-05-15,0.198916795,0.25017778,0.21123262,0.17682589
2024-05-16,NA,0.2475950125,0.2091799825,0.175940185
2024-05-17,NA,0.246116467,0.207528175,0.174630376
2024-05-18,NA,0.2460046225,0.20589253,0.1737970375
2024-05-19,NA,0.2452611475,0.204916315,0.1730018425
2024-05-20,NA,0.24394552,0.203998285,0.172229275
2024-05-21,NA,0.2421967375,0.2029541875,0.17152459
2024-05-22,NA,0.2405546275,0.2018357425,0.17086516
2024-05-23,NA,0.2399081275,0.20094034,0.1703253325
2024-05-24,NA,0.242503825,0.200067565,0.1697370175
2024-05-25,NA,0.2639062075,0.205472305,0.1694202325
2024-05-26,NA,0.2664081625,0.21516334,0.170393215
2024-05-27,NA,0.2626778575,0.21707698,0.1724846425
2024-05-28,NA,0.2572860475,0.2155674025,0.1739521975
2024-05-29,NA,0.251968585,0.2125935025,0.174375655
2024-05-30,NA,0.2501098975,0.21015943,0.1742172625
2024-05-31,NA,0.2476079425,0.2082296275,0.1736677375
2024-06-01,NA,0.24341539,0.2058311125,0.17284345
2024-06-02,NA,0.2409295975,0.203558665,0.1719803725
2024-06-03,NA,0.240021265,0.2017904875,0.171052645
2024-06-04,NA,0.2400115675,0.2002776775,0.170289775
2024-06-05,NA,0.24129487,0.1993402525,0.1695559975
2024-06-06,NA,0.23851492,0.1981765525,0.1688836375
2024-06-07,NA,0.23198527,0.196149775,0.16821451
