"Date","ET_cm","Precip_cm","AvgTemp","MinTemp","MaxTemp"
2022-01-01,0.01524,0,-15.4520833333333,-20.325,-10.85
2022-01-02,0.01016,0,-11.2125,-16.55,-7.425
2022-01-03,0.03048,0,-6.25729166666667,-11.825,-0.475
2022-01-04,0.04318,0.017,-3.08854166666667,-7.125,0.675
2022-01-05,0.02286,0,-12.1802083333333,-14.75,-8.25
2022-01-06,0.01524,0,-12.1020833333333,-13.6,-10.15
2022-01-07,0.07366,0.7753,-1.88229166666667,-9.85,4.675
2022-01-08,0.09652,0,-1.415625,-3,1.45
2022-01-09,0.05588,0,-1.58020833333333,-8.875,2.85
2022-01-10,0.01524,0,-8.34895833333333,-13.425,-4.15
2022-01-11,0.04064,0.0425,-0.179166666666667,-4.9,3.65
2022-01-12,0.03048,0.2108,3.83645833333333,0.925,5.55
2022-01-13,0.01524,0,-0.241666666666667,-4.675,3.975
2022-01-14,0.02032,0,-1.925,-5.65,0.675
2022-01-15,0.02032,0,-1.153125,-3.875,1.475
2022-01-16,0.01778,0.0085,-2.75625,-6.85,1.25
2022-01-17,0.04064,0.0017,-1.253125,-6.1,5.625
2022-01-18,0.04318,0,0.297916666666667,-4.9,3.5
2022-01-19,0.03048,0,-3.91666666666667,-7.525,-1.575
2022-01-20,0.02794,0.5105,-0.0395833333333333,-2.9,3.125
2022-01-21,0.03302,0.0034,1.784375,-0.75,4.425
2022-01-22,0.03048,0,-1.53645833333333,-5.275,2.725
2022-01-23,0.01778,0,-4.43854166666667,-6.7,-1.7
2022-01-24,0.0254,0,-4.94791666666667,-7.475,-0.675
2022-01-25,0.02286,0,-3.79166666666667,-6.8,-0.775
2022-01-26,0.0254,0,-4.49583333333333,-8.575,-2.475
2022-01-27,0.02286,0,-7.33229166666667,-10.85,-3.5
2022-01-28,0.02286,0,-5.16979166666667,-6.45,-3.125
2022-01-29,0.02032,0,-5.90416666666667,-7.8,-4.425
2022-01-30,0.02794,0,-3.609375,-5.875,-0.725
2022-01-31,0.09906,0,0.383333333333333,-4.6,3.025
2022-02-01,0.0381,0,-8.05729166666667,-13.5,-3.7
2022-02-02,0.02286,0,-15.96875,-20.95,-13.625
