Site,Depth,Sand,Silt,Clay,thetar,thetas,alpha,n,ks,l,thetar2,thetas2,alpha2,n2,omega
R5-01-028,"1.0-6""",81,10,9,0.0479,0.3792,0.0352,1.6718,89.64,0.5,0,0.3,0.01,1.5,0.05
R5-01-028,"2.6-12""",84,7,9,0.0515,0.3763,0.0326,1.8201,117.8,0.5,0,0.3,0.01,1.5,0.05
R5-01-028,"3.12-24""",79,12,9,0.0459,0.3808,0.0365,1.5986,76.51,0.5,0,0.3,0.01,1.5,0.05
R5-01-028,"4.24-36""",78,11,11,0.0488,0.3788,0.0344,1.5429,63.29,0.5,0,0.3,0.01,1.5,0.05
R5-01-350,"1.0-6""",81,10,9,0.0479,0.3792,0.0352,1.6718,89.64,0.5,0,0.3,0.01,1.5,0.05
R5-01-350,"2.6-12""",77,12,11,0.048,0.3796,0.0348,1.5192,59.65,0.5,0,0.3,0.01,1.5,0.05
R5-01-350,"3.12-24""",76,13,11,0.0473,0.3803,0.0351,1.4985,56.4,0.5,0,0.3,0.01,1.5,0.05
R5-01-350,"4.24-36""",79,11,10,0.0478,0.3794,0.0351,1.5843,72.28,0.5,0,0.3,0.01,1.5,0.05
R5-07-002,"1.0-6""",59,19,22,0.0625,0.3879,0.0257,1.3433,16.17,0.5,0,0.3,0.01,1.5,0.05
R5-07-002,"2.6-12""",64,12,24,0.0646,0.381,0.0277,1.3159,15.5,0.5,0,0.3,0.01,1.5,0.05
R5-07-002,"3.12-24""",62,17,21,0.0607,0.3847,0.0273,1.3428,18.42,0.5,0,0.3,0.01,1.5,0.05
R5-07-002,"4.24-36""",61,18,21,0.0608,0.3858,0.0268,1.3451,18.04,0.5,0,0.3,0.01,1.5,0.05
R5-07-008,"1.0-6""",64,17,19,0.0576,0.3833,0.0284,1.3549,22,0.5,0,0.3,0.01,1.5,0.05
R5-07-008,"2.6-12""",63,16,21,0.0606,0.3835,0.0278,1.3411,18.75,0.5,0,0.3,0.01,1.5,0.05
R5-07-008,"3.12-24""",69,17,14,0.0497,0.382,0.0321,1.3973,35.22,0.5,0,0.3,0.01,1.5,0.05
R5-07-008,"4.24-36""",61,18,21,0.0608,0.3858,0.0268,1.3451,18.04,0.5,0,0.3,0.01,1.5,0.05
,,71,14,15,0.052,0.3798,0.032,1.4019,34.71,0.5,0,0.3,0.01,1.5,0.05
