,Unnamed: 0,date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h3,theta3,temp3,h7,theta7,temp7,h12,theta12,temp12,h22,theta22,temp22,h32,theta32,temp32,h47,theta47,temp47,h72,theta72,temp72,h92,theta92,temp92,h112,theta112,temp112
0,1,2023-01-01,5,20,10,25,0,5.0,0.0,0.87255,0.0,-1.5679,5.0,0.0,2.3535,0.0,-1.7191,-1000000.0,0.0,-17.272,0.0,0.0,60.277,0.0,2.3535,0.0,-720.13,0.2107,20.0,-155.64,0.3116,20.0,-96.03,0.3473,20.0,-60.5,0.3779,20.0,-46.04,0.393,20.0,-34.91,0.4057,20.0,-25.81,0.4164,20.0,-21.9,0.421,20.0,-19.39,0.424,20.0
1,2,2023-01-02,5,20,10,25,0,5.0,0.0,0.52178,0.0,-1.1151,10.0,0.0,3.0003,0.0,-3.0371,-1000000.0,0.0,-23.865,0.0,0.0,58.312,0.0,3.0003,0.0,-898.5,0.1995,20.0,-202.64,0.2922,20.0,-128.05,0.3265,20.0,-82.69,0.358,20.0,-64.0,0.3746,20.0,-49.29,0.3895,20.0,-36.84,0.4034,20.0,-31.13,0.4101,20.0,-27.35,0.4146,20.0
2,3,2023-01-03,5,20,10,25,0,5.0,0.0,0.3906,0.0,-0.84312,15.0,0.0,3.441,0.0,-4.0036,-1000000.0,0.0,-29.943,0.0,0.0,56.905,0.0,3.441,0.0,-1012.9,0.1936,20.0,-236.71,0.2806,20.0,-150.58,0.314,20.0,-98.55,0.3456,20.0,-76.95,0.3627,20.0,-59.89,0.3785,20.0,-45.31,0.3939,20.0,-38.55,0.4015,20.0,-34.03,0.4067,20.0
3,4,2023-01-04,5,20,10,25,0,5.0,0.0,0.30567,0.0,-0.68226,20.0,0.0,3.788,0.0,-4.7632,-1000000.0,0.0,-35.272,0.0,0.0,55.798,0.0,3.788,0.0,-1117.29,0.1894,20.0,-263.08,0.2734,20.0,-168.92,0.3059,20.0,-111.35,0.3369,20.0,-87.49,0.3541,20.0,-68.58,0.3704,20.0,-52.32,0.3864,20.0,-44.83,0.3944,20.0,-39.7,0.4002,20.0
4,5,2023-01-05,5,20,10,25,0,5.0,0.0,0.26346,0.0,-0.56838,25.0,0.0,4.0745,0.0,-5.3757,-1000000.0,0.0,-39.842,0.0,0.0,54.899,0.0,4.0745,0.0,-1190.89,0.1863,20.0,-287.92,0.267,20.0,-184.53,0.299,20.0,-122.34,0.3297,20.0,-96.51,0.347,20.0,-76.01,0.3635,20.0,-58.4,0.38,20.0,-50.2,0.3886,20.0,-44.76,0.3945,20.0
5,6,2023-01-06,5,20,10,25,0,5.0,0.0,0.22943,0.0,-0.48568,30.0,0.0,4.3198,0.0,-5.898,-1000000.0,0.0,-44.141,0.0,0.0,54.132,0.0,4.3198,0.0,-1255.02,0.184,20.0,-307.2,0.2621,20.0,-198.35,0.2936,20.0,-132.07,0.3243,20.0,-104.49,0.3416,20.0,-82.6,0.3581,20.0,-63.76,0.3749,20.0,-55.06,0.3835,20.0,-49.18,0.3897,20.0
6,7,2023-01-07,5,20,10,25,0,5.0,0.0,0.20499,0.0,-0.41672,35.0,0.0,4.5378,0.0,-6.3385,-1000000.0,0.0,-47.879,0.0,0.0,53.473,0.0,4.5378,0.0,-1337.85,0.1816,20.0,-325.06,0.2587,20.0,-210.65,0.2895,20.0,-140.6,0.3196,20.0,-111.54,0.3368,20.0,-88.47,0.3533,20.0,-68.61,0.3703,20.0,-59.43,0.379,20.0,-53.24,0.3854,20.0
7,8,2023-01-08,5,20,10,25,0,5.0,0.0,0.18848,0.0,-0.37563,40.0,0.0,4.7334,0.0,-6.7293,-1000000.0,0.0,-51.44,0.0,0.0,52.887,0.0,4.7334,0.0,-1410.77,0.1794,20.0,-342.31,0.2553,20.0,-221.71,0.2857,20.0,-148.5,0.3152,20.0,-118.07,0.3323,20.0,-93.91,0.349,20.0,-73.09,0.3661,20.0,-63.42,0.3752,20.0,-57.05,0.3815,20.0
8,9,2023-01-09,5,20,10,25,0,5.0,0.0,0.17225,0.0,-0.33636,45.0,0.0,4.9104,0.0,-7.081,-1000000.0,0.0,-54.833,0.0,0.0,52.358,0.0,4.9104,0.0,-1445.59,0.1783,20.0,-359.03,0.2521,20.0,-232.39,0.2821,20.0,-156.05,0.3115,20.0,-124.27,0.3286,20.0,-99.0,0.3453,20.0,-77.24,0.3625,20.0,-67.19,0.3717,20.0,-60.52,0.3779,20.0
9,10,2023-01-10,5,20,10,25,0,5.0,0.0,0.15945,0.0,-0.29993,50.0,0.0,5.0753,0.0,-7.396,-1000000.0,0.0,-57.978,0.0,0.0,51.878,0.0,5.0753,0.0,-1491.9,0.177,20.0,-374.01,0.2492,20.0,-242.52,0.2787,20.0,-163.09,0.3084,20.0,-130.01,0.3254,20.0,-103.74,0.3421,20.0,-81.15,0.3593,20.0,-70.76,0.3683,20.0,-63.78,0.3748,20.0
10,11,2023-01-11,5,20,10,25,0,5.0,0.0,0.14651,0.0,-0.2712,55.0,0.0,5.227,0.0,-7.678,-1000000.0,0.0,-60.849,0.0,0.0,51.444,0.0,5.227,0.0,-1534.08,0.1757,20.0,-387.07,0.2467,20.0,-251.99,0.2762,20.0,-169.59,0.3056,20.0,-135.35,0.3225,20.0,-108.18,0.339,20.0,-84.83,0.3563,20.0,-74.11,0.3652,20.0,-66.92,0.3719,20.0
11,12,2023-01-12,5,20,10,25,0,5.0,0.0,0.13788,0.0,-0.25272,60.0,0.0,5.3682,0.0,-7.9383,-1000000.0,0.0,-63.67,0.0,0.0,51.043,0.0,5.3682,0.0,-1570.54,0.1747,20.0,-399.48,0.2449,20.0,-260.89,0.2739,20.0,-175.69,0.3029,20.0,-140.39,0.3197,20.0,-112.39,0.3362,20.0,-88.33,0.3535,20.0,-77.24,0.3625,20.0,-69.92,0.3691,20.0
12,13,2023-01-13,5,20,10,25,0,5.0,0.0,0.12957,0.0,-0.23484,65.0,0.0,5.5014,0.0,-8.1789,-1000000.0,0.0,-66.394,0.0,0.0,50.669,0.0,5.5014,0.0,-1626.31,0.1736,20.0,-411.36,0.2432,20.0,-269.0,0.2718,20.0,-181.45,0.3004,20.0,-145.18,0.317,20.0,-116.38,0.3335,20.0,-91.64,0.3508,20.0,-80.23,0.36,20.0,-72.77,0.3664,20.0
13,14,2023-01-14,5,20,10,25,0,5.0,0.0,0.123,0.0,-0.21777,70.0,0.0,5.6258,0.0,-8.4009,-1000000.0,0.0,-68.995,0.0,0.0,50.323,0.0,5.6258,0.0,-1681.27,0.1724,20.0,-422.32,0.2417,20.0,-276.69,0.2699,20.0,-187.0,0.2979,20.0,-149.78,0.3145,20.0,-120.22,0.3309,20.0,-94.8,0.3482,20.0,-83.1,0.3577,20.0,-75.42,0.364,20.0
14,15,2023-01-15,5,20,10,25,0,5.0,0.0,0.11525,0.0,-0.20158,75.0,0.0,5.7438,0.0,-8.6065,-1000000.0,0.0,-71.465,0.0,0.0,49.999,0.0,5.7438,0.0,-1720.8,0.1716,20.0,-434.94,0.2398,20.0,-284.01,0.268,20.0,-192.44,0.2956,20.0,-154.28,0.3123,20.0,-123.94,0.3288,20.0,-97.83,0.3461,20.0,-85.86,0.3555,20.0,-77.96,0.3619,20.0
15,16,2023-01-16,5,20,10,25,0,5.0,0.0,0.11083,0.0,-0.18641,80.0,0.0,5.8561,0.0,-8.7966,-1000000.0,0.0,-73.789,0.0,0.0,49.697,0.0,5.8561,0.0,-1748.87,0.1709,20.0,-446.71,0.2381,20.0,-291.52,0.266,20.0,-197.72,0.2938,20.0,-158.58,0.3104,20.0,-127.48,0.3268,20.0,-100.75,0.3441,20.0,-88.52,0.3533,20.0,-80.43,0.3599,20.0
16,17,2023-01-17,5,20,10,25,0,5.0,0.0,0.10717,0.0,-0.17305,85.0,0.0,5.9644,0.0,-8.9728,-1000000.0,0.0,-75.976,0.0,0.0,49.412,0.0,5.9644,0.0,-1811.95,0.1696,20.0,-457.92,0.2366,20.0,-298.84,0.2642,20.0,-202.77,0.2921,20.0,-162.68,0.3086,20.0,-130.86,0.325,20.0,-103.56,0.3422,20.0,-91.09,0.3512,20.0,-82.83,0.3579,20.0
17,18,2023-01-18,5,20,10,25,0,5.0,0.0,0.10124,0.0,-0.1651,90.0,0.0,6.0675,0.0,-9.1405,-1000000.0,0.0,-78.248,0.0,0.0,49.141,0.0,6.0675,0.0,-1838.86,0.1691,20.0,-468.63,0.235,20.0,-305.89,0.2624,20.0,-207.6,0.2905,20.0,-166.63,0.3069,20.0,-134.13,0.3231,20.0,-106.29,0.3403,20.0,-93.57,0.3492,20.0,-85.18,0.356,20.0
18,19,2023-01-19,5,20,10,25,0,5.0,0.0,0.097908,0.0,-0.15741,95.0,0.0,6.1663,0.0,-9.3007,-1000000.0,0.0,-80.444,0.0,0.0,48.882,0.0,6.1663,0.0,-1879.7,0.1682,20.0,-478.28,0.2336,20.0,-312.66,0.2611,20.0,-212.26,0.2889,20.0,-170.44,0.3052,20.0,-137.3,0.3214,20.0,-108.93,0.3385,20.0,-95.97,0.3473,20.0,-87.48,0.3542,20.0
19,20,2023-01-20,5,20,10,25,0,5.0,0.0,0.091816,0.0,-0.14993,100.0,0.0,6.2602,0.0,-9.4535,-1000000.0,0.0,-82.587,0.0,0.0,48.636,0.0,6.2602,0.0,-1889.64,0.1679,20.0,-487.32,0.2324,20.0,-319.35,0.2598,20.0,-216.75,0.2874,20.0,-174.14,0.3036,20.0,-140.38,0.3197,20.0,-111.5,0.3368,20.0,-98.32,0.3457,20.0,-89.72,0.3523,20.0
20,21,2023-01-21,5,20,10,25,0,5.0,0.0,0.089577,0.0,-0.14263,105.0,0.0,6.3501,0.0,-9.599,-1000000.0,0.0,-84.664,0.0,0.0,48.4,0.0,6.3501,0.0,-1913.44,0.1674,20.0,-495.55,0.2315,20.0,-325.7,0.2585,20.0,-221.06,0.2859,20.0,-177.71,0.302,20.0,-143.37,0.318,20.0,-114.0,0.3351,20.0,-100.59,0.3442,20.0,-91.88,0.3506,20.0
21,22,2023-01-22,5,20,10,25,0,5.0,0.0,0.0877,0.0,-0.13555,110.0,0.0,6.4374,0.0,-9.7376,-1000000.0,0.0,-86.687,0.0,0.0,48.174,0.0,6.4374,0.0,-1932.86,0.167,20.0,-504.29,0.2306,20.0,-331.74,0.2574,20.0,-225.31,0.2845,20.0,-181.21,0.3005,20.0,-146.31,0.3164,20.0,-116.44,0.3334,20.0,-102.81,0.3427,20.0,-93.97,0.3489,20.0
22,23,2023-01-23,5,20,10,25,0,5.0,0.0,0.082866,0.0,-0.12869,115.0,0.0,6.5217,0.0,-9.8691,-1000000.0,0.0,-88.642,0.0,0.0,47.958,0.0,6.5217,0.0,-1948.47,0.1667,20.0,-512.79,0.2297,20.0,-337.49,0.2562,20.0,-229.42,0.2831,20.0,-184.64,0.299,20.0,-149.19,0.3148,20.0,-118.83,0.3318,20.0,-104.98,0.3412,20.0,-95.98,0.3473,20.0
