 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16.12.    Time:  13:22:26
 Units: L = mm   , T = days , M = mmol 



                               Node(  3)                      Node(  7)                      Node( 12)                      Node( 22)                      Node( 32)                      Node( 47)                      Node( 72)                      Node( 92)                      Node(112)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          1.0000     -720.13  0.2107   20.000       -155.64  0.3116   20.000        -96.03  0.3473   20.000        -60.50  0.3779   20.000        -46.04  0.3930   20.000        -34.91  0.4057   20.000        -25.81  0.4164   20.000        -21.90  0.4210   20.000        -19.39  0.4240   20.000
          2.0000     -898.50  0.1995   20.000       -202.64  0.2922   20.000       -128.05  0.3265   20.000        -82.69  0.3580   20.000        -64.00  0.3746   20.000        -49.29  0.3895   20.000        -36.84  0.4034   20.000        -31.13  0.4101   20.000        -27.35  0.4146   20.000
          3.0000    -1012.90  0.1936   20.000       -236.71  0.2806   20.000       -150.58  0.3140   20.000        -98.55  0.3456   20.000        -76.95  0.3627   20.000        -59.89  0.3785   20.000        -45.31  0.3939   20.000        -38.55  0.4015   20.000        -34.03  0.4067   20.000
          4.0000    -1117.29  0.1894   20.000       -263.08  0.2734   20.000       -168.92  0.3059   20.000       -111.35  0.3369   20.000        -87.49  0.3541   20.000        -68.58  0.3704   20.000        -52.32  0.3864   20.000        -44.83  0.3944   20.000        -39.70  0.4002   20.000
          5.0000    -1190.89  0.1863   20.000       -287.92  0.2670   20.000       -184.53  0.2990   20.000       -122.34  0.3297   20.000        -96.51  0.3470   20.000        -76.01  0.3635   20.000        -58.40  0.3800   20.000        -50.20  0.3886   20.000        -44.76  0.3945   20.000
          6.0000    -1255.02  0.1840   20.000       -307.20  0.2621   20.000       -198.35  0.2936   20.000       -132.07  0.3243   20.000       -104.49  0.3416   20.000        -82.60  0.3581   20.000        -63.76  0.3749   20.000        -55.06  0.3835   20.000        -49.18  0.3897   20.000
          7.0000    -1337.85  0.1816   20.000       -325.06  0.2587   20.000       -210.65  0.2895   20.000       -140.60  0.3196   20.000       -111.54  0.3368   20.000        -88.47  0.3533   20.000        -68.61  0.3703   20.000        -59.43  0.3790   20.000        -53.24  0.3854   20.000
          8.0000    -1410.77  0.1794   20.000       -342.31  0.2553   20.000       -221.71  0.2857   20.000       -148.50  0.3152   20.000       -118.07  0.3323   20.000        -93.91  0.3490   20.000        -73.09  0.3661   20.000        -63.42  0.3752   20.000        -57.05  0.3815   20.000
          9.0000    -1445.59  0.1783   20.000       -359.03  0.2521   20.000       -232.39  0.2821   20.000       -156.05  0.3115   20.000       -124.27  0.3286   20.000        -99.00  0.3453   20.000        -77.24  0.3625   20.000        -67.19  0.3717   20.000        -60.52  0.3779   20.000
         10.0000    -1491.90  0.1770   20.000       -374.01  0.2492   20.000       -242.52  0.2787   20.000       -163.09  0.3084   20.000       -130.01  0.3254   20.000       -103.74  0.3421   20.000        -81.15  0.3593   20.000        -70.76  0.3683   20.000        -63.78  0.3748   20.000
         11.0000    -1534.08  0.1757   20.000       -387.07  0.2467   20.000       -251.99  0.2762   20.000       -169.59  0.3056   20.000       -135.35  0.3225   20.000       -108.18  0.3390   20.000        -84.83  0.3563   20.000        -74.11  0.3652   20.000        -66.92  0.3719   20.000
         12.0000    -1570.54  0.1747   20.000       -399.48  0.2449   20.000       -260.89  0.2739   20.000       -175.69  0.3029   20.000       -140.39  0.3197   20.000       -112.39  0.3362   20.000        -88.33  0.3535   20.000        -77.24  0.3625   20.000        -69.92  0.3691   20.000
         13.0000    -1626.31  0.1736   20.000       -411.36  0.2432   20.000       -269.00  0.2718   20.000       -181.45  0.3004   20.000       -145.18  0.3170   20.000       -116.38  0.3335   20.000        -91.64  0.3508   20.000        -80.23  0.3600   20.000        -72.77  0.3664   20.000
         14.0000    -1681.27  0.1724   20.000       -422.32  0.2417   20.000       -276.69  0.2699   20.000       -187.00  0.2979   20.000       -149.78  0.3145   20.000       -120.22  0.3309   20.000        -94.80  0.3482   20.000        -83.10  0.3577   20.000        -75.42  0.3640   20.000
         15.0000    -1720.80  0.1716   20.000       -434.94  0.2398   20.000       -284.01  0.2680   20.000       -192.44  0.2956   20.000       -154.28  0.3123   20.000       -123.94  0.3288   20.000        -97.83  0.3461   20.000        -85.86  0.3555   20.000        -77.96  0.3619   20.000
         16.0000    -1748.87  0.1709   20.000       -446.71  0.2381   20.000       -291.52  0.2660   20.000       -197.72  0.2938   20.000       -158.58  0.3104   20.000       -127.48  0.3268   20.000       -100.75  0.3441   20.000        -88.52  0.3533   20.000        -80.43  0.3599   20.000
         17.0000    -1811.95  0.1696   20.000       -457.92  0.2366   20.000       -298.84  0.2642   20.000       -202.77  0.2921   20.000       -162.68  0.3086   20.000       -130.86  0.3250   20.000       -103.56  0.3422   20.000        -91.09  0.3512   20.000        -82.83  0.3579   20.000
         18.0000    -1838.86  0.1691   20.000       -468.63  0.2350   20.000       -305.89  0.2624   20.000       -207.60  0.2905   20.000       -166.63  0.3069   20.000       -134.13  0.3231   20.000       -106.29  0.3403   20.000        -93.57  0.3492   20.000        -85.18  0.3560   20.000
         19.0000    -1879.70  0.1682   20.000       -478.28  0.2336   20.000       -312.66  0.2611   20.000       -212.26  0.2889   20.000       -170.44  0.3052   20.000       -137.30  0.3214   20.000       -108.93  0.3385   20.000        -95.97  0.3473   20.000        -87.48  0.3542   20.000
         20.0000    -1889.64  0.1679   20.000       -487.32  0.2324   20.000       -319.35  0.2598   20.000       -216.75  0.2874   20.000       -174.14  0.3036   20.000       -140.38  0.3197   20.000       -111.50  0.3368   20.000        -98.32  0.3457   20.000        -89.72  0.3523   20.000
         21.0000    -1913.44  0.1674   20.000       -495.55  0.2315   20.000       -325.70  0.2585   20.000       -221.06  0.2859   20.000       -177.71  0.3020   20.000       -143.37  0.3180   20.000       -114.00  0.3351   20.000       -100.59  0.3442   20.000        -91.88  0.3506   20.000
         22.0000    -1932.86  0.1670   20.000       -504.29  0.2306   20.000       -331.74  0.2574   20.000       -225.31  0.2845   20.000       -181.21  0.3005   20.000       -146.31  0.3164   20.000       -116.44  0.3334   20.000       -102.81  0.3427   20.000        -93.97  0.3489   20.000
         23.0000    -1948.47  0.1667   20.000       -512.79  0.2297   20.000       -337.49  0.2562   20.000       -229.42  0.2831   20.000       -184.64  0.2990   20.000       -149.19  0.3148   20.000       -118.83  0.3318   20.000       -104.98  0.3412   20.000        -95.98  0.3473   20.000
         24.0000    -1974.49  0.1661   20.000       -520.66  0.2288   20.000       -343.20  0.2551   20.000       -233.47  0.2817   20.000       -188.02  0.2975   20.000       -152.03  0.3133   20.000       -121.17  0.3303   20.000       -107.09  0.3398   20.000        -97.95  0.3460   20.000
         25.0000    -2007.11  0.1657   20.000       -528.10  0.2280   20.000       -348.66  0.2541   20.000       -237.51  0.2803   20.000       -191.37  0.2960   20.000       -154.82  0.3120   20.000       -123.45  0.3290   20.000       -109.16  0.3384   20.000        -99.87  0.3447   20.000
         26.0000    -2039.57  0.1652   20.000       -536.06  0.2272   20.000       -353.89  0.2531   20.000       -241.44  0.2790   20.000       -194.68  0.2949   20.000       -157.52  0.3109   20.000       -125.68  0.3278   20.000       -111.18  0.3370   20.000       -101.76  0.3434   20.000
         27.0000    -2080.22  0.1645   20.000       -544.73  0.2263   20.000       -358.97  0.2521   20.000       -245.36  0.2780   20.000       -197.88  0.2938   20.000       -160.14  0.3097   20.000       -127.84  0.3266   20.000       -113.16  0.3357   20.000       -103.62  0.3421   20.000
         28.0000    -2099.69  0.1642   20.000       -553.54  0.2253   20.000       -364.11  0.2511   20.000       -249.15  0.2770   20.000       -200.97  0.2927   20.000       -162.69  0.3086   20.000       -129.95  0.3255   20.000       -115.09  0.3343   20.000       -105.44  0.3409   20.000
         29.0000    -2129.07  0.1638   20.000       -562.21  0.2244   20.000       -369.65  0.2500   20.000       -252.82  0.2760   20.000       -203.97  0.2917   20.000       -165.17  0.3075   20.000       -132.02  0.3243   20.000       -116.99  0.3331   20.000       -107.24  0.3397   20.000
         30.0000    -2152.32  0.1634   20.000       -570.33  0.2236   20.000       -375.02  0.2490   20.000       -256.44  0.2751   20.000       -206.88  0.2907   20.000       -167.58  0.3064   20.000       -134.03  0.3232   20.000       -118.84  0.3318   20.000       -109.00  0.3385   20.000
         31.0000    -2177.96  0.1630   20.000       -578.29  0.2227   20.000       -380.20  0.2480   20.000       -259.94  0.2742   20.000       -209.73  0.2898   20.000       -169.94  0.3054   20.000       -136.00  0.3221   20.000       -120.65  0.3306   20.000       -110.73  0.3373   20.000
         32.0000    -2205.74  0.1626   20.000       -586.20  0.2219   20.000       -385.22  0.2470   20.000       -263.37  0.2733   20.000       -212.53  0.2888   20.000       -172.25  0.3044   20.000       -137.94  0.3210   20.000       -122.45  0.3296   20.000       -112.43  0.3362   20.000
         33.0000    -2233.12  0.1621   20.000       -593.86  0.2211   20.000       -390.29  0.2463   20.000       -266.73  0.2724   20.000       -215.25  0.2879   20.000       -174.53  0.3034   20.000       -139.85  0.3200   20.000       -124.20  0.3286   20.000       -114.10  0.3350   20.000
         34.0000    -2259.11  0.1617   20.000       -601.07  0.2203   20.000       -395.08  0.2456   20.000       -270.00  0.2716   20.000       -217.94  0.2870   20.000       -176.76  0.3024   20.000       -141.72  0.3189   20.000       -125.93  0.3277   20.000       -115.73  0.3339   20.000
         35.0000    -2283.99  0.1614   20.000       -607.61  0.2196   20.000       -399.89  0.2449   20.000       -273.22  0.2708   20.000       -220.58  0.2861   20.000       -178.97  0.3015   20.000       -143.57  0.3179   20.000       -127.63  0.3267   20.000       -117.34  0.3328   20.000
         36.0000    -2307.35  0.1610   20.000       -613.65  0.2190   20.000       -404.57  0.2442   20.000       -276.38  0.2699   20.000       -223.18  0.2852   20.000       -181.14  0.3005   20.000       -145.40  0.3169   20.000       -129.30  0.3258   20.000       -118.91  0.3318   20.000
         37.0000    -2325.88  0.1607   20.000       -619.98  0.2185   20.000       -409.19  0.2435   20.000       -279.45  0.2692   20.000       -225.74  0.2843   20.000       -183.29  0.2996   20.000       -147.20  0.3159   20.000       -130.94  0.3249   20.000       -120.44  0.3307   20.000
         38.0000    -2336.94  0.1605   20.000       -626.12  0.2180   20.000       -413.65  0.2429   20.000       -282.52  0.2684   20.000       -228.27  0.2835   20.000       -185.42  0.2986   20.000       -148.98  0.3149   20.000       -132.56  0.3240   20.000       -121.96  0.3299   20.000
         39.0000    -2364.38  0.1601   20.000       -631.98  0.2176   20.000       -417.91  0.2423   20.000       -285.55  0.2676   20.000       -230.78  0.2826   20.000       -187.53  0.2977   20.000       -150.74  0.3140   20.000       -134.15  0.3231   20.000       -123.46  0.3290   20.000
         40.0000    -2388.63  0.1598   20.000       -638.02  0.2171   20.000       -422.10  0.2417   20.000       -288.50  0.2668   20.000       -233.25  0.2818   20.000       -189.63  0.2968   20.000       -152.50  0.3131   20.000       -135.72  0.3223   20.000       -124.94  0.3282   20.000
         41.0000    -2394.75  0.1597   20.000       -643.82  0.2167   20.000       -426.15  0.2411   20.000       -291.48  0.2661   20.000       -235.73  0.2809   20.000       -191.73  0.2959   20.000       -154.22  0.3123   20.000       -137.27  0.3214   20.000       -126.40  0.3274   20.000
         42.0000    -2400.12  0.1596   20.000       -649.32  0.2162   20.000       -430.17  0.2405   20.000       -294.38  0.2653   20.000       -238.18  0.2801   20.000       -193.80  0.2952   20.000       -155.92  0.3116   20.000       -138.79  0.3206   20.000       -127.84  0.3266   20.000
         43.0000    -2434.54  0.1590   20.000       -655.53  0.2157   20.000       -434.24  0.2399   20.000       -297.26  0.2646   20.000       -240.63  0.2793   20.000       -195.84  0.2945   20.000       -157.59  0.3108   20.000       -140.30  0.3197   20.000       -129.26  0.3258   20.000
         44.0000    -2445.60  0.1589   20.000       -661.27  0.2153   20.000       -438.26  0.2394   20.000       -300.21  0.2638   20.000       -243.07  0.2785   20.000       -197.84  0.2938   20.000       -159.23  0.3101   20.000       -141.79  0.3189   20.000       -130.67  0.3251   20.000
         45.0000    -2447.61  0.1588   20.000       -665.98  0.2149   20.000       -442.10  0.2388   20.000       -303.10  0.2631   20.000       -245.47  0.2779   20.000       -199.80  0.2931   20.000       -160.85  0.3094   20.000       -143.27  0.3181   20.000       -132.07  0.3243   20.000
         46.0000    -2460.27  0.1586   20.000       -671.06  0.2145   20.000       -445.82  0.2383   20.000       -305.94  0.2624   20.000       -247.84  0.2773   20.000       -201.73  0.2925   20.000       -162.45  0.3087   20.000       -144.72  0.3173   20.000       -133.46  0.3235   20.000
         47.0000    -2480.06  0.1584   20.000       -676.90  0.2141   20.000       -449.48  0.2378   20.000       -308.79  0.2618   20.000       -250.14  0.2767   20.000       -203.63  0.2918   20.000       -164.02  0.3080   20.000       -146.17  0.3165   20.000       -134.83  0.3228   20.000
         48.0000    -2517.94  0.1579   20.000       -683.15  0.2136   20.000       -453.06  0.2372   20.000       -311.58  0.2613   20.000       -252.42  0.2761   20.000       -205.49  0.2912   20.000       -165.57  0.3073   20.000       -147.60  0.3157   20.000       -136.19  0.3220   20.000
         49.0000    -2547.39  0.1575   20.000       -689.59  0.2131   20.000       -456.61  0.2367   20.000       -314.32  0.2607   20.000       -254.64  0.2756   20.000       -207.32  0.2906   20.000       -167.09  0.3067   20.000       -149.01  0.3149   20.000       -137.53  0.3213   20.000
         50.0000    -2564.64  0.1574   20.000       -695.91  0.2126   20.000       -460.45  0.2362   20.000       -317.00  0.2602   20.000       -256.84  0.2750   20.000       -209.13  0.2900   20.000       -168.60  0.3060   20.000       -150.42  0.3141   20.000       -138.86  0.3205   20.000
         51.0000    -2575.77  0.1573   20.000       -701.87  0.2122   20.000       -464.41  0.2356   20.000       -319.63  0.2597   20.000       -259.00  0.2744   20.000       -210.92  0.2894   20.000       -170.10  0.3053   20.000       -151.81  0.3134   20.000       -140.17  0.3198   20.000
         52.0000    -2586.62  0.1572   20.000       -707.58  0.2117   20.000       -468.33  0.2350   20.000       -322.27  0.2592   20.000       -261.13  0.2739   20.000       -212.68  0.2888   20.000       -171.57  0.3047   20.000       -153.19  0.3127   20.000       -141.47  0.3191   20.000
         53.0000    -2602.06  0.1570   20.000       -713.28  0.2113   20.000       -472.17  0.2345   20.000       -324.88  0.2587   20.000       -263.23  0.2733   20.000       -214.42  0.2882   20.000       -173.03  0.3041   20.000       -154.56  0.3121   20.000       -142.75  0.3184   20.000
         54.0000    -2623.08  0.1568   20.000       -719.15  0.2108   20.000       -475.96  0.2339   20.000       -327.44  0.2582   20.000       -265.31  0.2728   20.000       -216.14  0.2876   20.000       -174.48  0.3034   20.000       -155.91  0.3116   20.000       -144.02  0.3177   20.000
         55.0000    -2646.82  0.1565   20.000       -725.18  0.2104   20.000       -479.72  0.2334   20.000       -329.96  0.2577   20.000       -267.36  0.2723   20.000       -217.84  0.2870   20.000       -175.91  0.3028   20.000       -157.24  0.3110   20.000       -145.27  0.3170   20.000
