 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16.12.    Time:  13:22:26
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       53  0.1000000E+01  0.88428E-01    3      230     4    -5     T
       92  0.2000000E+01  0.10210E+00    2      400     4    -5     T
      113  0.3000000E+01  0.31614E-01    2      505     4    -5     T
      148  0.4000000E+01  0.36482E-01    8      667     4    -5     T
      161  0.5000000E+01  0.12810E+00    2      704     4    -5     T
      172  0.6000000E+01  0.14002E+00    2      748     4    -5     T
      176  0.7000000E+01  0.25000E+00    3      759     4    -5     T
      181  0.8000000E+01  0.11111E+00    2      781     4    -5     T
      187  0.9000000E+01  0.88889E-01    2      805     4    -5     T
      195  0.1000000E+02  0.47619E-01    2      842     4    -5     T
      203  0.1100000E+02  0.15964E+00    2      870     4    -5     T
      209  0.1200000E+02  0.22222E+00    2      893     4    -5     T
      212  0.1300000E+02  0.37500E+00    2      899     4    -5     T
      214  0.1400000E+02  0.50000E+00    2      903     4    -5     T
      216  0.1500000E+02  0.50000E+00    2      907     4    -5     T
      218  0.1600000E+02  0.50000E+00    3      914     4    -5     T
      220  0.1700000E+02  0.50000E+00   10      926     4    -5     T
      223  0.1800000E+02  0.33333E+00    5      936     4    -5     T
      227  0.1900000E+02  0.31250E+00    3      955     4    -5     T
      232  0.2000000E+02  0.14815E+00    2      982     4    -5     T
      237  0.2100000E+02  0.23438E+00    5     1005     4    -5     T
      246  0.2200000E+02  0.65852E-01    2     1050     4    -5     T
      252  0.2300000E+02  0.18519E+00    4     1073     4    -5     T
      262  0.2400000E+02  0.92593E-01    2     1121     4    -5     T
      275  0.2500000E+02  0.89968E-01    2     1177     4    -5     T
      287  0.2600000E+02  0.83808E-01    2     1231     4    -5     T
      296  0.2700000E+02  0.15240E+00    2     1261     4    -5     T
      302  0.2800000E+02  0.16667E+00    2     1283     4    -5     T
      306  0.2900000E+02  0.26667E+00    2     1291     4    -5     T
      308  0.3000000E+02  0.50000E+00    2     1295     4    -5     T
      310  0.3100000E+02  0.50000E+00    2     1299     4    -5     T
      312  0.3200000E+02  0.50000E+00    2     1303     4    -5     T
      314  0.3300000E+02  0.50000E+00    2     1307     4    -5     T
      316  0.3400000E+02  0.50000E+00    2     1311     4    -5     T
      318  0.3500000E+02  0.50000E+00    2     1315     4    -5     T
      320  0.3600000E+02  0.50000E+00    2     1319     4    -5     T
      322  0.3700000E+02  0.50000E+00    2     1323     4    -5     T
      324  0.3800000E+02  0.50000E+00    2     1327     4    -5     T
      326  0.3900000E+02  0.50000E+00    8     1337     4    -5     T
      329  0.4000000E+02  0.33333E+00    2     1349     4    -5     T
      332  0.4100000E+02  0.25000E+00    2     1363     4    -5     T
      334  0.4200000E+02  0.50000E+00    2     1367     4    -5     T
      338  0.4300000E+02  0.31250E+00    3     1387     4    -5     T
      341  0.4400000E+02  0.33333E+00    3     1395     4    -5     T
      345  0.4500000E+02  0.31250E+00    3     1415     4    -5     T
      348  0.4600000E+02  0.33333E+00    4     1427     4    -5     T
      351  0.4700000E+02  0.33333E+00    2     1434     4    -5     T
      353  0.4800000E+02  0.50000E+00    4     1442     4    -5     T
      355  0.4900000E+02  0.50000E+00    2     1446     4    -5     T
      357  0.5000000E+02  0.50000E+00    2     1450     4    -5     T
      359  0.5100000E+02  0.50000E+00    2     1454     4    -5     T
      361  0.5200000E+02  0.50000E+00    2     1458     4    -5     T
      363  0.5300000E+02  0.50000E+00    2     1462     4    -5     T
      365  0.5400000E+02  0.50000E+00    2     1466     4    -5     T
