"Date","VWC_6in","VWC_12in","VWC_24in","VWC_36in"
2025-04-12,0.272113525,0.26821513,0.178202935,0.19971199
2025-04-13,0.2695178275,0.2739398875,0.18499765,0.2054884675
2025-04-14,0.2706233425,0.274337485,0.186503995,0.206765305
2025-04-15,0.2691881125,0.27356815,0.1867852225,0.207114415
2025-04-16,0.26782723,0.2725240525,0.1867399675,0.2073019
2025-04-17,0.2714767225,0.2734873375,0.1867076425,0.2073956425
2025-04-18,0.2717999725,0.2741596975,0.1867399675,0.2074312
2025-04-19,0.2695501525,0.2736877525,0.1867011775,0.207463525
2025-04-20,0.2687226325,0.2729442775,0.1865654125,0.20749585
2025-04-21,0.26829271,0.2725499125,0.18639409,0.2074796875
2025-04-22,0.26839615,0.27240445,0.186193675,0.2074085725
2025-04-23,0.26831857,0.27239152,0.1860676075,0.207360085
2025-04-24,0.2668154575,0.27164158,0.185922145,0.2073180625
2025-04-25,0.265997635,0.271014475,0.1856991025,0.20728897
2025-04-26,0.26465938,0.270225745,0.1854728275,0.207230785
2025-04-27,0.2644428025,0.269527525,0.18523039,0.207204925
2025-04-28,0.264058135,0.2694790375,0.185107555,0.2070982525
2025-04-29,0.2626423,0.2686644475,0.1849103725,0.207062695
2025-04-30,0.262454815,0.2683735225,0.1847099575,0.206998045
2025-05-01,0.2619408475,0.26791774,0.1844513575,0.206946325
2025-05-02,0.2645656375,0.2681213875,0.1850008825,0.20713381
2025-05-03,0.265299415,0.2680632025,0.18492007,0.2071241125
2025-05-04,0.26433613,0.2675557,0.184732585,0.20699158
2025-05-05,0.26560327,0.26786602,0.184603285,0.206907535
2025-05-06,0.2673908425,0.2686191925,0.1845871225,0.20688814
2025-05-07,0.2666926225,0.268583635,0.1845451,0.206868745
2025-05-08,0.26588773,0.267988855,0.1843931725,0.2068137925
2025-05-09,0.2657681275,0.2669964775,0.184215385,0.206545495
2025-05-10,0.2648177725,0.265389925,0.184111945,0.206235175
2025-05-11,0.26427148,0.26499556,0.1840182025,0.206248105
2025-05-12,0.2637381175,0.2647725175,0.183879205,0.206105875
2025-05-13,0.2638997425,0.265040815,0.18392446,0.2059216225
2025-05-14,0.26411632,0.26518951,0.18387274,0.2059086925
2025-05-15,0.264161575,0.2653576,0.1838307175,0.205821415
2025-05-16,0.2648500975,0.265842475,0.1839082975,0.205782625
2025-05-17,0.263799535,0.2655159925,0.1838048575,0.2057535325
2025-05-18,0.26261644,0.2646884725,0.1836432325,0.2057341375
2025-05-19,0.2635829575,0.264885655,0.1835527225,0.205653325
2025-05-20,0.2627425075,0.264898585,0.18353656,0.205640395
2025-05-21,0.262235005,0.264510685,0.18345898,0.205653325
2025-05-22,0.26146567,0.2646884725,0.1833523075,0.2057147425
2025-05-23,0.2606155225,0.2645721025,0.1831001725,0.205575745
2025-05-24,0.25957789,0.26433613,0.182793085,0.2057018125
2025-05-25,0.2579066875,0.263515075,0.1826056,0.205756765
2025-05-26,0.2552883625,0.2627037175,0.182392255,0.20582788
2025-05-27,0.2532712825,0.2619861025,0.18211426,0.2060832475
2025-05-28,0.250727305,0.2613396025,0.1816584775,0.2063741725
2025-05-29,0.2466123325,0.2603633875,0.181138045,0.206842885
2025-05-30,0.24071302,0.2593354525,0.1809667225,0.2073439225
2025-05-31,0.2328095575,0.257942245,0.1806499375,0.2078740525
2025-06-01,0.22478326,0.2564908525,0.1802685025,0.208588435
2025-06-02,0.22173178,0.2551655275,0.180000205,0.209790925
2025-06-03,0.2218837075,0.2548552075,0.179883835,0.2115009175
2025-06-04,0.220147855,0.254231335,0.1798999975,0.213889735
2025-06-05,0.2170026325,0.25167766,0.179793325,0.215661145
2025-06-06,0.2183861425,0.2468192125,0.179586445,0.21683131
2025-06-07,0.233478685,0.243564085,0.1792922875,0.21809845
2025-06-08,0.2290210675,0.2414015425,0.1790660125,0.2200411825
2025-06-09,0.2444013025,0.24148882,0.1788591325,0.2230991275
2025-06-10,0.2303140675,0.23948467,0.1787880175,0.2260794925
2025-06-11,0.223457935,0.2371798975,0.17867488,0.22952857
2025-06-12,0.21924922,0.23347222,0.1786781125,0.232043455
2025-06-13,0.2190585025,0.2321824525,0.178797715,0.2356994125
