 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  17.12.    Time:  11:26:40
 Units: L = cm   , T = days , M = mmol 



                               Node( 11)                      Node( 51)                      Node( 91)                      Node(111)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          1.0000      -17.52  0.3178   20.000        -14.97  0.3218   20.000        -14.99  0.3190   20.000        -15.00  0.3190   20.000
          2.0000      -20.09  0.3138   20.000        -14.92  0.3219   20.000        -14.82  0.3195   20.000        -15.00  0.3190   20.000
          3.0000       -0.02  0.3421   20.000        -14.95  0.3218   20.000        -14.41  0.3205   20.000        -15.00  0.3190   20.000
          4.0000      -10.37  0.3291   20.000         -9.31  0.3307   20.000        -13.76  0.3221   20.000        -14.99  0.3190   20.000
          5.0000      -14.48  0.3226   20.000         -8.33  0.3322   20.000        -12.80  0.3245   20.000        -14.97  0.3191   20.000
          6.0000      -17.38  0.3180   20.000         -8.96  0.3313   20.000        -10.97  0.3288   20.000        -14.89  0.3193   20.000
          7.0000      -19.73  0.3143   20.000         -9.73  0.3301   20.000         -8.16  0.3345   20.000        -14.72  0.3197   20.000
          8.0000       -0.05  0.3421   20.000        -10.48  0.3289   20.000         -5.05  0.3391   20.000        -14.41  0.3205   20.000
          9.0000      -10.29  0.3292   20.000         -4.70  0.3375   20.000         -1.27  0.3419   20.000        -13.72  0.3222   20.000
         10.0000      -14.37  0.3227   20.000         -2.76  0.3399   20.000          4.73  0.3421   20.000        -11.59  0.3275   20.000
         11.0000      -17.25  0.3182   20.000         -3.31  0.3392   20.000          6.54  0.3421   20.000         -7.04  0.3364   20.000
         12.0000      -19.57  0.3146   20.000         -4.66  0.3375   20.000          6.84  0.3421   20.000         -3.28  0.3409   20.000
         13.0000       -0.06  0.3421   20.000         -5.79  0.3360   20.000          6.74  0.3421   20.000         -0.83  0.3420   20.000
         14.0000       -9.94  0.3297   20.000         16.00  0.3421   20.000         22.85  0.3421   20.000          6.98  0.3421   20.000
         15.0000      -13.65  0.3239   20.000         11.43  0.3421   20.000         21.12  0.3421   20.000          8.33  0.3421   20.000
         16.0000      -16.35  0.3196   20.000          7.16  0.3421   20.000         18.92  0.3421   20.000          8.36  0.3421   20.000
         17.0000      -18.58  0.3161   20.000          3.50  0.3421   20.000         16.81  0.3421   20.000          7.94  0.3421   20.000
         18.0000        8.03  0.3421   20.000         40.13  0.3421   20.000         43.66  0.3421   20.000         24.19  0.3421   20.000
         19.0000       -7.19  0.3339   20.000         23.62  0.3421   20.000         32.62  0.3421   20.000         19.08  0.3421   20.000
         20.0000      -11.47  0.3273   20.000         17.17  0.3421   20.000         28.28  0.3421   20.000         17.02  0.3421   20.000
         21.0000      -14.51  0.3225   20.000         12.18  0.3421   20.000         24.65  0.3421   20.000         14.86  0.3421   20.000
         22.0000      -16.94  0.3187   20.000          7.93  0.3421   20.000         21.48  0.3421   20.000         12.85  0.3421   20.000
         23.0000        8.14  0.3421   20.000         40.70  0.3421   20.000         46.30  0.3421   20.000         29.08  0.3421   20.000
         24.0000       -6.99  0.3342   20.000         24.16  0.3421   20.000         33.85  0.3421   20.000         21.05  0.3421   20.000
         25.0000      -11.32  0.3276   20.000         17.54  0.3421   20.000         28.80  0.3421   20.000         17.69  0.3421   20.000
         26.0000      -14.38  0.3227   20.000         12.43  0.3421   20.000         24.89  0.3421   20.000         15.09  0.3421   20.000
         27.0000      -16.83  0.3189   20.000          8.15  0.3421   20.000         21.61  0.3421   20.000         12.89  0.3421   20.000
         28.0000        8.14  0.3421   20.000         40.70  0.3421   20.000         46.31  0.3421   20.000         29.10  0.3421   20.000
         29.0000       -6.99  0.3342   20.000         24.16  0.3421   20.000         33.85  0.3421   20.000         21.05  0.3421   20.000
         30.0000      -11.32  0.3276   20.000         17.54  0.3421   20.000         28.80  0.3421   20.000         17.69  0.3421   20.000
         31.0000      -14.38  0.3227   20.000         12.43  0.3421   20.000         24.89  0.3421   20.000         15.09  0.3421   20.000
         32.0000      -16.83  0.3189   20.000          8.15  0.3421   20.000         21.61  0.3421   20.000         12.89  0.3421   20.000
         33.0000        8.14  0.3421   20.000         40.70  0.3421   20.000         46.31  0.3421   20.000         29.10  0.3421   20.000
         34.0000       -6.99  0.3342   20.000         24.16  0.3421   20.000         33.85  0.3421   20.000         21.05  0.3421   20.000
         35.0000      -11.32  0.3276   20.000         17.54  0.3421   20.000         28.80  0.3421   20.000         17.69  0.3421   20.000
         36.0000      -14.38  0.3227   20.000         12.43  0.3421   20.000         24.89  0.3421   20.000         15.09  0.3421   20.000
         37.0000      -16.83  0.3189   20.000          8.15  0.3421   20.000         21.61  0.3421   20.000         12.89  0.3421   20.000
