 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  17.12.    Time:  11:26:40
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00 -0.40745E-07  0.00000E+00 -0.55573E-01  0.00000E+00  0.00000E+00 -0.47277E-07  0.00000E+00 -0.59827E-01 -0.23501E+02  0.00000E+00 -0.17739E+02  0.00000E+00  0.00000E+00  0.47993E+02  0.00000E+00  0.23078E-07     17  0.00000E+00      0.000
       2.0000  0.00000E+00  0.00000E+00 -0.34459E-07  0.00000E+00 -0.50767E-01  0.00000E+00  0.00000E+00 -0.44047E-07  0.00000E+00 -0.11199E+00 -0.26759E+02  0.00000E+00 -0.18722E+02  0.00000E+00  0.00000E+00  0.47941E+02  0.00000E+00  0.39231E-07     20  0.00000E+00      0.000
       3.0000 -0.10000E+01  0.00000E+00 -0.10024E+01  0.00000E+00 -0.48498E-01 -0.10000E+01  0.00000E+00 -0.98354E+00  0.00000E+00 -0.16154E+00  0.00000E+00  0.00000E+00 -0.19435E+02  0.24314E-02  0.22343E-01  0.48875E+02  0.98354E+00  0.39231E-07     63  0.00000E+00      0.000
       4.0000  0.00000E+00  0.00000E+00  0.16764E-07  0.00000E+00 -0.46766E-01 -0.10000E+01  0.00000E+00 -0.98354E+00  0.00000E+00 -0.20901E+00 -0.16749E+02  0.00000E+00 -0.19975E+02  0.00000E+00  0.22343E-01  0.48828E+02  0.98354E+00  0.79696E-07     76  0.00000E+00      0.000
       5.0000  0.00000E+00  0.00000E+00 -0.89640E-07  0.00000E+00 -0.45408E-01 -0.10000E+01  0.00000E+00 -0.98354E+00  0.00000E+00 -0.25482E+00 -0.21281E+02  0.00000E+00 -0.20399E+02  0.00000E+00  0.22343E-01  0.48782E+02  0.98354E+00  0.90057E-07     79  0.00000E+00      0.000
       6.0000  0.00000E+00  0.00000E+00 -0.66357E-07  0.00000E+00 -0.44277E-01 -0.10000E+01  0.00000E+00 -0.98354E+00  0.00000E+00 -0.29936E+00 -0.24413E+02  0.00000E+00 -0.20748E+02  0.00000E+00  0.22343E-01  0.48737E+02  0.98354E+00  0.90057E-07     81  0.00000E+00      0.000
       7.0000  0.00000E+00  0.00000E+00  0.37719E-07  0.00000E+00 -0.43323E-01 -0.10000E+01  0.00000E+00 -0.98354E+00  0.00000E+00 -0.34292E+00 -0.26942E+02  0.00000E+00 -0.21045E+02  0.00000E+00  0.22343E-01  0.48694E+02  0.98354E+00  0.12289E-06     83  0.00000E+00      0.000
       8.0000 -0.10000E+01  0.00000E+00 -0.10048E+01  0.00000E+00 -0.42472E-01 -0.20000E+01  0.00000E+00 -0.19811E+01  0.00000E+00 -0.38579E+00  0.00000E+00  0.00000E+00 -0.21312E+02  0.47685E-02  0.33469E-01  0.49648E+02  0.19811E+01  0.12289E-06    130  0.00000E+00      0.000
