Date,Amount_in,Amount_cm
2025-04-01,0,0
2025-04-02,0,0
2025-04-03,0,0
2025-04-04,0,0
2025-04-05,0,0
2025-04-06,0,0
2025-04-07,0,0
2025-04-08,0,0
2025-04-09,0,0
2025-04-10,0,0
2025-04-11,0,0
2025-04-12,0,0
2025-04-13,0,0
2025-04-14,0,0
2025-04-15,0.2,0.508
2025-04-16,0,0
2025-04-17,0,0
2025-04-18,0,0
2025-04-19,0,0
2025-04-20,0,0
2025-04-21,0,0
2025-04-22,0.5,1.27
2025-04-23,0,0
2025-04-24,0,0
2025-04-25,0,0
2025-04-26,0,0
2025-04-27,0,0
2025-04-28,0,0
2025-04-29,0,0
2025-04-30,0,0
2025-05-01,0,0
2025-05-02,0,0
2025-05-03,0,0
2025-05-04,0,0
2025-05-05,0,0
2025-05-06,0,0
2025-05-07,0,0
2025-05-08,0,0
2025-05-09,0,0
2025-05-10,0,0
2025-05-11,0,0
2025-05-12,0,0
2025-05-13,0,0
2025-05-14,0.5,1.27
2025-05-15,0.5,1.27
2025-05-16,0.74,1.8796
2025-05-17,0,0
2025-05-18,0,0
2025-05-19,0.74,1.8796
2025-05-20,0,0
2025-05-21,0,0
2025-05-22,1,2.54
2025-05-23,0.5,1.27
2025-05-24,0,0
2025-05-25,0.5,1.27
2025-05-26,0,0
2025-05-27,0.5,1.27
2025-05-28,0.5,1.27
2025-05-29,0,0
2025-05-30,0.5,1.27
2025-05-31,0,0
2025-06-01,0,0
2025-06-02,1.5,3.81
2025-06-03,0,0
2025-06-04,0,0
2025-06-05,0,0
2025-06-06,1.5,3.81
2025-06-07,0,0
2025-06-08,0,0
2025-06-09,1.5,3.81
2025-06-10,0,0
2025-06-11,1,2.54
2025-06-12,0,0
2025-06-13,0,0
2025-06-14,0,0
2025-06-15,1,2.54
2025-06-16,0,0
2025-06-17,0,0
2025-06-18,0,0
2025-06-19,0,0
2025-06-20,0,0
2025-06-21,0,0
2025-06-22,0,0
2025-06-23,0,0
2025-06-24,0,0
2025-06-25,0,0
2025-06-26,0,0
2025-06-27,0,0
2025-06-28,0,0
2025-06-29,0,0
2025-06-30,0,0
2025-07-01,0,0
2025-07-02,0,0
2025-07-03,0,0
2025-07-04,0,0
2025-07-05,0,0
2025-07-06,0,0
2025-07-07,0,0
2025-07-08,0,0
2025-07-09,0,0
2025-07-10,0,0
2025-07-11,0.5,1.27
2025-07-12,1,2.54
2025-07-13,0,0
2025-07-14,1.75,4.445
2025-07-15,0,0
2025-07-16,0,0
2025-07-17,2,5.08
2025-07-18,0,0
2025-07-19,0,0
2025-07-20,0,0
2025-07-21,0,0
2025-07-22,1.54,3.9116
2025-07-23,0,0
2025-07-24,0,0
2025-07-25,0,0
2025-07-26,0,0
2025-07-27,2.5,6.35
2025-07-28,0,0
2025-07-29,0,0
2025-07-30,0,0
2025-07-31,0,0
2025-08-01,0,0
2025-08-02,0,0
2025-08-03,0,0
2025-08-04,0,0
2025-08-05,0,0
2025-08-06,0,0
2025-08-07,1,2.54
2025-08-08,0,0
2025-08-09,0,0
2025-08-10,0,0
2025-08-11,0,0
2025-08-12,0,0
2025-08-13,0,0
2025-08-14,0,0
2025-08-15,0,0
2025-08-16,0,0
2025-08-17,0,0
2025-08-18,0,0
2025-08-19,0,0
2025-08-20,0,0
2025-08-21,0,0
2025-08-22,0,0
2025-08-23,1.82,4.6228
2025-08-24,0,0
2025-08-25,0,0
2025-08-26,0,0
2025-08-27,0,0
2025-08-28,1.82,4.6228
2025-08-29,0,0
2025-08-30,0,0
2025-08-31,0,0
2025-09-01,0,0
2025-09-02,0,0
2025-09-03,0,0
2025-09-04,0,0
