Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp
2025-01-01,0,0.019470405,-13.22,-4.3,-7.645833333
2025-01-02,0,0.019002866,-8.31,-0.8,-4.686354167
2025-01-03,0,0.032551661,-4.06,1.61,-1.776979167
2025-01-04,0.06,0.036756591,-4.28,2.09,-0.715625
2025-01-05,0,0.021706041,-10.11,0.46,-3.383125
2025-01-06,0,0.014414963,-4.49,1.08,-2.308333333
2025-01-07,0,0.012667404,-14,-1.16,-7.2559375
2025-01-08,0.15,0.025652175,-9.36,-0.87,-5.489791667
2025-01-09,0,0.017691731,-14.96,0.25,-7.4446875
2025-01-10,0.19,0.019731793,-12.35,1.45,-5.554166667
2025-01-11,0.13,0.037550682,-3.17,0.15,-1.282083333
2025-01-12,0.07,0.041890713,-14.2,-0.76,-3.694375
2025-01-13,0,0.039502258,-9.99,-1.35,-3.42625
2025-01-14,0,0.043750194,-11.12,0.7,-5.421458333
2025-01-15,0,0.018898015,-12.68,-1.07,-8.208645833
2025-01-16,0.03,0.022269161,-14.82,4.06,-6.7015625
2025-01-17,0.04,0.048639244,-12.27,1.29,-6.478854167
2025-01-18,0,0.030880874,-19.8,-9.1,-13.51916667
2025-01-19,0.04,0.024109478,-24.99,-7.65,-12.99635417
2025-01-20,0,0.013023807,-30.39,-16.89,-23.0309375
2025-01-21,0.05,0.023139683,-22.78,-3.66,-13.1975
2025-01-22,0,0.03932694,-17.43,-1.25,-6.962604167
2025-01-23,0.07,0.022362255,-21.52,-7.96,-15.38208333
2025-01-24,0.1,0.028945665,-14.56,-1.62,-7.709583333
2025-01-25,0,0.019449252,-21.69,-7.68,-15.26822917
2025-01-26,0,0.016890468,-23.78,-10.77,-18.52625
2025-01-27,0,0.022478017,-21.34,-6.14,-16.37552083
2025-01-28,0.16,0.021936806,-22.35,-6.46,-15.85552083
2025-01-29,0.04,0.02799017,-20.6,-2.69,-14.53177083
2025-01-30,0,0.023141721,-20.5,-4.04,-13.86572917
2025-01-31,0.07,0.04481863,-14.56,6.33,-4.655625
2025-02-01,0,0.055785665,-5.35,5,0.724791667
2025-02-02,0.15,0.043835567,-6.37,1.06,-3.401770833
2025-02-03,0.38,0.033874199,-15.03,-5.18,-12.1903125
2025-02-04,0.56,0.034546772,-16.3,-12.39,-14.4171875
2025-02-05,0.17,0.031429919,-19.77,-9.07,-14.77739583
2025-02-06,0.2,0.028655789,-20.64,-4.89,-12.38989583
2025-02-07,0.19,0.027771183,-16.76,-6.56,-11.4271875
2025-02-08,0.04,0.03580601,-15.07,-8.41,-11.8065625
2025-02-09,0,0.030608525,-17.5,-4.97,-10.74479167
2025-02-10,0,0.02577365,-27.64,-10.41,-16.04541667
2025-02-11,0,0.019081793,-33,-18.09,-25.3396875
2025-02-12,0,0.017205844,-34.57,-19,-27.59729167
2025-02-13,0.15,0.018678735,-34.03,-15.3,-24.8328125
2025-02-14,0.24,0.032660526,-15.16,-4.97,-9.758020833
2025-02-15,0.14,0.048771182,-8.85,-1.65,-4.373541667
2025-02-16,0.47,0.041222944,-7.55,-3.09,-5.767708333
2025-02-17,0.38,0.045040251,-7.8,-2.23,-5.450104167
2025-02-18,0.14,0.052474372,-10.41,-4.89,-7.425625
2025-02-19,0,0.049001993,-15.4,-5.97,-9.86125
2025-02-20,0,0.063701021,-8.51,2.43,-2.609895833
2025-02-21,0,0.094804526,-4.54,3.68,-0.078958333
2025-02-22,0.04,0.047502239,-4.97,-1.81,-3.3275
2025-02-23,0.07,0.094023242,-3.38,9.45,4.476979167
2025-02-24,0.28,0.130076035,-1.27,8.62,3.7815625
2025-02-25,0,0.122611533,-0.07,5.54,2.423541667
2025-02-26,0.07,0.125972855,-4.78,6.01,1.494791667
2025-02-27,0,0.116313081,-10,7.85,-2.433333333
2025-02-28,0,0.094837397,-8.75,8.09,-1.531770833
2025-03-01,0,0.118616054,-9.28,9.53,-1.653020833
2025-03-02,0,0.113266187,-10.6,7.89,-1.801354167
2025-03-03,0.17,0.054866121,-5.98,2.92,-0.550729167
2025-03-04,0.17,0.085261676,-4.61,4.57,-0.219166667
2025-03-05,0,0.11891192,-4.76,5.59,0.5484375
2025-03-06,0,0.102427902,-6.23,3.77,-1.5071875
2025-03-07,0,0.134340043,-11.12,6.03,-2.470625
2025-03-08,0,0.146528805,-7.25,10.46,-0.193541667
2025-03-09,0,0.15620368,-6.33,12.84,1.920208333
2025-03-10,0,0.128985572,0.13,8.9,4.792604167
2025-03-11,0,0.139208581,-1.95,9.15,2.714895833
2025-03-12,0,0.139430551,-2.39,11.61,3.18
2025-03-13,0.07,0.107916892,-1.72,7.91,2.902291667
2025-03-14,0,0.128281682,-6.82,3.53,-1.4521875
2025-03-15,0.07,0.118832446,-4.44,6.14,0.2534375
