,Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h3,theta3,temp3,h7,theta7,temp7,h12,theta12,temp12,h22,theta22,temp22,h32,theta32,temp32,h47,theta47,temp47,h72,theta72,temp72,h92,theta92,temp92,h112,theta112,temp112
0,2025-01-01,0.0,0.019470405,-13.22,-4.3,-7.645833333,0.0,0.0,2.4037e-06,0.0,-2.2195,0.0,0.0,9.4911e-07,0.0,-2.6027,-68.239,-59.942,-26.912,0.0,0.0,58.846,0.0,9.4911e-07,0.0,-66.3,0.3698,20.0,-62.76,0.3726,20.0,-58.9,0.3756,20.0,-52.57,0.3808,20.0,-47.62,0.3848,20.0,-41.96,0.3894,20.0,-35.46,0.3947,20.0,-31.85,0.3976,20.0,-29.27,0.3996,20.0
1,2025-01-02,0.0,0.019002866,-8.31,-0.8,-4.686354167,0.019003,0.0,0.019002,0.0,-1.5468,0.019003,0.0,0.019003,0.0,-4.2903,-87.492,-78.216,-38.179,0.0,0.0,57.139,0.0,0.019003,0.0,-85.46,0.3556,20.0,-81.7,0.3583,20.0,-77.5,0.3614,20.0,-70.43,0.3668,20.0,-64.66,0.3713,20.0,-57.84,0.3767,20.0,-49.54,0.3834,20.0,-44.88,0.3871,20.0,-41.37,0.39,20.0
2,2025-01-03,0.0,0.032551661,-4.06,1.61,-1.776979167,0.032552,0.0,0.032553,0.0,-1.1781,0.051555,0.0,0.051556,0.0,-5.5534,-101.61,-91.785,-47.523,0.0,0.0,55.844,0.0,0.051556,0.0,-99.47,0.3458,20.0,-95.5,0.3484,20.0,-91.04,0.3516,20.0,-83.45,0.3572,20.0,-77.21,0.3617,20.0,-69.72,0.3674,20.0,-60.46,0.3746,20.0,-55.16,0.3789,20.0,-51.13,0.3821,20.0
3,2025-01-04,0.06,0.036756591,-4.28,2.09,-0.715625,0.036757,0.0,0.036757,0.0,-0.95912,0.088312,0.0,0.088313,0.0,-6.5651,-112.98,-102.74,-55.693,0.0,0.0,54.795,0.0,0.088313,0.0,-110.77,0.3385,20.0,-106.64,0.3412,20.0,-101.97,0.3442,20.0,-93.99,0.3495,20.0,-87.4,0.3543,20.0,-79.36,0.3601,20.0,-69.5,0.3676,20.0,-63.67,0.3721,20.0,-59.46,0.3754,20.0
4,2025-01-05,0.0,0.021706041,-10.11,0.46,-3.383125,0.021706,0.0,0.021705,0.0,-0.80035,0.11002,0.0,0.11002,0.0,-7.3982,-121.23,-111.21,-62.614,0.0,0.0,53.94,0.0,0.11002,0.0,-119.09,0.3332,20.0,-115.07,0.3358,20.0,-110.49,0.3387,20.0,-102.5,0.3439,20.0,-95.79,0.3483,20.0,-87.54,0.3542,20.0,-77.15,0.3618,20.0,-71.17,0.3663,20.0,-66.64,0.3699,20.0
5,2025-01-06,0.0,0.014414963,-4.49,1.08,-2.308333333,0.014415,0.0,0.014416,0.0,-0.69091,0.12443,0.0,0.12443,0.0,-8.1157,-128.33,-118.41,-68.969,0.0,0.0,53.208,0.0,0.12443,0.0,-126.23,0.329,20.0,-122.26,0.3313,20.0,-117.7,0.3341,20.0,-109.73,0.3392,20.0,-102.96,0.3436,20.0,-94.57,0.3491,20.0,-83.91,0.3569,20.0,-77.62,0.3614,20.0,-73.09,0.3648,20.0
6,2025-01-07,0.0,0.012667404,-14.0,-1.16,-7.2559375,0.012667,0.0,0.012668,0.0,-0.59557,0.1371,0.0,0.1371,0.0,-8.734,-134.86,-124.92,-74.534,0.0,0.0,52.577,0.0,0.1371,0.0,-132.76,0.3254,20.0,-128.8,0.3276,20.0,-124.22,0.3302,20.0,-116.18,0.335,20.0,-109.34,0.3395,20.0,-100.78,0.345,20.0,-89.99,0.3525,20.0,-83.49,0.3572,20.0,-78.68,0.3607,20.0
7,2025-01-08,0.15,0.025652175,-9.36,-0.87,-5.489791667,0.025652,0.0,0.025651,0.0,-0.53525,0.16275,0.0,0.16275,0.0,-9.2824,-142.18,-131.61,-79.666,0.0,0.0,52.003,0.0,0.16275,0.0,-139.92,0.3213,20.0,-135.68,0.3237,20.0,-130.85,0.3264,20.0,-122.42,0.3312,20.0,-115.35,0.3356,20.0,-106.55,0.3413,20.0,-95.45,0.3485,20.0,-88.92,0.3532,20.0,-83.98,0.3568,20.0
8,2025-01-09,0.0,0.017691731,-14.96,0.25,-7.4446875,0.017692,0.0,0.017691,0.0,-0.48512,0.18044,0.0,0.18045,0.0,-9.7799,-147.54,-137.16,-84.536,0.0,0.0,51.488,0.0,0.18045,0.0,-145.35,0.3183,20.0,-141.21,0.3206,20.0,-136.43,0.3233,20.0,-128.01,0.328,20.0,-120.83,0.3321,20.0,-111.91,0.3378,20.0,-100.49,0.3452,20.0,-93.87,0.3497,20.0,-88.94,0.3532,20.0
9,2025-01-10,0.19,0.019731793,-12.35,1.45,-5.554166667,0.019732,0.0,0.019732,0.0,-0.43846,0.20018,0.0,0.20018,0.0,-10.23,-153.0,-142.43,-89.069,0.0,0.0,51.019,0.0,0.20018,0.0,-150.75,0.3153,20.0,-146.52,0.3177,20.0,-141.69,0.3204,20.0,-133.18,0.3251,20.0,-125.91,0.3292,20.0,-116.86,0.3346,20.0,-105.25,0.3421,20.0,-98.39,0.3466,20.0,-93.47,0.3499,20.0
