 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  14. 1.    Time:   9:50:59
 Units: L = mm   , T = days , M = mmol 



                               Node(  3)                      Node(  7)                      Node( 12)                      Node( 22)                      Node( 32)                      Node( 47)                      Node( 72)                      Node( 92)                      Node(112)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          1.0000      -66.30  0.3698   20.000        -62.76  0.3726   20.000        -58.90  0.3756   20.000        -52.57  0.3808   20.000        -47.62  0.3848   20.000        -41.96  0.3894   20.000        -35.46  0.3947   20.000        -31.85  0.3976   20.000        -29.27  0.3996   20.000
          2.0000      -85.46  0.3556   20.000        -81.70  0.3583   20.000        -77.50  0.3614   20.000        -70.43  0.3668   20.000        -64.66  0.3713   20.000        -57.84  0.3767   20.000        -49.54  0.3834   20.000        -44.88  0.3871   20.000        -41.37  0.3900   20.000
          3.0000      -99.47  0.3458   20.000        -95.50  0.3484   20.000        -91.04  0.3516   20.000        -83.45  0.3572   20.000        -77.21  0.3617   20.000        -69.72  0.3674   20.000        -60.46  0.3746   20.000        -55.16  0.3789   20.000        -51.13  0.3821   20.000
          4.0000     -110.77  0.3385   20.000       -106.64  0.3412   20.000       -101.97  0.3442   20.000        -93.99  0.3495   20.000        -87.40  0.3543   20.000        -79.36  0.3601   20.000        -69.50  0.3676   20.000        -63.67  0.3721   20.000        -59.46  0.3754   20.000
          5.0000     -119.09  0.3332   20.000       -115.07  0.3358   20.000       -110.49  0.3387   20.000       -102.50  0.3439   20.000        -95.79  0.3483   20.000        -87.54  0.3542   20.000        -77.15  0.3618   20.000        -71.17  0.3663   20.000        -66.64  0.3699   20.000
          6.0000     -126.23  0.3290   20.000       -122.26  0.3313   20.000       -117.70  0.3341   20.000       -109.73  0.3392   20.000       -102.96  0.3436   20.000        -94.57  0.3491   20.000        -83.91  0.3569   20.000        -77.62  0.3614   20.000        -73.09  0.3648   20.000
          7.0000     -132.76  0.3254   20.000       -128.80  0.3276   20.000       -124.22  0.3302   20.000       -116.18  0.3350   20.000       -109.34  0.3395   20.000       -100.78  0.3450   20.000        -89.99  0.3525   20.000        -83.49  0.3572   20.000        -78.68  0.3607   20.000
          8.0000     -139.92  0.3213   20.000       -135.68  0.3237   20.000       -130.85  0.3264   20.000       -122.42  0.3312   20.000       -115.35  0.3356   20.000       -106.55  0.3413   20.000        -95.45  0.3485   20.000        -88.92  0.3532   20.000        -83.98  0.3568   20.000
          9.0000     -145.35  0.3183   20.000       -141.21  0.3206   20.000       -136.43  0.3233   20.000       -128.01  0.3280   20.000       -120.83  0.3321   20.000       -111.91  0.3378   20.000       -100.49  0.3452   20.000        -93.87  0.3497   20.000        -88.94  0.3532   20.000
         10.0000     -150.75  0.3153   20.000       -146.52  0.3177   20.000       -141.69  0.3204   20.000       -133.18  0.3251   20.000       -125.91  0.3292   20.000       -116.86  0.3346   20.000       -105.25  0.3421   20.000        -98.39  0.3466   20.000        -93.47  0.3499   20.000
         11.0000     -157.83  0.3118   20.000       -153.05  0.3141   20.000       -147.68  0.3170   20.000       -138.56  0.3221   20.000       -130.95  0.3264   20.000       -121.57  0.3316   20.000       -109.76  0.3392   20.000       -102.72  0.3438   20.000        -97.58  0.3471   20.000
         12.0000     -164.33  0.3088   20.000       -159.31  0.3112   20.000       -153.61  0.3138   20.000       -143.92  0.3191   20.000       -135.95  0.3236   20.000       -126.19  0.3291   20.000       -114.07  0.3364   20.000       -106.88  0.3411   20.000       -101.58  0.3445   20.000
         13.0000     -169.81  0.3063   20.000       -164.74  0.3087   20.000       -158.97  0.3113   20.000       -148.98  0.3163   20.000       -140.74  0.3209   20.000       -130.67  0.3265   20.000       -118.19  0.3337   20.000       -110.89  0.3385   20.000       -105.49  0.3420   20.000
         14.0000     -175.56  0.3036   20.000       -170.26  0.3061   20.000       -164.27  0.3089   20.000       -153.93  0.3137   20.000       -145.37  0.3183   20.000       -135.00  0.3241   20.000       -122.12  0.3313   20.000       -114.74  0.3360   20.000       -109.27  0.3395   20.000
         15.0000     -177.57  0.3027   20.000       -172.99  0.3048   20.000       -167.60  0.3073   20.000       -157.87  0.3118   20.000       -149.47  0.3160   20.000       -139.04  0.3218   20.000       -125.92  0.3292   20.000       -118.40  0.3336   20.000       -112.90  0.3372   20.000
         16.0000     -181.17  0.3010   20.000       -176.51  0.3032   20.000       -171.12  0.3057   20.000       -161.51  0.3102   20.000       -153.20  0.3140   20.000       -142.80  0.3197   20.000       -129.55  0.3272   20.000       -121.85  0.3315   20.000       -116.34  0.3349   20.000
         17.0000     -188.45  0.2976   20.000       -182.72  0.3003   20.000       -176.44  0.3032   20.000       -165.89  0.3081   20.000       -157.16  0.3122   20.000       -146.47  0.3177   20.000       -133.03  0.3252   20.000       -125.19  0.3296   20.000       -119.58  0.3328   20.000
         18.0000     -191.60  0.2962   20.000       -186.33  0.2986   20.000       -180.32  0.3014   20.000       -169.84  0.3063   20.000       -160.99  0.3104   20.000       -150.07  0.3157   20.000       -136.42  0.3233   20.000       -128.43  0.3278   20.000       -122.66  0.3310   20.000
         19.0000     -194.31  0.2951   20.000       -189.28  0.2972   20.000       -183.48  0.2999   20.000       -173.25  0.3047   20.000       -164.48  0.3088   20.000       -153.50  0.3139   20.000       -139.69  0.3215   20.000       -131.59  0.3260   20.000       -125.69  0.3293   20.000
         20.0000     -195.79  0.2946   20.000       -191.24  0.2963   20.000       -185.85  0.2988   20.000       -176.11  0.3034   20.000       -167.57  0.3073   20.000       -156.70  0.3124   20.000       -142.84  0.3197   20.000       -134.66  0.3243   20.000       -128.69  0.3277   20.000
         21.0000     -199.82  0.2930   20.000       -194.84  0.2949   20.000       -189.10  0.2973   20.000       -179.12  0.3020   20.000       -170.56  0.3059   20.000       -159.72  0.3110   20.000       -145.86  0.3180   20.000       -137.64  0.3226   20.000       -131.63  0.3260   20.000
         22.0000     -206.14  0.2907   20.000       -200.30  0.2929   20.000       -193.75  0.2953   20.000       -182.76  0.3003   20.000       -173.80  0.3044   20.000       -162.74  0.3096   20.000       -148.76  0.3164   20.000       -140.53  0.3210   20.000       -134.49  0.3244   20.000
         23.0000     -208.03  0.2900   20.000       -202.87  0.2919   20.000       -196.80  0.2942   20.000       -186.02  0.2987   20.000       -176.96  0.3030   20.000       -165.74  0.3082   20.000       -151.58  0.3148   20.000       -143.33  0.3194   20.000       -137.27  0.3228   20.000
         24.0000     -211.99  0.2885   20.000       -206.51  0.2906   20.000       -200.24  0.2929   20.000       -189.23  0.2973   20.000       -180.03  0.3015   20.000       -168.67  0.3068   20.000       -154.33  0.3135   20.000       -146.05  0.3179   20.000       -139.97  0.3213   20.000
         25.0000     -213.86  0.2878   20.000       -208.79  0.2897   20.000       -202.84  0.2919   20.000       -192.11  0.2959   20.000       -182.92  0.3002   20.000       -171.50  0.3055   20.000       -157.03  0.3122   20.000       -148.68  0.3164   20.000       -142.58  0.3199   20.000
         26.0000     -215.87  0.2871   20.000       -210.95  0.2889   20.000       -205.18  0.2911   20.000       -194.71  0.2950   20.000       -185.61  0.2989   20.000       -174.21  0.3042   20.000       -159.66  0.3110   20.000       -151.22  0.3150   20.000       -145.12  0.3184   20.000
         27.0000     -219.29  0.2858   20.000       -214.07  0.2877   20.000       -208.06  0.2900   20.000       -197.42  0.2940   20.000       -188.25  0.2977   20.000       -176.82  0.3030   20.000       -162.21  0.3098   20.000       -153.68  0.3138   20.000       -147.57  0.3171   20.000
         28.0000     -222.25  0.2847   20.000       -216.98  0.2866   20.000       -210.91  0.2889   20.000       -200.16  0.2929   20.000       -190.90  0.2965   20.000       -179.37  0.3018   20.000       -164.69  0.3087   20.000       -156.09  0.3127   20.000       -149.93  0.3157   20.000
         29.0000     -226.31  0.2831   20.000       -220.63  0.2853   20.000       -214.21  0.2877   20.000       -203.07  0.2918   20.000       -193.61  0.2954   20.000       -181.91  0.3007   20.000       -167.12  0.3075   20.000       -158.45  0.3116   20.000       -152.20  0.3145   20.000
         30.0000     -228.86  0.2822   20.000       -223.35  0.2843   20.000       -217.01  0.2866   20.000       -205.85  0.2908   20.000       -196.30  0.2944   20.000       -184.43  0.2995   20.000       -169.51  0.3064   20.000       -160.76  0.3105   20.000       -154.44  0.3135   20.000
         31.0000     -236.04  0.2795   20.000       -229.03  0.2821   20.000       -221.54  0.2849   20.000       -209.24  0.2895   20.000       -199.21  0.2933   20.000       -187.00  0.2983   20.000       -171.87  0.3053   20.000       -163.04  0.3094   20.000       -156.65  0.3124   20.000
         32.0000     -244.11  0.2766   20.000       -235.70  0.2796   20.000       -227.00  0.2829   20.000       -213.27  0.2880   20.000       -202.50  0.2921   20.000       -189.70  0.2970   20.000       -174.22  0.3042   20.000       -165.29  0.3084   20.000       -158.85  0.3114   20.000
         33.0000     -247.81  0.2756   20.000       -239.87  0.2781   20.000       -231.21  0.2813   20.000       -217.09  0.2866   20.000       -205.85  0.2908   20.000       -192.52  0.2958   20.000       -176.60  0.3031   20.000       -167.55  0.3074   20.000       -161.04  0.3104   20.000
         34.0000     -249.55  0.2751   20.000       -242.34  0.2772   20.000       -234.15  0.2802   20.000       -220.30  0.2854   20.000       -208.97  0.2896   20.000       -195.35  0.2947   20.000       -179.00  0.3020   20.000       -169.80  0.3063   20.000       -163.23  0.3094   20.000
         35.0000     -252.55  0.2742   20.000       -245.31  0.2763   20.000       -237.06  0.2791   20.000       -223.22  0.2843   20.000       -211.86  0.2886   20.000       -198.08  0.2937   20.000       -181.40  0.3009   20.000       -172.05  0.3053   20.000       -165.40  0.3083   20.000
         36.0000     -254.94  0.2735   20.000       -247.90  0.2756   20.000       -239.76  0.2781   20.000       -225.95  0.2833   20.000       -214.57  0.2875   20.000       -200.71  0.2927   20.000       -183.78  0.2998   20.000       -174.29  0.3042   20.000       -167.55  0.3073   20.000
         37.0000     -257.01  0.2729   20.000       -250.17  0.2749   20.000       -242.22  0.2772   20.000       -228.50  0.2823   20.000       -217.14  0.2866   20.000       -203.23  0.2918   20.000       -186.11  0.2987   20.000       -176.50  0.3032   20.000       -169.69  0.3064   20.000
         38.0000     -259.27  0.2722   20.000       -252.49  0.2742   20.000       -244.63  0.2765   20.000       -230.93  0.2814   20.000       -219.59  0.2857   20.000       -205.66  0.2909   20.000       -188.40  0.2976   20.000       -178.69  0.3022   20.000       -171.80  0.3054   20.000
         39.0000     -263.96  0.2709   20.000       -256.42  0.2731   20.000       -247.96  0.2755   20.000       -233.61  0.2804   20.000       -222.06  0.2847   20.000       -208.03  0.2900   20.000       -190.65  0.2966   20.000       -180.84  0.3012   20.000       -173.88  0.3044   20.000
         40.0000     -266.38  0.2702   20.000       -259.11  0.2723   20.000       -250.78  0.2747   20.000       -236.29  0.2794   20.000       -224.55  0.2838   20.000       -210.37  0.2891   20.000       -192.85  0.2957   20.000       -182.96  0.3002   20.000       -175.94  0.3034   20.000
         41.0000     -267.79  0.2698   20.000       -260.94  0.2718   20.000       -252.95  0.2741   20.000       -238.73  0.2785   20.000       -226.95  0.2829   20.000       -212.68  0.2882   20.000       -195.02  0.2949   20.000       -185.04  0.2992   20.000       -177.96  0.3025   20.000
         42.0000     -267.99  0.2697   20.000       -261.78  0.2715   20.000       -254.36  0.2737   20.000       -240.76  0.2777   20.000       -229.15  0.2821   20.000       -214.90  0.2874   20.000       -197.16  0.2941   20.000       -187.08  0.2983   20.000       -179.95  0.3016   20.000
         43.0000     -268.67  0.2695   20.000       -262.72  0.2712   20.000       -255.62  0.2733   20.000       -242.53  0.2771   20.000       -231.14  0.2813   20.000       -217.01  0.2866   20.000       -199.24  0.2933   20.000       -189.09  0.2973   20.000       -181.91  0.3007   20.000
         44.0000     -270.35  0.2690   20.000       -264.30  0.2708   20.000       -257.20  0.2728   20.000       -244.28  0.2766   20.000       -233.03  0.2806   20.000       -219.01  0.2859   20.000       -201.27  0.2925   20.000       -191.06  0.2964   20.000       -183.83  0.2998   20.000
         45.0000     -276.07  0.2673   20.000       -268.63  0.2695   20.000       -260.46  0.2719   20.000       -246.62  0.2759   20.000       -235.05  0.2799   20.000       -220.98  0.2851   20.000       -203.24  0.2918   20.000       -192.98  0.2956   20.000       -185.72  0.2989   20.000
         46.0000     -285.01  0.2647   20.000       -275.48  0.2675   20.000       -265.60  0.2704   20.000       -249.91  0.2750   20.000       -237.50  0.2790   20.000       -223.02  0.2844   20.000       -205.18  0.2911   20.000       -194.88  0.2949   20.000       -187.57  0.2980   20.000
